,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5290,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bedok Food Centre/soonlee_sf.jpg,Soon Lee,71,,01-02,0,,,soonlee,,1,381,"Tue - Sun: 12pm-8pm, Closed on Mon",0,4,1,69,2020-10-26T04:08:22.000Z,2021-11-08T16:13:49.000Z,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bedok Food Centre/soonlee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Oyster Omelette']",False,bedokfc,Bedok Food Centre,381,,,en,[], 
1,5291,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0jf5gzTTCYcP_apCz9QvRemd3_faiz_sf.jpg,Faiz Drink Stall,0,,01-03,0,,,faiz,,1,381,,80,3,0,80,2020-10-26T04:08:23.000Z,2022-01-17T20:04:54.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0jf5gzTTCYcP_apCz9QvRemd3_faiz_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedokfc,Bedok Food Centre,381,,,en,[], 
2,5292,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/50isAT5ubU3Z_w4dUpmpwy21J_sinanrancahaya_sf.jpg,Sinanran Cahaya Bedok Corner,70,,01-04,0,,,sinanrancahaya,,1,381,,72,7,0,72,2020-10-26T04:08:23.000Z,2021-11-08T16:13:49.000Z,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/50isAT5ubU3Z_w4dUpmpwy21J_sinanrancahaya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Satay'],False,bedokfc,Bedok Food Centre,381,,,en,[], 
3,5293,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/DAkdgLBHpn48_D6kegviKYLrT_oleolejaviyan_sf.jpg,Ole Ole Javiyan,67,,01-05,0,,,oleolejaviyan,,1,381,"Thu - Tue: 8am-9.30pm, Closed on Wed",72,2,0,70,2020-10-26T04:08:23.000Z,2021-12-20T15:46:28.000Z,"[{'Name': 'Bubur Soto', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/DAkdgLBHpn48_D6kegviKYLrT_oleolejaviyan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Bubur', 'Mee Rebus']",False,bedokfc,Bedok Food Centre,381,,,en,[], 
4,5294,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4jUixgPdHQCi_PtOKgbhPqkJj_allklasi_sf.jpg,Al-Iklasi Cafe,0,,01-06,0,,,allklasi,,1,381,Mon - Sun: 7am-11pm,72,1,0,72,2020-10-26T04:08:23.000Z,2021-10-14T02:40:50.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4jUixgPdHQCi_PtOKgbhPqkJj_allklasi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedokfc,Bedok Food Centre,381,,,en,[], 
5,5295,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2Mrc4SyPlXEA_ufinGmLtF8tV_nurindah_sf.jpg,Nur Indah Kitchen,67,,01-07,0,,,nurindah,,1,381,Mon - Sun: 9am-9.30pm,70,0,1,70,2020-10-26T04:08:23.000Z,2021-11-08T16:13:49.000Z,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2Mrc4SyPlXEA_ufinGmLtF8tV_nurindah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Chicken Rice & Noodles']",False,bedokfc,Bedok Food Centre,381,,,en,[], 
6,5296,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/CXwcPwefajg8_FgRB0ioH8nVJ_abumubarak_sf.jpg,Abu Mubarak Mandi Rice,73,,01-08,0,,,abumubarak,,1,381,"Thu - Tue: 11.30am-10pm, Closed on Wed",81,1,1,81,2020-10-26T04:08:23.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Mandi Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/CXwcPwefajg8_FgRB0ioH8nVJ_abumubarak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Biryani'],False,bedokfc,Bedok Food Centre,381,,,en,[], 
7,5297,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bedok Food Centre/sataysolo_sf.jpg,Satay Solo,68,,01-09,0,,,sataysolo,,1,381,Mon - Sun: 7am-10pm,74,7,0,74,2020-10-26T04:08:23.000Z,2022-01-17T20:04:54.000Z,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bedok Food Centre/sataysolo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Satay', 'Nasi Lemak']",False,bedokfc,Bedok Food Centre,381,,,en,[], 
8,5298,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bedok Food Centre/shananas_sf.jpg,Shahanas Cafe,0,,01-10,0,,,shananas,,1,381,,0,3,0,71,2020-10-26T04:08:23.000Z,2021-10-14T02:40:52.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bedok Food Centre/shananas_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedokfc,Bedok Food Centre,381,,,en,[], 
9,5299,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rXjIofwT4AtH_zhe3Us8sjjaa_ayampenyetno1_sf.jpg,Ayam Penyet No 1,69,,01-11,0,,,ayampenyetno1,,1,381,Mon - Sun: 6am-10pm,0,1,1,75,2020-10-26T04:08:23.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rXjIofwT4AtH_zhe3Us8sjjaa_ayampenyetno1_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Satay']",False,bedokfc,Bedok Food Centre,381,,,en,[], 
