,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7756,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/KOlLYEFhFIyk_CWZlEB8w9Z95_Liangji_sf.jpg,Liang Ji Fried Rice Claypot Delights,60,,01-01,0,,,Liangji,,1,460,Mon - Sun: 5pm-1am,72,3,1,72,2020-10-26T04:11:52.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/KOlLYEFhFIyk_CWZlEB8w9Z95_Liangji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Head Curry', 'Zi Char']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
1,7757,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/59bc2hndwCYf_qLnLtQAbQAhQ_haipin_sf.jpg,Hai Pin Coffee,0,,01-02,0,,,haipin,,1,460,,70,5,1,70,2020-10-26T04:11:52.000Z,2021-10-14T02:56:20.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/59bc2hndwCYf_qLnLtQAbQAhQ_haipin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
2,7758,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/cs2m7n9XlyjB_s0nwVcR7jSZd_jiaxin_sf.jpg,Jia Xin Porridge,69,,01-04,0,,,jiaxin,,1,460,,81,1,1,81,2020-10-26T04:11:52.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/cs2m7n9XlyjB_s0nwVcR7jSZd_jiaxin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
3,7759,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201228/QgOuOKi9DFui_Hawkerpedia_Directory.jpg,Bedok 511 Chicken Wings,71,,01-05,0,,,chickenwings,,1,460,Mon - Sun: 6am-1am,74,3,1,74,2020-10-26T04:11:52.000Z,2021-10-14T02:56:20.000Z,"[{'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201228/QgOuOKi9DFui_Hawkerpedia_Directory.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['BBQ Chicken'],False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
4,7760,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/S0EzCciUKcP7_bH1F9gLlMp4t_wangsoon_sf.jpg,Wang Soon Cooked Food,60,,01-06,0,,,wangsoon,,1,460,,0,12,1,74,2020-10-26T04:11:52.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/S0EzCciUKcP7_bH1F9gLlMp4t_wangsoon_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Head Curry', 'Zi Char']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
5,7761,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gbh4Cv1HKSDk_rnoOomIU9lyp_janfong_sf.jpg,Jan Fong Coffee Stall,0,,01-07,0,,,janfong,,1,460,,0,11,1,79,2020-10-26T04:11:52.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gbh4Cv1HKSDk_rnoOomIU9lyp_janfong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
6,7762,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ePFsz91hDZSh_U6I5NvbBdBxf_yinsun_sf.jpg,Yin Sun Handmade Pau Dian,71,,01-08,0,,,yinsun,,1,460,,0,5,1,74,2020-10-26T04:11:52.000Z,2021-10-14T02:56:21.000Z,"[{'Name': 'Pau', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ePFsz91hDZSh_U6I5NvbBdBxf_yinsun_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum'],False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
7,7763,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/GbB99JbvCp0p_wKcEXCfkAwbQ_tongaik_sf.jpg,Tong Aik Wanton Noodle,69,,01-09,0,,,tongaik,,1,460,Mon - Sun: 10am-8pm,0,9,0,70,2020-10-26T04:11:52.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GbB99JbvCp0p_wKcEXCfkAwbQ_tongaik_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
8,7764,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/IDaTHjCMy7E7_XfDS3PWJBcro_tiannan_sf.jpg,Tian Nan Minced Pork Noodle,72,,01-10,0,,,tiannan,,1,460,,0,6,0,79,2020-10-26T04:11:52.000Z,2021-10-14T02:56:22.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/IDaTHjCMy7E7_XfDS3PWJBcro_tiannan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
9,7765,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/SWBxGSBZTbmb_E8GPumVZGu9Q_lemaqatastetoremember_sf.jpg,Lemaq A Taste To Remember,68,,01-11,0,,,lemaqatastetoremember,,1,460,Mon - Sun: 7am-4pm,0,5,1,71,2020-10-26T04:11:52.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/SWBxGSBZTbmb_E8GPumVZGu9Q_lemaqatastetoremember_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Laksa']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
10,7766,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gNTyGJieSi1P_dplPOdMnnvdy_nurjannatunnaim_sf.jpg,Nur Jannatun Naim,72,,01-12,0,,,nurjannatunnaim,,1,460,Mon - Sun: 11am-Midnight,72,1,0,72,2020-10-26T04:11:53.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gNTyGJieSi1P_dplPOdMnnvdy_nurjannatunnaim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Western Cuisine', 'Roti John']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
11,7767,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mB8RTE23rC4J_e96wAykUrEQh_dulangerwani_sf.jpg,Dulang Erwani,65,,01-15,0,,,dulangerwani,,1,460,,66,5,0,66,2020-10-26T04:11:53.000Z,2021-10-14T02:56:23.000Z,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mB8RTE23rC4J_e96wAykUrEQh_dulangerwani_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay', 'Mee Rebus']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
12,7768,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/VHQOfeb1INV0_YET6Cl80YLpa_dapuraishah_sf.jpg,Dapur Aishah,69,,01-16,0,,,dapuraishah,,1,460,,75,12,0,75,2020-10-26T04:11:53.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/VHQOfeb1INV0_YET6Cl80YLpa_dapuraishah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Ambeng', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Mee Siam']",False,bedoknorth511,Bedok North Street 3 Blk 511,460,,,en,[], 
