,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7795,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/KS4BG6B8041k_29diNGvV0p9K_limkopi_sf.jpg,Lim Kopi,0,,01-85,0,,,limkopi,,1,463,,0,7,1,70,2020-10-26T04:11:55.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/KS4BG6B8041k_29diNGvV0p9K_limkopi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
1,7796,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/vUIQLf9DNzZv_wz4Jrty1jDlg_chungrong_sf.jpg,Chung Rong Fishball Mince Meat Noodle,70,,01-86,0,,,chungrong,,1,463,,71,0,1,71,2020-10-26T04:11:55.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/vUIQLf9DNzZv_wz4Jrty1jDlg_chungrong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
2,7797,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/GpPQ1lNqoNNZ_Y6ctPXT0JyHF_pingweitastekitchen_sf.jpg,Ping Wei Taste Kitchen,71,,01-87,0,,,pingweitastekitchen,,1,463,,79,0,1,0,2020-10-26T04:11:55.000Z,2021-10-14T02:56:36.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Suah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GpPQ1lNqoNNZ_Y6ctPXT0JyHF_pingweitastekitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Porridge', 'Fish Soup']",False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
3,7798,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/longxing_sf.jpg,Long XIng Chicken Rice,74,,01-88,0,,,longxing,,1,463,,69,12,1,69,2020-10-26T04:11:55.000Z,2021-10-14T02:56:36.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/longxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
4,7799,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/m4KsAoafHY0I_xo5fobhlFwbG_prawnnoodle_sf.jpg,89 Prawn Noodle,72,,01-89,0,,,prawnnoodle,,1,463,,0,1,1,74,2020-10-26T04:11:55.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/m4KsAoafHY0I_xo5fobhlFwbG_prawnnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
5,7800,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/c0VEeYSQPCOz_zVeoT70DXo0x_shunshunzha_sf.jpg,Shun Shun Zha Cai Fan,68,,01-90,0,,,shunshunzha,,1,463,,66,0,1,66,2020-10-26T04:11:55.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/c0VEeYSQPCOz_zVeoT70DXo0x_shunshunzha_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Rice', 'Zi Char']",False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
6,7801,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MyWbUuHctqsO_1YyLc5rGPKRa_zhongmei_sf.jpg,Zhong Mei Cooked Food,71,,01-91,0,,,zhongmei,,1,463,"Tue - Sun: 4.30am-11.30am, Closed on Mon",75,1,1,75,2020-10-26T04:11:55.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MyWbUuHctqsO_1YyLc5rGPKRa_zhongmei_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
7,7802,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/VOZ46ksgm7Aw_bdNKTTMcP8Ll_baili_sf.jpg,Bai Li Wanton Mee,69,,01-92,0,,,baili,,1,463,"Fri - Wed: 4.30am-3pm, Closed on Thu",81,3,1,81,2020-10-26T04:11:55.000Z,2021-10-14T02:56:38.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/VOZ46ksgm7Aw_bdNKTTMcP8Ll_baili_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
8,7803,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/xingxing_sf.jpg,Xing Xing Cooked Food,74,,01-93,0,,,xingxing,,1,463,,0,7,1,78,2020-10-26T04:11:55.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Huat Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/xingxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Kueh', 'Lor Mee']",False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
9,7804,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0Z5N4rvCfS1p_OTb6EHmTG94m_youyicha_sf.jpg,You Yi Cha Shi,0,,01-94,0,,,youyicha,,1,463,,0,8,1,69,2020-10-26T04:11:55.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0Z5N4rvCfS1p_OTb6EHmTG94m_youyicha_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,bedoknorth538,Bedok North Street 3 Blk 538 ,463,,,en,[], 
