,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7795,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/KS4BG6B8041k_29diNGvV0p9K_limkopi_sf.jpg,Lim Kopi,0,Bedok North Street 3 Blk 538 ,01-85,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/KS4BG6B8041k_29diNGvV0p9K_limkopi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,7796,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/vUIQLf9DNzZv_wz4Jrty1jDlg_chungrong_sf.jpg,Chung Rong Fishball Mince Meat Noodle,70,Bedok North Street 3 Blk 538 ,01-86,,,71,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/vUIQLf9DNzZv_wz4Jrty1jDlg_chungrong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
2,7797,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/GpPQ1lNqoNNZ_Y6ctPXT0JyHF_pingweitastekitchen_sf.jpg,Ping Wei Taste Kitchen,71,Bedok North Street 3 Blk 538 ,01-87,,,79,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Suah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GpPQ1lNqoNNZ_Y6ctPXT0JyHF_pingweitastekitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Porridge', 'Fish Soup']"
3,7798,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/longxing_sf.jpg,Long XIng Chicken Rice,74,Bedok North Street 3 Blk 538 ,01-88,,,69,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/longxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
4,7799,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/m4KsAoafHY0I_xo5fobhlFwbG_prawnnoodle_sf.jpg,89 Prawn Noodle,72,Bedok North Street 3 Blk 538 ,01-89,,,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/m4KsAoafHY0I_xo5fobhlFwbG_prawnnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
5,7800,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/c0VEeYSQPCOz_zVeoT70DXo0x_shunshunzha_sf.jpg,Shun Shun Zha Cai Fan,68,Bedok North Street 3 Blk 538 ,01-90,,,66,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/c0VEeYSQPCOz_zVeoT70DXo0x_shunshunzha_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Rice', 'Zi Char']"
6,7801,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MyWbUuHctqsO_1YyLc5rGPKRa_zhongmei_sf.jpg,Zhong Mei Cooked Food,71,Bedok North Street 3 Blk 538 ,01-91,,"Tue - Sun: 4.30am-11.30am, Closed on Mon",75,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MyWbUuHctqsO_1YyLc5rGPKRa_zhongmei_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
7,7802,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/VOZ46ksgm7Aw_bdNKTTMcP8Ll_baili_sf.jpg,Bai Li Wanton Mee,69,Bedok North Street 3 Blk 538 ,01-92,,"Fri - Wed: 4.30am-3pm, Closed on Thu",81,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/VOZ46ksgm7Aw_bdNKTTMcP8Ll_baili_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
8,7803,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/xingxing_sf.jpg,Xing Xing Cooked Food,74,Bedok North Street 3 Blk 538 ,01-93,,,0,"[{'Name': 'Huat Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/xingxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Kueh', 'Lor Mee']"
9,7804,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0Z5N4rvCfS1p_OTb6EHmTG94m_youyicha_sf.jpg,You Yi Cha Shi,0,Bedok North Street 3 Blk 538 ,01-94,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0Z5N4rvCfS1p_OTb6EHmTG94m_youyicha_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
10,7805,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2Q25ADjeP1rZ_oM0iwpQH2jcQ_yongfunoodlehouse_sf.jpg,Yong Fu Noodle House,71,Bedok North Street 3 Blk 538 ,01-95,,,80,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2Q25ADjeP1rZ_oM0iwpQH2jcQ_yongfunoodlehouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
11,7806,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/hongkongsoysauce_sf.jpg,Hong Kong Soy Sauce Chicken Rice & Noodle,69,Bedok North Street 3 Blk 538 ,01-96,,"Mon - Sat: 11am-9pm, Sun: 10am-9pm",0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/hongkongsoysauce_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
12,7807,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/f7yz6BOVCIR5_OdgMqatuGttV_zhongxincafe_sf.jpg,Zhong Xin Cafe,0,Bedok North Street 3 Blk 538 ,01-97,,"Tue-Sun: 4.30am-8pm, Mon: 4.30am-Midnight",70,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/f7yz6BOVCIR5_OdgMqatuGttV_zhongxincafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
13,7808,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/k6EiJzqmzwli_keoCgsdBMLiz_niankernyee_sf.jpg,Nian Kern Yee,72,Bedok North Street 3 Blk 538 ,01-98,,"Fri - Tue: 6.30am-12pm, Closed on Wed & Thu",76,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/k6EiJzqmzwli_keoCgsdBMLiz_niankernyee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam']"
14,7809,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/cookedfood_sf.jpg,99 Cooked Food,65,Bedok North Street 3 Blk 538 ,01-99,,,0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Hoon Kway', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/cookedfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Porridge', 'Ban Mian']"
15,7810,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/quanxin_sf.jpg,Quan Xin Vegetarian Food,72,Bedok North Street 3 Blk 538 ,01-100,,,77,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 538 Bedok North Street 3/quanxin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian']
