,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,6542,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/52qoxkR2yvjv_abgdin_sf.din 01.jpg,Abg.din,67,,01-01,0,,,abgdin,,1,420,,0,10,1,79,2020-10-26T04:10:06.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/52qoxkR2yvjv_abgdin_sf.din%2001.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Epok Epok'],False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
1,6543,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/OU80cy5yX4Iq_yousheng_sf.jpg,Yousheng Vegetarian Food,66,,01-02,0,,,yousheng,,1,420,Mon - Sun: 6am-1pm,0,14,1,70,2020-10-26T04:10:07.000Z,2021-12-20T15:46:29.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/OU80cy5yX4Iq_yousheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
2,6544,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ubrrrJZN4OJR_popularcafe_sf.jpg,Popular Cafe,0,,01-03,0,,,popularcafe,,1,420,Mon - Sun: 6am-6pm,80,3,1,80,2020-10-26T04:10:07.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ubrrrJZN4OJR_popularcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
3,6545,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ibWOglgII1i3_ahquan_sf.jpg,Ah Quan Rou Cuo Mian,68,,01-04,0,,,ahquan,,1,420,,0,10,1,77,2020-10-26T04:10:07.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ibWOglgII1i3_ahquan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']",False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
4,6546,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KdBQLuRvZUld_atopcafe_sf.jpg,Atop Cafe,66,,01-05,0,,,atopcafe,,1,420,,70,3,1,70,2020-10-26T04:10:07.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KdBQLuRvZUld_atopcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Soya Bean', 'Beverages']",False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
5,6547,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WiISZaMRWH71_xinhua_sf.jpg,Xin Hua Cold & Hot Drinks,0,,01-06,0,,,xinhua,,1,420,,0,13,1,72,2020-10-26T04:10:07.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WiISZaMRWH71_xinhua_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
6,6548,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qRgN8vo6PWDr_wakana_sf.jpg,Wak Ana,74,,01-08,0,,,wakana,,1,420,"Tue - Sun: 6am-3pm, Closed on Mon",0,11,1,69,2020-10-26T04:10:07.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Beef Rendang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qRgN8vo6PWDr_wakana_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Beef Rendang']",False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
7,6549,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/U5WdCEJSFbbs_noorulafra_sf.jpg,Noorul Afra,72,,01-12,0,,,noorulafra,,1,420,Mon - Sun: 6am-1pm,77,1,1,77,2020-10-26T04:10:07.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/U5WdCEJSFbbs_noorulafra_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian'],False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
8,6550,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/REzGrssMkolM_pengyou_sf.jpg,Peng You Chicken Rice & Noodle,70,,01-13,0,,,pengyou,,1,420,"Tue - Sun: 7am-2pm, Closed on Mon",0,12,1,79,2020-10-26T04:10:07.000Z,2021-11-08T16:13:50.000Z,"[{'Name': 'Char Siew Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Curry Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/REzGrssMkolM_pengyou_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Curry', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
9,6551,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 16 Bedok South Road/xiangxiang_sf.jpg,Xiang Xiang Chwee Kueh,69,,01-14,0,,,xiangxiang,,1,420,,0,8,1,77,2020-10-26T04:10:07.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 16 Bedok South Road/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Chee Cheong Fun']",False,bedoksouth16,Bedok South Road Blk 16,420,,,en,[], 
