,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6542,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/52qoxkR2yvjv_abgdin_sf.din 01.jpg,Abg.din,67,Bedok South Road Blk 16,01-01,,,0,"[{'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/52qoxkR2yvjv_abgdin_sf.din%2001.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Epok Epok']
1,6543,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/OU80cy5yX4Iq_yousheng_sf.jpg,Yousheng Vegetarian Food,66,Bedok South Road Blk 16,01-02,,Mon - Sun: 6am-1pm,0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/OU80cy5yX4Iq_yousheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
2,6544,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ubrrrJZN4OJR_popularcafe_sf.jpg,Popular Cafe,0,Bedok South Road Blk 16,01-03,,Mon - Sun: 6am-6pm,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ubrrrJZN4OJR_popularcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
3,6545,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ibWOglgII1i3_ahquan_sf.jpg,Ah Quan Rou Cuo Mian,68,Bedok South Road Blk 16,01-04,,,0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ibWOglgII1i3_ahquan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
4,6546,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KdBQLuRvZUld_atopcafe_sf.jpg,Atop Cafe,66,Bedok South Road Blk 16,01-05,,,70,"[{'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KdBQLuRvZUld_atopcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Soya Bean', 'Beverages']"
5,6547,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WiISZaMRWH71_xinhua_sf.jpg,Xin Hua Cold & Hot Drinks,0,Bedok South Road Blk 16,01-06,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WiISZaMRWH71_xinhua_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,6548,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qRgN8vo6PWDr_wakana_sf.jpg,Wak Ana,74,Bedok South Road Blk 16,01-08,,"Tue - Sun: 6am-3pm, Closed on Mon",0,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Beef Rendang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qRgN8vo6PWDr_wakana_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Beef Rendang']"
7,6549,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/U5WdCEJSFbbs_noorulafra_sf.jpg,Noorul Afra,72,Bedok South Road Blk 16,01-12,,Mon - Sun: 6am-1pm,77,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/U5WdCEJSFbbs_noorulafra_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
8,6550,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/REzGrssMkolM_pengyou_sf.jpg,Peng You Chicken Rice & Noodle,70,Bedok South Road Blk 16,01-13,,"Tue - Sun: 7am-2pm, Closed on Mon",0,"[{'Name': 'Char Siew Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Curry Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/REzGrssMkolM_pengyou_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Curry', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
9,6551,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 16 Bedok South Road/xiangxiang_sf.jpg,Xiang Xiang Chwee Kueh,69,Bedok South Road Blk 16,01-14,,,0,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 16 Bedok South Road/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Chee Cheong Fun']"
10,6552,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/BcOdEvPSsv7p_farahscafe_sf.jpg,Farah's Cafe,0,Bedok South Road Blk 16,01-15,,,73,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/BcOdEvPSsv7p_farahscafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
11,6553,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/UKIPfVWmKWFe_nasimalaysia_sf.jpg,Nasi Malaysia,73,Bedok South Road Blk 16,01-16,,Mon - Sun: 6am-3pm,67,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Ambeng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/UKIPfVWmKWFe_nasimalaysia_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Indonesian Cuisine']"
12,6554,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/MffcMIis5PCs_warongjawa_sf.jpg,Warong Jawa Muslim Food,68,Bedok South Road Blk 16,01-17,,Mon - Sun: 7am-2pm,0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/MffcMIis5PCs_warongjawa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Malay Cuisine']"
13,6555,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Yd52J1cnR9QL_moli_sf.jpg,Moli Food Stall,68,Bedok South Road Blk 16,01-18,,24 hours daily,75,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Yd52J1cnR9QL_moli_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
14,6556,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 16 Bedok South Road/yuanwei_sf.jpg,Yuanwei Kaya Toast,0,Bedok South Road Blk 16,01-19,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 16 Bedok South Road/yuanwei_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
