,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7058,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/amigo_sf.jpg,Amigo,72,,01-12,0,,,amigo,,1,439,,0.0,0,1,77,2020-10-26T04:10:50.000Z,2021-11-08T16:13:20.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/amigo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
1,7100,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/xiangji_sf.jpg,Xiang Ji Gao Dian,69,,01-56,0,,,xiangji,,1,439,,0.0,0,0,80,2020-10-26T04:10:54.000Z,2021-10-14T02:52:54.000Z,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/xiangji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chee Cheong Fun'],False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
2,7115,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/soonhuat_sf.jpg,Soon Huat Cooked Food,71,,01-71,0,,,soonhuat,,1,439,,71.0,0,0,0,2020-10-26T04:10:55.000Z,2021-10-14T02:52:55.000Z,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/soonhuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Kueh'],False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
3,11480,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/meisi_sf.jpg,Mei Si Noodles,71,,01-01,0,,,meisi,,1,439,,0.0,0,0,64,2020-10-30T22:59:01.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/meisi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
4,11481,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuxing_sf.jpg,Fu Xing Fresh Fruits Juice,0,,01-02,0,,,fuxing,,1,439,,0.0,0,0,78,2020-10-30T22:59:01.000Z,2021-11-08T16:13:48.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
5,11482,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuquan_sf.jpg,Fu Quan Mixed Vegetables Rice Bee Hoon Mee,70,,01-03,0,,,fuquan,,1,439,Mon - Sun: 10am-7pm,70.0,1,0,65,2020-10-30T22:59:01.000Z,2021-10-14T03:18:43.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/fuquan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Rice', 'Economy Bee Hoon']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
6,11483,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/bendemeer_sf.jpg,Bendemeer Curry Rice,68,,01-04,0,,,bendemeer,,1,439,"Wed - Mon: 7.30am-3pm, Closed on Tue",0.0,0,0,68,2020-10-30T22:59:01.000Z,2021-11-08T16:13:48.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/bendemeer_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Curry', 'Economy Bee Hoon']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
7,11484,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/litlitsin_sf.jpg,Lit Lit Sin Dessert,74,,01-05,0,,,litlitsin,,1,439,Mon - Sun: 10am-5pm,78.0,7,0,67,2020-10-30T22:59:01.000Z,2022-01-17T20:04:54.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/litlitsin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dessert'],False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
8,11485,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/economicbeehoonnasilemak_sf.jpg,Economic Bee Hoon Nasi Lemak,68,,01-06,0,,,economicbeehoonnasilemak,,1,439,,68.0,3,0,71,2020-10-30T22:59:01.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/economicbeehoonnasilemak_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Bee Hoon', 'Nasi Lemak']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
9,11486,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/wangui_m1.jpg,Wan Gui Beverages,0,,01-07,0,,,wangui,,1,439,Mon - Sun: 9am-11pm,72.0,0,1,72,2020-10-30T22:59:02.000Z,2021-10-14T03:18:46.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 29 Bendemeer Road - 88 stalls/wangui_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,bendemeer29,Bendemeer Road Blk 29,439,,,en,[], 
