,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5901,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/nyonyakueh_sf.jpg,Nonya Kueh,70,,01-63,0,,,nyonyakueh,,1,395,,0,5,1,79,2020-10-26T04:09:15.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/nyonyakueh_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Kueh'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
1,5902,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/DJir4Mbedx96_Cantonese Claypot Rice @ Beo Crescent Market.jpeg,Cantonese Claypot Rice,78,,01-66,0,,,cantonese-claypot-rice,,1,395,Mon - Sun: 11.45am-8pm,0,4,1,79,2020-10-26T04:09:15.000Z,2021-11-08T16:13:30.000Z,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Claypot'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
2,5903,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/qxCt35yCAh0n_SL6VZBqdp7Qx_alexandravillageavocado_sf.jpg,Alexandra Village Avocado,0,,01-67,0,,,alexandravillageavocado,,1,395,Mon - Sun: 10am-8pm,80,2,1,80,2020-10-26T04:09:15.000Z,2021-10-14T02:45:14.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/qxCt35yCAh0n_SL6VZBqdp7Qx_alexandravillageavocado_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
3,5904,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/jAZYJfcPCnoe_Nanyuan Fishball Noodles @ Beo Crescent Market.jpeg,Nanyuan Fishball Noodle,80,,01-68,0,,,nanyuan,,1,395,Mon - Sun: 5.30am-2pm,0,8,1,78,2020-10-26T04:09:15.000Z,2021-12-20T15:43:40.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/u4nA5ob0ORno_Nanyuan%20Fishball%20Noodles%20%40%20Beo%20Crescent%20Market.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
4,5905,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/sengkee_sf.jpg,Seng Kee Cooked Food,67,,01-69,0,,,sengkee,,1,395,Mon - Sun: 6am-2pm,70,2,1,70,2020-10-26T04:09:15.000Z,2021-10-14T02:45:15.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/sengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Laksa']",False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
5,5906,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hotcolddrinks_sf.jpg,Hot & Cold Drinks,0,,01-70,0,,,hotcolddrinks,,1,395,,76,0,0,0,2020-10-26T04:09:15.000Z,2021-10-14T02:45:16.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hotcolddrinks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
6,5907,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/qihvb8wKOgX6_Chef Wang Fried Rice @ Beo Crescent Market.jpeg,Chef Wang Fried Rice,75,,01-71,0,,,chef-wang-fried-rice,,1,395,"Mon to Sat,10am–3pm, 4:30–8pm",0,3,0,73,2020-10-26T04:09:15.000Z,2021-12-20T15:43:40.000Z,"[{'Name': 'Fried Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1595.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1606.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1609.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1617.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1628.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1622.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1632.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fried Rice'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
7,5908,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hengheng_sf.jpg,Heng Heng Cooked Food,65,,01-72,0,,,hengheng,,1,395,,77,0,1,77,2020-10-26T04:09:15.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
8,5909,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uWw6sCZMYIRF_24fLx75Ju8bV_leekhainanese_sf.jpg,Leek Hainanese Chicken Rice,69,,01-73,0,,,leekhainanese,,1,395,Mon - Sun: 10am-10pm,0,8,1,78,2020-10-26T04:09:16.000Z,2022-01-17T19:59:58.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uWw6sCZMYIRF_24fLx75Ju8bV_leekhainanese_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
9,5910,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dVEjmYpdcx0y_Wt4FowVVVNec_loikee_sf.jpg,Loi Kee Cooked Food,69,,01-74,0,,,loikee,,1,395,Mon - Sun: 5.30am-3pm,0,6,1,79,2020-10-26T04:09:16.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dVEjmYpdcx0y_Wt4FowVVVNec_loikee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,beocrescentfc,Beo Crescent Market,395,,,en,[], 
