,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5901,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/nyonyakueh_sf.jpg,Nonya Kueh,70,Beo Crescent Market,01-63,,,0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/nyonyakueh_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Kueh']
1,5902,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/DJir4Mbedx96_Cantonese Claypot Rice @ Beo Crescent Market.jpeg,Cantonese Claypot Rice,78,Beo Crescent Market,01-66,,Mon - Sun: 11.45am-8pm,0,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Claypot']
2,5903,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/qxCt35yCAh0n_SL6VZBqdp7Qx_alexandravillageavocado_sf.jpg,Alexandra Village Avocado,0,Beo Crescent Market,01-67,,Mon - Sun: 10am-8pm,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/qxCt35yCAh0n_SL6VZBqdp7Qx_alexandravillageavocado_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
3,5904,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/jAZYJfcPCnoe_Nanyuan Fishball Noodles @ Beo Crescent Market.jpeg,Nanyuan Fishball Noodle,80,Beo Crescent Market,01-68,,Mon - Sun: 5.30am-2pm,0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210913/u4nA5ob0ORno_Nanyuan%20Fishball%20Noodles%20%40%20Beo%20Crescent%20Market.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
4,5905,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/sengkee_sf.jpg,Seng Kee Cooked Food,67,Beo Crescent Market,01-69,,Mon - Sun: 6am-2pm,70,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/sengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Laksa']"
5,5906,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hotcolddrinks_sf.jpg,Hot & Cold Drinks,0,Beo Crescent Market,01-70,,,76,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hotcolddrinks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
6,5907,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/qihvb8wKOgX6_Chef Wang Fried Rice @ Beo Crescent Market.jpeg,Chef Wang Fried Rice,75,Beo Crescent Market,01-71,,"Mon to Sat,10am–3pm, 4:30–8pm",0,"[{'Name': 'Fried Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1595.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1606.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1609.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1617.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1628.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1622.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://weit.s3.ap-southeast-1.amazonaws.com/article/IMG_1632.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fried Rice']
7,5908,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hengheng_sf.jpg,Heng Heng Cooked Food,65,Beo Crescent Market,01-72,,,77,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Beo Crescent Market/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake']
8,5909,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uWw6sCZMYIRF_24fLx75Ju8bV_leekhainanese_sf.jpg,Leek Hainanese Chicken Rice,69,Beo Crescent Market,01-73,,Mon - Sun: 10am-10pm,0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uWw6sCZMYIRF_24fLx75Ju8bV_leekhainanese_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
9,5910,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dVEjmYpdcx0y_Wt4FowVVVNec_loikee_sf.jpg,Loi Kee Cooked Food,69,Beo Crescent Market,01-74,,Mon - Sun: 5.30am-3pm,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dVEjmYpdcx0y_Wt4FowVVVNec_loikee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
