,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,10072,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/PtHyaN9DaajO_sisaket_sf.jpg,Sisaket Thai Food,90,,01-01,0,,,sisaket,,1,413,"fri - Wed: 10.30am-9.30pm, Closed on Thu",0,2,1,71,2020-10-26T04:15:01.000Z,2021-11-08T16:13:18.000Z,"[{'Name': 'Basil Pork Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Tom Yum Fried Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/BFOaBjvczCUi_Stallfront%20%288%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/Azj7a3GYysyc_Dish2_2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/NexS86iW7uLF_Dish1_Action1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai'],False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
1,10073,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/786yusoff_sf.jpg,786 Yusoff Mee Mutton Soup and Briyani,70,,01-02,0,,,786yusoff,,1,413,Mon - Sun: 6am-10pm,72,0,0,72,2020-10-26T04:15:01.000Z,2022-01-17T20:00:01.000Z,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/786yusoff_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Biryani']",False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
2,10074,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fishballnoodles_sf.jpg,Fishball Noodles,69,,01-03,0,,,fishballnoodles,,1,413,Mon - Sun: 5.30am-3pm,66,4,0,66,2020-10-26T04:15:01.000Z,2021-10-14T03:10:42.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fishballnoodles_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
3,10075,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/wUNsevQANBW2_115cafe_sf.jpg,115 Cafe,0,,01-04,0,,,115cafe,,1,413,,75,0,1,75,2020-10-26T04:15:01.000Z,2021-11-08T16:13:18.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/wUNsevQANBW2_115cafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
4,10076,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/kimhuat_sf.jpg,Kim Huat Wanton Mee,81,,01-05,0,,,kimhuat,,1,413,Mon - Sun: 6am-2.30pm,81,2,1,81,2020-10-26T04:15:01.000Z,2021-10-14T03:10:43.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/kimhuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
5,10077,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/laiheng_sf.jpg,Lai Heng,80,,01-06,0,,,laiheng,,1,413,"Tue - Sun: 10am-10pm, Closed on Mon",0,10,0,77,2020-10-26T04:15:01.000Z,2021-10-14T03:10:43.000Z,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fried Oyster', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/gUFRUS6cbxRn_Stallfront%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/QIEufOKC8I4E_Dishes_3.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/KeS9oYGoKvSu_Dish2_3.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Hokkien Mee', 'Fried Oyster']",False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
6,10078,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/p47891UkIueN_Hong Xing Handmade Fishball Meatball Noodles @ 115 Bukit Merah View.jpeg,Hong Xing Handmade Fishball Meatball Noodle,80,,01-07,0,,,hongxing,,1,413,"Thu - Tue: 7am-6pm, Closed on Wed",0,10,0,75,2020-10-26T04:15:01.000Z,2021-11-08T16:13:41.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Meatball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/eePgzWyIE7fZ_Stallfront%20%2819%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/Wo65gO5gnJey_Dish_Action1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201108/0KFy0xmOjrEj_Dish_4%20%282%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
7,10079,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fengji_sf.jpg,Feng Ji Xiao Chi,67,,01-08,0,,,fengji,,1,413,"Mon - Sun: 12pm-2pm, 5pm-10.30pm",0,1,1,77,2020-10-26T04:15:01.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 115 Bukit Merah View/fengji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Zi Char'],False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
8,10080,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/6Ero9KOjdQba_charcoalgrilled_sf.jpg,Charcoal Grilled,78,,01-09,0,,,charcoalgrilled,,1,413,Mon - Sun: 5.30pm-9pm,0,9,1,78,2020-10-26T04:15:01.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/6Ero9KOjdQba_charcoalgrilled_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Rojak', 'Satay']",False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
9,10081,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/eelotMUpGH7Y_risheng_sf.jpg,Ri Sheng F & B,76,,01-10,0,,,risheng,,1,413,Mon - Sun: 7am-10pm,0,2,1,76,2020-10-26T04:15:02.000Z,2021-11-08T16:13:18.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/eelotMUpGH7Y_risheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Beverages'],False,bukitmerahview115,Bukit Merah View Blk 115,413,,,en,[], 
