,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9192,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/CIw9g5BoZ2Bv_i1kWK59cYdjI_beehwa_m2.JPG,Bee Hwa Handmade Pau,68,Bukit Panjang Hawker Centre & Market,01-07,,"Tue - Sun: 6am-2pm, Closed on Mon",83.0,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/CIw9g5BoZ2Bv_i1kWK59cYdjI_beehwa_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PRfQhT1GTZgf_1uD0lJnWgjsy_beehwa_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/beehwa_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum']
1,9193,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/RqnV5XkF1DL5_pIa33NCokVNr_dongshun_m1.JPG,Dong Shun Vegetarian,68,Bukit Panjang Hawker Centre & Market,01-08,,,81.0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/RqnV5XkF1DL5_pIa33NCokVNr_dongshun_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
2,9194,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/C669hXUC9ztD_A4uQc3Fi9ZcF_zailai_m1.JPG,Zai Lai Lu Mian,70,Bukit Panjang Hawker Centre & Market,01-09,,,73.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/C669hXUC9ztD_A4uQc3Fi9ZcF_zailai_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Lor Mee']
3,9195,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/youji_sf.JPG,You Ji,71,Bukit Panjang Hawker Centre & Market,01-10,,,70.2,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/youji_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/youji_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
4,9196,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/yuntunmian_m1.JPG,Yun Tun Mian,68,Bukit Panjang Hawker Centre & Market,01-11,,"Sat - Thu: 6.30am-8pm, Closed on Fri",0.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/yuntunmian_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Wanton Mee', 'Hor Fun']"
5,9197,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/169mayfishsoup_m1.JPG,169 May Fish Soup,68,Bukit Panjang Hawker Centre & Market,01-12,,,78.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/169mayfishsoup_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fish Soup']
6,9198,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/youxiang_m1.JPG,You Xiang Teochew Noodles,66,Bukit Panjang Hawker Centre & Market,01-13,,,76.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/youxiang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
7,9199,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/wWzvwLEfuQTp_ec9jRXoE2MSz_koreanjapanesecuisine_m2.JPG,Korean Japanese Cuisine,72,Bukit Panjang Hawker Centre & Market,01-14,,Mon - Sun: 9am-9pm,77.0,"[{'Name': 'Korean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/wWzvwLEfuQTp_ec9jRXoE2MSz_koreanjapanesecuisine_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/e9CpQXwfWhW4_koreanjapanesecuisine_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/7El7P0QKhOPm_Korean%20Japanese%20Cuisine%20-menu%201%20%40%20bukitpanjangfc.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Korean Cuisine', 'Japanese Cuisine']"
8,9200,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/likepudding_m1.JPG,Like Pudding Hot & Cold Dessert,68,Bukit Panjang Hawker Centre & Market,01-15,,Mon - Sun: 10am-9pm,67.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/likepudding_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/WVPAJUFgajoS_Pjn4fbKc54SY_Like%2520Pudding%2520Hot%2520%2526%2520Cold%2520Dessert%2520%2520-menu%25201%2520%2540%2520bukitpanjangfc.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
9,9201,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/bFvPUUuJyBdB_grvw2BVlvJx3_xinbanmian_m1.JPG,Xin Ban Mian,70,Bukit Panjang Hawker Centre & Market,01-16,,Mon - Sun: 7am-9pm,70.0,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/bFvPUUuJyBdB_grvw2BVlvJx3_xinbanmian_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Panjang Hawker Centre _ Mkt (679947)/xinbanmian_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Ban Mian']
