,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5373,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/meichin_sf.JPG,Mei Chin Seafood,68,,02-125/126,0,,,meichin,,1,403,,72.0,0,1,72,2020-10-26T04:08:30.000Z,2021-12-20T15:43:39.000Z,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/meichin_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/meichin_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Seafood'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
1,5374,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/zhonghua_m1.JPG,Zhonghua Cafe,0,,02-124,0,,,zhonghua,,1,403,,70.0,0,1,0,2020-10-26T04:08:30.000Z,2021-10-14T02:41:31.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/zhonghua_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
2,5375,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/yongseng_m1.JPG,Yong Seng Satay,70,,02-123,0,,,yongseng,,1,403,"Wed - Mon: 11.30am-8pm, Closed on Tue",72.0,2,0,72,2020-10-26T04:08:30.000Z,2021-11-08T16:13:26.000Z,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/yongseng_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Satay'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
3,5376,,100% Pure Sugar Cane Juice,0,,02-122,0,,,100%puresugarcane,,1,403,,70.0,7,0,70,2020-10-26T04:08:30.000Z,2021-09-23T10:04:57.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
4,5377,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mJYahXT7qGXu_hoe5kYBpJ9UF_zhoupin_m1.JPG,Zhou Pin,66,,02-121,0,,,zhoupin,,1,403,,81.0,13,1,81,2020-10-26T04:08:30.000Z,2021-10-14T02:41:32.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mJYahXT7qGXu_hoe5kYBpJ9UF_zhoupin_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
5,5378,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/ahpoh_m1.JPG,Ah Poh BBQ Seafood,73,,02-119/120,0,,,ahpoh,,1,403,,74.0,5,0,74,2020-10-26T04:08:30.000Z,2021-12-20T15:43:39.000Z,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/ahpoh_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Seafood', 'Zi Char']",False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
6,5379,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/5OwWN8WQjyDP_r8HIDSkb0ZTW_118beancurdsoyabean_sf.JPG,118 Beancurd Soya Bean Drinks,71,,02-118,0,,,118beancurdsoyabean,,1,403,,76.0,0,0,0,2020-10-26T04:08:30.000Z,2021-10-14T02:41:33.000Z,"[{'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/5OwWN8WQjyDP_r8HIDSkb0ZTW_118beancurdsoyabean_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
7,5380,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/EaY3XjHGk63w_hag4ejPEB4Au_3hainanesechickenrice_m1.JPG,3 Hainanese Chicken Rice,75,,02-135,0,,,3hainanesechickenrice,,1,403,"Mon - Sat: 10.30am-3pm, Closed on Sun",85.0,3,1,73,2020-10-26T04:08:30.000Z,2022-01-17T19:59:57.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/EaY3XjHGk63w_hag4ejPEB4Au_3hainanesechickenrice_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
8,5381,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YoXLrsJgE79u_KHD79reriEit_134carrotcake_m2.JPG,134 Carrot Cake,73,,02-134,0,,,134carrotcake,,1,403,,81.0,1,1,81,2020-10-26T04:08:30.000Z,2022-01-17T19:59:57.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YoXLrsJgE79u_KHD79reriEit_134carrotcake_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
9,5382,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/OQvahA2hfmsT_b04oiUsTgnch_peterspan_sf.JPG,Peter's Pan Western Food,67,,02-133,0,,,peterspan,,1,403,"Tue - Sat: 12.30pm-10.30pm, Closed on Sun & Mon",73.0,0,0,0,2020-10-26T04:08:30.000Z,2021-10-14T02:41:34.000Z,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/OQvahA2hfmsT_b04oiUsTgnch_peterspan_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine'],False,bukittimahfc,Bukit Timah Market,403,,,en,[], 
