,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5373,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/meichin_sf.JPG,Mei Chin Seafood,68,Bukit Timah Market,02-125/126,,,72.0,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/meichin_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/meichin_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Seafood']
1,5374,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/zhonghua_m1.JPG,Zhonghua Cafe,0,Bukit Timah Market,02-124,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/zhonghua_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
2,5375,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/yongseng_m1.JPG,Yong Seng Satay,70,Bukit Timah Market,02-123,,"Wed - Mon: 11.30am-8pm, Closed on Tue",72.0,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/yongseng_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Satay']
3,5376,,100% Pure Sugar Cane Juice,0,Bukit Timah Market,02-122,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
4,5377,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mJYahXT7qGXu_hoe5kYBpJ9UF_zhoupin_m1.JPG,Zhou Pin,66,Bukit Timah Market,02-121,,,81.0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mJYahXT7qGXu_hoe5kYBpJ9UF_zhoupin_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge']
5,5378,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/ahpoh_m1.JPG,Ah Poh BBQ Seafood,73,Bukit Timah Market,02-119/120,,,74.0,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Bukit Timah Mkt (588215)/ahpoh_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Seafood', 'Zi Char']"
6,5379,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/5OwWN8WQjyDP_r8HIDSkb0ZTW_118beancurdsoyabean_sf.JPG,118 Beancurd Soya Bean Drinks,71,Bukit Timah Market,02-118,,,76.0,"[{'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/5OwWN8WQjyDP_r8HIDSkb0ZTW_118beancurdsoyabean_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
7,5380,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/EaY3XjHGk63w_hag4ejPEB4Au_3hainanesechickenrice_m1.JPG,3 Hainanese Chicken Rice,75,Bukit Timah Market,02-135,,"Mon - Sat: 10.30am-3pm, Closed on Sun",85.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/EaY3XjHGk63w_hag4ejPEB4Au_3hainanesechickenrice_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
8,5381,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YoXLrsJgE79u_KHD79reriEit_134carrotcake_m2.JPG,134 Carrot Cake,73,Bukit Timah Market,02-134,,,81.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YoXLrsJgE79u_KHD79reriEit_134carrotcake_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
9,5382,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/OQvahA2hfmsT_b04oiUsTgnch_peterspan_sf.JPG,Peter's Pan Western Food,67,Bukit Timah Market,02-133,,"Tue - Sat: 12.30pm-10.30pm, Closed on Sun & Mon",73.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/OQvahA2hfmsT_b04oiUsTgnch_peterspan_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
10,5383,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/g2ovAs6HsZak_CMy2ivRHsWYX_lixing_m1.JPG,Li Xing Fried Hokkien Prawn Mee,71,Bukit Timah Market,02-132,,,0.0,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/g2ovAs6HsZak_CMy2ivRHsWYX_lixing_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Hokkien Mee']
11,5384,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xJlOrFt6klMq_QzoLUpi0rTWB_tastythaihut_m1.JPG,Tasty Thai Hut,66,Bukit Timah Market,02-131,,Mon - Sun: 11am-7.30pm,80.0,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xJlOrFt6klMq_QzoLUpi0rTWB_tastythaihut_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
12,5385,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/yVFXgwqpNvU1_hNQIp9OWfO20_beautyinabowl_m1.JPG,Beauty In A Bowl,81,Bukit Timah Market,02-130,,,76.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/yVFXgwqpNvU1_hNQIp9OWfO20_beautyinabowl_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/EBYEO2lMpFtc_Beauty%20In%20A%20Bowl%20%40%20bukit%20timah%20market.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
