,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8689,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/IwHpjvGwHJf0_warongtehkopitarik_sf.jpg,Warong Teh N Kopi Tarik,0,,01-01,0,,,warongtehkopitarik,,1,425,,0,2,0,70,2020-10-26T04:13:09.000Z,2022-01-17T19:59:59.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IwHpjvGwHJf0_warongtehkopitarik_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
1,8690,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/WWY29X08FTHE_hajjahsapiah_sf.jpg,Hajjah Sapiah Muslim Stall,68,,01-02,0,,,hajjahsapiah,,1,425,,0,13,0,72,2020-10-26T04:13:09.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/WWY29X08FTHE_hajjahsapiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Mee Rebus']",False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
2,8691,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/PLHTYZOSjEco_internationalmuslimfood_sf.jpg,International Muslim Food Stall Nasi Lemak,77,,01-03,0,,,internationalmuslimfood,,1,425,"Mon - Fri: 9.30am-1.30pm, 6pm-Midnight, Sat: 9.30am-7.30pm, Sun: 9.30am-Midnight",0,13,0,79,2020-10-26T04:13:09.000Z,2021-12-20T15:43:43.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/PLHTYZOSjEco_internationalmuslimfood_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
3,8692,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qOuqvKzZ6u9n_hjhsalbiah_sf.jpg,HJH. Salbiah,68,,01-04,0,,,hjhsalbiah,,1,425,,0,10,0,78,2020-10-26T04:13:09.000Z,2021-10-14T03:02:31.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qOuqvKzZ6u9n_hjhsalbiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Lontong']",False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
4,8693,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/uWmaZ8QJkIIn_naseebmuslim_sf.jpg,Naseeb Muslim Food Stall,66,,01-05,0,,,naseebmuslim,,1,425,,0,2,0,79,2020-10-26T04:13:09.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/uWmaZ8QJkIIn_naseebmuslim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Mee Goreng']",False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
5,8694,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/K6clnW6BljmQ_safitehtarik_sf.jpg,Safi Teh Tarik Corner,0,,01-06,0,,,safitehtarik,,1,425,,76,0,0,0,2020-10-26T04:13:09.000Z,2021-10-14T03:02:32.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/K6clnW6BljmQ_safitehtarik_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
6,8695,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210312/3m25IYzAzeXQ_aspirasi_sf.jpg,Aspirasi,71,,01-07,0,,,aspirasi,,1,425,,72,0,0,72,2020-10-26T04:13:09.000Z,2021-12-20T15:43:43.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/3m25IYzAzeXQ_aspirasi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
7,8696,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/0tfBlD1FCHoN_desserthouse_sf.jpg,Changi V. Dessert House,68,,01-08,0,,,desserthouse,,1,425,"Thu - Tue: 11.30am-10pm, Closed on Wed",66,2,0,66,2020-10-26T04:13:09.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/0tfBlD1FCHoN_desserthouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
8,8697,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1hgehj1JPq4m_01019bbq_sf.jpg,01019 BBQ,67,,01-09,0,,,01019bbq,,1,425,,75,6,1,75,2020-10-26T04:13:10.000Z,2021-10-14T03:02:33.000Z,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1hgehj1JPq4m_01019bbq_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
9,8698,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/JbHWJjDqtK0Y_angtecklim_sf.jpg,Ang Teck Lim Drink Stall,0,,01-10,0,,,angtecklim,,1,425,,81,2,0,81,2020-10-26T04:13:10.000Z,2021-12-20T15:43:43.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/JbHWJjDqtK0Y_angtecklim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,changivillage2,Changi Village Road Blks 2 & 3 ,425,,,en,[], 
