,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9595,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210920/6xt7bDB8BHSM_Kazan @ Chinatown Complex.jpeg,Kazan Japanese Cuisine,89,Chinatown Complex,02-01,,,72.0,"[{'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201109/mHQ0jlMHjbaN_image2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201109/EI8vXpzOuvgU_image16.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201109/9k7r1iOZT5MM_image14.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Japanese Cuisine']
1,9596,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0W4INxEwcPpY_jF6AESIdxA5r_xishicharcoal_sf.jpg,Xi Shi Charcoal Bak Kwa,68,Chinatown Complex,02-02,,,78.0,"[{'Name': 'BBQ Pork', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0W4INxEwcPpY_jF6AESIdxA5r_xishicharcoal_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
2,9597,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/b3fd4OtL0odK_chefshamvinegarpigtrotters_sf.jpg,Chef Sham Vinegar Pig Trotters,81,Chinatown Complex,02-07,,"Daily, 11am-9pm",78.0,"[{'Name': 'Vinegar Pig Trotters', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Sesame Oil Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/b3fd4OtL0odK_chefshamvinegarpigtrotters_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/TEtTzZ87euOX_chefshamvinegarpigtrotters_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Vinegar Trotter', 'Sesame Oil Chicken']"
3,9598,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mzLDQnLp6B1G_po3gKN1GzdIq_oldamoychendol_sf.jpg,Old Amoy Chendol,70,Chinatown Complex,02-08,,Mon - Sun: 10.30am-6pm,74.0,"[{'Name': 'Chendol', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mzLDQnLp6B1G_po3gKN1GzdIq_oldamoychendol_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chendol']
4,9599,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/8Cq9aVoKyTOs_zhenzong_sf.jpg,Zhen Zong Lao Huo Tang,73,Chinatown Complex,02-11,,,77.0,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8Cq9aVoKyTOs_zhenzong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Herbal Soup']
5,9600,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Thcz7JKltxLb_ounanyuanroasted_sf.jpg,Ou Nan Yuan Roasted,68,Chinatown Complex,02-13,,,67.0,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Thcz7JKltxLb_ounanyuanroasted_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Braised Meat & Duck', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
6,9601,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Chinatown Market/carrotcake_sf.jpg,Carrot Cake,70,Chinatown Complex,02-15,,,70.0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Chinatown Market/carrotcake_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Hokkien Mee']"
7,9602,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/14SNmIhFb73l_LcwuWJnPbCaZ_thaihouse_sf.jpg,Thai House Food Stall,71,Chinatown Complex,03-16,,,0.0,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/14SNmIhFb73l_LcwuWJnPbCaZ_thaihouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
8,9603,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Chinatown Market/herbalsoup_sf.jpg,Herbal Soup,94,Chinatown Complex,02-17,,,75.0,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Chinatown Market/herbalsoup_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201109/xXHOBFRwC10F_image18.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201109/1foOG3Kx1c28_image35.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Herbal Soup']
9,9604,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/R5TY5rqFBSEn_seafoodfishhead_sf.jpg,Seafood Fishhead,72,Chinatown Complex,02-18,,,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/R5TY5rqFBSEn_seafoodfishhead_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Zi Char']"
