,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8460,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/ahzhen_sf.jpg,Ah Zhen Bread,66,Circuit Road Blk 89,01-94,,,66,"[{'Name': 'Bread', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/ahzhen_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Bread']
1,8461,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/yongtaufu_sf.jpg,Yong Tau Fu Stall,72,Circuit Road Blk 89,01-95,,,75,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/yongtaufu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
2,8462,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/xiji_sf.jpg,Xi Ji Roast Meat,70,Circuit Road Blk 89,01-96,,,81,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/xiji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
3,8463,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/KCpX5sPwWRby_anakrahmah_sf.jpg,Anak Rahmah Malay Cuisine,68,Circuit Road Blk 89,01-97,,,0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/KCpX5sPwWRby_anakrahmah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam']"
4,8464,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/jqPkub9Wwj1F_siglapchweekuey_sf.jpg,Siglap Chwee Kuey,68,Circuit Road Blk 89,01-98,,,0,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/jqPkub9Wwj1F_siglapchweekuey_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chwee Kueh']
5,8465,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/cailong_sf.jpg,Cai Long Coffee,0,Circuit Road Blk 89,01-99,,,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/cailong_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
6,8466,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/mVuL5kvwQL6Z_100tianlai_sf.jpg,100 Tian Lai Roasted Meat,71,Circuit Road Blk 89,01-100,,Mon - Sun: 6am-3pm,66,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/mVuL5kvwQL6Z_100tianlai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
7,8467,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/economicalbreakfast_sf.jpg,Economical Breakfast Stall,68,Circuit Road Blk 89,01-101,,,70,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/economicalbreakfast_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
8,8468,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/carrotcake_sf.jpg,89 Carrot Cake,73,Circuit Road Blk 89,01-102,,Mon - Sun: 5.30am-Midnight,74,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/carrotcake_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake']
9,8469,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/fishballnoodles_sf.jpg,78 Fish Ball Noodles,69,Circuit Road Blk 89,01-103,,,0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 89 Circuit Road - 40 stalls/fishballnoodles_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
