,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7219,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/BnkInSfhDwvf_LXycsYKRwGAH_aishahlee_m3.JPG,Aishah Lee Muslim Food,68,Clementi Ave 2 Blk 353,01-60/62,,"Thu - Tue: 8.30am-3.30pm, Wed: 8.30am-5pm",81,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/BnkInSfhDwvf_LXycsYKRwGAH_aishahlee_m3.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rAbXORYcRig2_ZrlfzICxKoMQ_aishahlee_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Malay Cuisine']"
1,7220,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 353 Clementi Ave 2/hockthye_m1.JPG,Hock Thye Noodles,68,Clementi Ave 2 Blk 353,01-61,,,74,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 353 Clementi Ave 2/hockthye_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/K5eDgRBq4gQI_Hock%20Thye%20Noodles%20-%20menu%20%40%20Clementi%20Ave%202%20Blk%20353.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Hor Fun']"
2,7221,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/LQMRx42bWDcS_WUDBAX9JBj1m_163meishi_m1.JPG,163 Mei Shi,69,Clementi Ave 2 Blk 353,01-63,,,0,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/LQMRx42bWDcS_WUDBAX9JBj1m_163meishi_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
3,7222,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/izuseL8KYTHW_eOzOz6QI6GOY_huahuatli_m1.JPG,Hua Huat Li Drink Stall,0,Clementi Ave 2 Blk 353,01-64,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/izuseL8KYTHW_eOzOz6QI6GOY_huahuatli_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,7223,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/kZFCcKWQps2r_BCco1FycV9X6_fa_m1.JPG,Fa,69,Clementi Ave 2 Blk 353,01-65,,,0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/kZFCcKWQps2r_BCco1FycV9X6_fa_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Te9RVrkPNNMo_PHsPY2W7lwu3_kGSpyniLo1Ku_fa_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
5,7224,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 353 Clementi Ave 2/haojie_m1.JPG,Hao Jie Cooked Food,73,Clementi Ave 2 Blk 353,01-66,,,0,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 353 Clementi Ave 2/haojie_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/MQCslBxOijWh_Hao%20Jie%20Cooked%20Food%20-%20menu%20%40%20Clementi%20Ave%202%20Blk%20353.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Porridge']"
6,7225,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xed3UKqZ7vMo_StKHgXW2fPjl_ahmeng_m1.JPG,Ah Meng Delicious Food,70,Clementi Ave 2 Blk 353,01-67,,"Thu - Mon: 10am-11pm, Closed on Tue & Wed",0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xed3UKqZ7vMo_StKHgXW2fPjl_ahmeng_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Hokkien Mee']"
7,7226,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iN24jXFWMjy0_vqspUqQ4dxBr_168chickenrice_m1.JPG,168 Chicken Rice,68,Clementi Ave 2 Blk 353,01-68,,,0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iN24jXFWMjy0_vqspUqQ4dxBr_168chickenrice_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
8,7227,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 353 Clementi Ave 2/jalilahscorner_m1.JPG,Jalilah's Corner,68,Clementi Ave 2 Blk 353,01-69,,,70,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 353 Clementi Ave 2/jalilahscorner_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Mee Rebus']"
9,7228,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/CryIGA2nC7Js_IEuW8NFdrNGe_themeetingplace_m1.JPG,The Meeting Place Seafood Barbeque,68,Clementi Ave 2 Blk 353,01-70,,,72,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/CryIGA2nC7Js_IEuW8NFdrNGe_themeetingplace_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood']
