,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7375,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/IingY6ubu7LV_Q7TnbO5XaTFk_chaiho_sf.JPG,Satay Chai Ho Dried Pork,80,,01-10,0,,,chaiho,,1,451,"Wed - Sun: 2pm-9pm, Closed on Mon & Tue",80.0,0,0,73,2020-10-26T04:11:18.000Z,2022-01-17T20:04:51.000Z,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bak Kwa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/IingY6ubu7LV_Q7TnbO5XaTFk_chaiho_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay', 'Bak Kwa']",False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
1,7409,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/jixiang_m1.JPG,Ji Xiang,68,,01-44,0,,,jixiang,,1,451,"Tue - Sun: 6am-1.30pm, Closed on Mon",0.0,0,0,77,2020-10-26T04:11:21.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Vegetarian Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/jixiang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
2,11670,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/kaka_m1.JPG,Kaka Sugar Cane Juice,0,,01-01,0,,,kaka,,1,451,"Mon - Sat: 9am-9pm, Closed on Sun",76.0,12,0,70,2020-10-30T22:59:14.000Z,2021-11-08T16:13:21.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/kaka_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages'],False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
3,11671,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/sayedaminah_m1.JPG,Sayed Aminah Muslim Food,66,,01-02,0,,,sayedaminah,,1,451,"Tue - Sun: 5am-10pm, Closed on Mon",0.0,0,1,77,2020-10-30T22:59:14.000Z,2021-11-08T16:13:21.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/sayedaminah_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Roti Prata', 'Mutton Soup (Indian)']",False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
4,11672,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/abangheritagefood_m1.JPG,Abang Heritage Food Since 1999,66,,01-03,0,,,abangheritagefood,,1,451,Mon - Sun: 8.30am-9.30pm,60.0,5,0,80,2020-10-30T22:59:14.000Z,2021-11-08T16:13:21.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/abangheritagefood_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Ayam Penyet', 'Chicken Rice & Noodles']",False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
5,11673,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/hjhzeana_m1.JPG,Hjh Zeana Hot & Cold Drinks,0,,01-04,0,,,hjhzeana,,1,451,,73.0,1,0,77,2020-10-30T22:59:14.000Z,2021-10-14T03:20:12.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/hjhzeana_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210312/btUF6W1YVpEO_DuXqWRBJtRGE_Hjh%2520Zeana%2520Hot%2520%2526%2520Cold%2520Drinks%2520%2520-%2520menu%2520%2540%2520Clementi%2520Ave%25203%2520Blk%2520448.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
6,11674,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/sitilaila_m1.JPG,Siti Laila Muslim Food,68,,01-05,0,,,sitilaila,,1,451,24 hours daily,0.0,0,0,67,2020-10-30T22:59:14.000Z,2021-11-08T16:13:49.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/sitilaila_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Nasi Padang', 'Nasi Lemak']",False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
7,11675,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/wahadmuslim_m1.JPG,Wahad Muslim Satay,71,,01-06,0,,,wahadmuslim,,1,451,"Tue - Sun: 6am-10pm, Closed on Mon",67.5,3,1,65,2020-10-30T22:59:14.000Z,2021-10-14T03:20:13.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/wahadmuslim_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Satay', 'Malay Cuisine']",False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
8,11676,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/fuxiang_m1.JPG,Fu Xiang,73,,01-09,0,,,fuxiang,,1,451,"Mon - Sat: 10.30am-9pm, Closed on Sun",0.0,0,0,75,2020-10-30T22:59:14.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/fuxiang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Carrot Cake', 'Oyster Omelette']",False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
9,11677,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/snowmountchweekueh_m1.JPG,Snow Mount (Chwee Kueh),73,,01-11,0,,,snowmountchweekueh,,1,451,"Fri - Wed: 7.30am-9.30pm, Closed on Thu",71.83333333,11,1,72,2020-10-30T22:59:14.000Z,2021-10-14T03:20:14.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 448 Clementi Ave 3/snowmountchweekueh_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chwee Kueh'],False,clementi448,Clementi Ave 3 Blk 448,451,,,en,[], 
