,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8085,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/yowwCfTkZ5T0_K09Uav6dJs4q_arifinali_m1.JPG,Arifin Ali Indian Muslim Food,72,,01-176,0,,,arifinali,,1,474,Mon - Sun: 6am-Midnight,67,12,1,67,2020-10-26T04:12:19.000Z,2021-11-08T16:13:54.000Z,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/yowwCfTkZ5T0_K09Uav6dJs4q_arifinali_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian'],False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
1,8086,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AvcarsC6KJFZ_bhCq5DUIPlg8_puterisberlian_m1.JPG,Puteri's Berlian,70,,01-177,0,,,puterisberlian,,1,474,Mon - Sun: 8am-6pm,70,1,1,70,2020-10-26T04:12:19.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AvcarsC6KJFZ_bhCq5DUIPlg8_puterisberlian_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Nasi Lemak']",False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
2,8087,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1esACbTsniqi_aanifood_sf.JPG,Aani Food Stall,73,,01-178,0,,,aanifood,,1,474,,0,7,0,80,2020-10-26T04:12:19.000Z,2022-01-17T20:04:57.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1esACbTsniqi_aanifood_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Malay Cuisine']",False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
3,8088,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonsoon_m1.JPG,Soon Soon Cold / Hot Drinks,0,,01-179,0,,,soonsoon,,1,474,Mon - Sun: 9am-9pm,0,2,1,72,2020-10-26T04:12:19.000Z,2021-10-14T02:58:14.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonsoon_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
4,8089,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/bedok511bbqchickenwing_m1.JPG,Bedok 5  BBQ Chicken Wing,72,,01-180,0,,,bedok511bbqchickenwing,,1,474,,85,0,0,0,2020-10-26T04:12:20.000Z,2021-10-14T02:58:15.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/bedok511bbqchickenwing_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'BBQ Chicken']",False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
5,8090,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/meifengshaola_m1.JPG,Mei Feng Shao La Ji Fan,70,,01-181 / 185,0,,,meifengshaola,,1,474,Mon - Sun: 10am-8pm,70,10,1,70,2020-10-26T04:12:20.000Z,2021-12-20T15:46:32.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/meifengshaola_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles'],False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
6,8091,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/R7neZsQvc0zU_Bye75bXob0n8_huphengnoodlehouse_m1.JPG,Hup Heng Noodle House,69,,01-182,0,,,huphengnoodlehouse,,1,474,"Tue - Sun: 9am-1.30pm, 5pm-10pm, Closed on Mon",72,10,0,72,2020-10-26T04:12:20.000Z,2021-11-08T16:13:54.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Popiah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/R7neZsQvc0zU_Bye75bXob0n8_huphengnoodlehouse_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Popiah']",False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
7,8092,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Zn5LBJXuN8Ye_I5glkb0wkd1G_bluedragonfly_m1.JPG,Blue Dragonfly Minced Meat Noodle,68,,01-183,0,,,bluedragonfly,,1,474,,0,3,1,82,2020-10-26T04:12:20.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Zn5LBJXuN8Ye_I5glkb0wkd1G_bluedragonfly_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']",False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
8,8093,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonlee_m1.JPG,Soon Lee Fishball Noodle,69,,01-184,0,,,soonlee,,1,474,Mon - Sun: 9am-11pm,72,2,1,72,2020-10-26T04:12:20.000Z,2021-12-20T15:46:32.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/soonlee_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']",False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
9,8095,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/hainanesecurryrice_m1.JPG,Hainanese Curry Rice,72,,01-166,0,,,hainanesecurryrice,,1,474,,81,1,0,81,2020-10-26T04:12:20.000Z,2021-10-14T02:58:18.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 726 Clementi West Street 2/hainanesecurryrice_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry'],False,clementiwest726,Clementi West Street 2 Blk 726,474,,,en,[], 
