,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5483,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ZnxbPbKCRaBp_stall03_sf.jpg,01-03,72,Dunman Food Centre,01-03,,,67.25,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ZnxbPbKCRaBp_stall03_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay', 'BBQ Chicken']"
1,5484,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ZqESeF6U2sTZ_joochiatahhuat_sf.jpg,Joo Chiat Ah Huat Wanton Noodle,71,Dunman Food Centre,01-04,,,70.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ZqESeF6U2sTZ_joochiatahhuat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
2,5485,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Dunman Food Centre - 30 stalls/sayseng_sf.jpg,Say Seng Famous Tau Kwa Pau,83,Dunman Food Centre,01-05,,"Tue - Sun: 7am-4.30pm, Closed on Mon",0.0,"[{'Name': 'Pau', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Dunman Food Centre - 30 stalls/sayseng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum']
3,5486,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/VAuu4Kwm7y4x_1acrispycurrypuff_sf.jpg,1A Crispy Curry Puff,70,Dunman Food Centre,01-07,,,73.0,"[{'Name': 'Curry Puff', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/VAuu4Kwm7y4x_1acrispycurrypuff_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry Puffs']
4,5487,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/TkpwSBEe2ipQ_firstdelight_sf.jpg,First Delight,74,Dunman Food Centre,01-08,,Mon - Sun: 12pm-5.30pm,67.0,"[{'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Glutinous Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/TkpwSBEe2ipQ_firstdelight_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Teochew Kueh', 'Dim Sum']"
5,5488,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/tfKeNa9s68Gy_ahhuatcafe_sf.jpg,Ah Huat Cafe,0,Dunman Food Centre,01-09,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/tfKeNa9s68Gy_ahhuatcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,5489,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fTuH7wLjEUVI_duckrice_sf.jpg,Dunman Duck Rice,74,Dunman Food Centre,01-10,,Sat - Thu: 11am-9pm,0.0,"[{'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fTuH7wLjEUVI_duckrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
7,5490,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Dunman Food Centre - 30 stalls/hengheng_sf.jpg,Heng Heng Prawn Mee Soup,69,Dunman Food Centre,02-12,,"Mon - Sat: 3pm-10.30pm, Sun: 2pm-10pm",70.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Dunman Food Centre - 30 stalls/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
8,5491,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Dunman Food Centre - 30 stalls/rongji_sf.jpg,Rong Ji Chicken Rice Porridge,73,Dunman Food Centre,02-13,,"Thu - Tue: 6am-2pm, Closed on Wed",72.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Dunman Food Centre - 30 stalls/rongji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Porridge']"
9,5492,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/nHAGU8ZJF9qQ_lauhongser_sf.jpg,Lau Hong Ser Rojak,85,Dunman Food Centre,02-14,,"Mon - Sat: 4.30pm-1.30am, Closed on Sun",78.0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/nHAGU8ZJF9qQ_lauhongser_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak']
