,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8047,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/V3eBc6qJCgil_FFoGSkmCIetA_kokchan_sf.jpg,Kok Chan Hot & Cold Drink,0,Empress Road Blk 7,01-69,,Mon - Sun: 7.30am-4.30pm,72.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/V3eBc6qJCgil_FFoGSkmCIetA_kokchan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,8048,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rx9WqVXrKc7y_EPUHcnuayxWU_starcafe_sf.jpg,Star Cafe,0,Empress Road Blk 7,01-70,,Mon - Sun: 7am-10pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rx9WqVXrKc7y_EPUHcnuayxWU_starcafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
2,8049,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/zKJFlkJUpdlf_viuPZ28PB6Wm_chicksnchops_sf.jpg,Chicks n' Chops,75,Empress Road Blk 7,01-71,,,72.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/zKJFlkJUpdlf_viuPZ28PB6Wm_chicksnchops_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
3,8050,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/BPLxgWEeXRxU_WmB5vLW4HTRw_meixiangchashi_sf.jpg,Mei Xiang Cha Shi,0,Empress Road Blk 7,01-72,,Mon - Sun: 5am-4pm,66.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/BPLxgWEeXRxU_WmB5vLW4HTRw_meixiangchashi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
4,8051,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/fovPmnY2VArg_A75o8JEkfbim_xinxinxiang_sf.jpg,Xin Xin Xiang Minced Meat Noodle,68,Empress Road Blk 7,01-73,,Mon - Sun: 5am-2pm,75.0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/fovPmnY2VArg_A75o8JEkfbim_xinxinxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Char Kway Teow', 'Bak Chor Mee']"
5,8052,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Q1RxZii2HbzG_ytMNoQIUUxfG_bungarayaprata_sf.jpg,Bunga Raya Prata Hut,74,Empress Road Blk 7,01-74,,Mon - Sun: 6.30am-8pm,81.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Q1RxZii2HbzG_ytMNoQIUUxfG_bungarayaprata_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Biryani']"
6,8053,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/XZEInpFheilA_1J3q2bFKo5l4_pondokmarina_sf.jpg,Pondok Marina,73,Empress Road Blk 7,01-75,,,0.0,"[{'Name': 'Curry Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Beef Rendang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/XZEInpFheilA_1J3q2bFKo5l4_pondokmarina_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Curry', 'Beef Rendang']"
7,8054,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/engkee_sf.jpg,Eng Kee Prawn Noodle,65,Empress Road Blk 7,01-76,,,0.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/engkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
8,8055,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/tf5r9wDXTMsw_EFqImxP6gmUA_qixindimsum_sf.jpg,Qi Xin Dim Sum,72,Empress Road Blk 7,01-77,,,80.0,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/tf5r9wDXTMsw_EFqImxP6gmUA_qixindimsum_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum']
9,8056,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/A1Xotehfc3RW_rqaUbOMpmIup_mssempress_sf.jpg,M.S.S Empress Indian Food,71,Empress Road Blk 7,01-79,,,0.0,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/A1Xotehfc3RW_rqaUbOMpmIup_mssempress_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Indian Rojak']"
10,8057,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/X3hlxOUFym6G_V0ksGo7q84Cy_makscafe_sf.jpg,Mak's Cafe,0,Empress Road Blk 7,01-80,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/X3hlxOUFym6G_V0ksGo7q84Cy_makscafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
11,8058,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/78KWvg3ngnMA_syb1KaaZIzX7_bungarayamuslim_sf.jpg,Bunga Raya Muslim Food,65,Empress Road Blk 7,01-81,,Mon - Sun: 7am-7.30pm,0.0,"[{'Name': 'Masal Vadai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Medhu Vadai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/78KWvg3ngnMA_syb1KaaZIzX7_bungarayamuslim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vadai']
12,8059,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/quanji_sf.jpg,Quan Ji Economical Bee Hoon,70,Empress Road Blk 7,01-82,,,0.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/quanji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Nasi Lemak']"
13,8060,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/hengheng_sf.jpg,Heng Heng Nasi Lemak,68,Empress Road Blk 7,01-83,,Mon - Sun: 5am-2.30pm,77.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Chwee Kueh']"
14,8061,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gWb5HlAvFFB8_UOhIiHQsEy5S_kuehsandsnacks_sf.jpg,Kuehs and Snacks,69,Empress Road Blk 7,01-84,,Mon - Sun: 7am-2pm,0.0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gWb5HlAvFFB8_UOhIiHQsEy5S_kuehsandsnacks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kueh']
15,8062,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/ptkopiempress_sf.jpg,P&T Kopi,0,Empress Road Blk 7,01-85,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 7 Empress Road/ptkopiempress_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
