,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7522,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fdLZtfX9xGFf_alham_sf.jpg,Alham (Eunos Crescent),72,,01-01,0,,,alham,,1,454,Mon - Sun: 6am-11.30pm,67,2,0,67,2020-10-26T04:11:32.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fdLZtfX9xGFf_alham_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Siam']",False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
1,7523,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1MO8zlgKzYQZ_dapurmarmi_sf.jpg,Dapur Marmi,72,,01-02,0,,,dapurmarmi,,1,454,,0,1,0,75,2020-10-26T04:11:32.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1MO8zlgKzYQZ_dapurmarmi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Lontong']",False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
2,7524,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ZOYi6zFeGtet_kacangpoolspecial_sf.jpg,Kacang Pool Special,73,,01-03,0,,,kacangpoolspecial,,1,454,Mon - Sun: 6am-10pm,0,14,0,76,2020-10-26T04:11:32.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Gado Gado', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ZOYi6zFeGtet_kacangpoolspecial_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Gado Gado']",False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
3,7525,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/E6mjoZqa7FOI_hassansarbat_sf.jpg,Hassan Sarbat Stall,0,,01-04,0,,,hassansarbat,,1,454,,0,11,0,74,2020-10-26T04:11:32.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/E6mjoZqa7FOI_hassansarbat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
4,7526,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FmDf7tAkC7KX_sjsickandarammalmuslim_m1.jpg,S.J Sickandar Ammal Muslim Foods,65,,01-05,0,,,sjsickandarammalmuslim,,1,454,Mon - Sun: 6.30am-10.30pm,0,8,0,76,2020-10-26T04:11:33.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Gado Gado', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FmDf7tAkC7KX_sjsickandarammalmuslim_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Gado Gado']",False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
5,7527,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/qP8cCLojBrXE_shahsdelight_sf.jpg,Shah's Delight Cuisine,66,,01-06,0,,,shahsdelight,,1,454,Mon - Sun: 6.30am-11pm,0,11,0,74,2020-10-26T04:11:33.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'Apam Balek', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/qP8cCLojBrXE_shahsdelight_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Apam Balik'],False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
6,7528,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/1R4M7DGTBHc8_jimmanashahan_sf.jpg,Jimmana Shahan Drink Stall,0,,01-07,0,,,jimmanashahan,,1,454,,77,12,0,77,2020-10-26T04:11:33.000Z,2021-10-14T02:54:56.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/1R4M7DGTBHc8_jimmanashahan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
7,7529,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 4A Eunos Crescent - 42 stalls/sjsickandarammalindianrojak_sf.jpg,S.J Sickandar Ammal Muslim Foods Indian Rojak Nasi Briyani,70,,01-08,0,,,sjsickandarammalindianrojak,,1,454,,67,4,0,67,2020-10-26T04:11:33.000Z,2021-10-14T02:54:58.000Z,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 4A Eunos Crescent - 42 stalls/sjsickandarammalindianrojak_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Indian Rojak']",False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
8,7530,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vYqEBBTAObKd_epokepok_sf.jpg,Epok Epok Central Muslim Food,68,,01-09,0,,,epokepok,,1,454,"Tue - Sun: 2pm-7pm, Closed on Mon",70,2,0,70,2020-10-26T04:11:33.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vYqEBBTAObKd_epokepok_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Epok Epok']",False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
9,7531,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/F21uM390MSxy_darulaman_sf.jpg,Darul Aman Nasi Padang,71,,01-10,0,,,darulaman,,1,454,,0,7,0,77,2020-10-26T04:11:33.000Z,2021-11-08T16:13:53.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/F21uM390MSxy_darulaman_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Padang'],False,eunoscrescent4a,Eunos Crescent Blk 4A ,454,,,en,[], 
