,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7970,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WbLujdO6yqr6_juxing_sf.jpg,Ju Xing Hainanese Boneless Chicken Rice,71,,01-01,0,,,juxing,,1,471,,0.0,0,0,65,2020-10-26T04:12:09.000Z,2022-01-17T20:04:52.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WbLujdO6yqr6_juxing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
1,7971,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 69 Geylang Bahru - 78 stalls/tiantianxiang_sf.jpg,Tian Tian Xiang Rojak,71,,01-02,0,,,tiantianxiang,,1,471,Mon - Sun: 12pm-10pm,0.0,0,0,74,2020-10-26T04:12:09.000Z,2022-01-17T20:04:52.000Z,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 69 Geylang Bahru - 78 stalls/tiantianxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Rojak'],False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
2,7972,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/D7uYZu0imCHu_xingwangfa_sf.jpg,Xing Wang Fa,72,,01-03,0,,,xingwangfa,,1,471,"Mon - Sat: 4pm-9pm, Sun: 12pm-9pm",0.0,0,0,68,2020-10-26T04:12:09.000Z,2021-10-14T02:57:29.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/D7uYZu0imCHu_xingwangfa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Oyster Omelette']",False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
3,7973,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/pO85XJpjWHHS_putianyazhujiaxiangxiaoshi_sf.jpg,Pu Tian Ya Zhu Jia Xiang Xiao Shi,71,,01-04,0,,,putianyazhujiaxiangxiaoshi,,1,471,,0.0,0,1,69,2020-10-26T04:12:09.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/pO85XJpjWHHS_putianyazhujiaxiangxiaoshi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char'],False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
4,7974,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qr7jLyCm6ZYP_zhuming_sf.jpg,Zhu Ming Ma La Xiang Guo,68,,01-05,0,,,zhuming,,1,471,,0.0,0,0,65,2020-10-26T04:12:09.000Z,2021-10-14T02:57:29.000Z,"[{'Name': 'Mala', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qr7jLyCm6ZYP_zhuming_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mala'],False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
5,7975,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/2RV89tVxQ4en_shifunoodles_sf.jpg,Shi Fu Noodles,70,,01-06,0,,,shifunoodles,,1,471,,0.0,0,0,73,2020-10-26T04:12:10.000Z,2021-10-14T02:57:30.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/2RV89tVxQ4en_shifunoodles_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Laksa']",False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
6,7976,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/o0FycowFH1Ku_jjyongtaufu_sf.jpg,JJ Yong Tau Fu,68,,01-07,0,,,jjyongtaufu,,1,471,,71.0,0,1,0,2020-10-26T04:12:10.000Z,2021-10-14T02:57:30.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/o0FycowFH1Ku_jjyongtaufu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Laksa']",False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
7,7977,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/gbSiegm2szbo_everyoneprawnnoodle_sf.jpg,Everyone Prawn Noodle,66,,01-08,0,,,everyoneprawnnoodle,,1,471,Mon - Sun: 6.30am-1pm,0.0,0,1,76,2020-10-26T04:12:10.000Z,2021-10-14T02:57:30.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/gbSiegm2szbo_everyoneprawnnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Laksa']",False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
8,7978,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/xf7PF7eGoXcq_dawangong_sf.jpg,Da Wan Gong Sliced Fish Seafood Soup,67,,01-10,0,,,dawangong,,1,471,"Sun - Fri: 10am-9pm, Closed on Sat",0.0,0,1,66,2020-10-26T04:12:10.000Z,2021-12-20T15:46:26.000Z,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/xf7PF7eGoXcq_dawangong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']",False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
9,7979,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/OG5hiLagM31F_huaxing_sf.jpg,Hua Xing Coffee,0,,01-11,0,,,huaxing,,1,471,,0.0,0,0,66,2020-10-26T04:12:10.000Z,2021-10-14T02:57:31.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/OG5hiLagM31F_huaxing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,geylangbahru69,Geylang Bahru Blk 69,471,,,en,[], 
