,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6725,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/siangkee_sf.JPG,Siang Kee Traditional Cystal Pau,68,Ghim Moh Road Blk 20,01-12,,,0.0,"[{'Name': 'Pau', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/siangkee_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum']
1,6726,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/CAwUhcoNe1CW_cnqwU1ZlP70N_tomscityzoom_m1.JPG,Tom's City Zoom Mee Pok Tar,68,Ghim Moh Road Blk 20,01-11,,"Wed - Mon: 6am-1pm, Closed on Tue",71.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/CAwUhcoNe1CW_cnqwU1ZlP70N_tomscityzoom_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210315/trl6qSCvBD2F_Tom%27s%20City%20Zoom%20Mee%20Pok%20Tar%20%40%20Ghim%20Moh%2020.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
2,6727,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/liji_sf.JPG,Li Ji Coffee Stall,0,Ghim Moh Road Blk 20,01-10,,Mon - Sun: 7am-11pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/liji_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
3,6728,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/nasilemak_m1.JPG,Ghim Moh Nasi Lemak,68,Ghim Moh Road Blk 20,01-09,,"Tue - Sun: 6am-1.30pm, Closed on Mon",0.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/nasilemak_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']"
4,6729,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/hongsheng_m1.JPG,Hong Sheng Fish Soup,68,Ghim Moh Road Blk 20,01-08,,Mon - Sun: 9am-7pm,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/hongsheng_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']"
5,6730,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/margaretdrive_sf.JPG,Hokkien Fried Prawn Mee (Margaret Drive),73,Ghim Moh Road Blk 20,01-07,,"Tue - Sun: 9am-2pm, 3pm-8pm, Closed on Mon",72.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/margaretdrive_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/margaretdrive_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Hokkien Mee']
6,6731,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/hkpastries_m1.JPG,Ghim Moh H. K. Pastries,68,Ghim Moh Road Blk 20,01-06,,,66.0,"[{'Name': 'Pastries', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/hkpastries_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Pastries']
7,6732,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YJBayee0vt74_e6JKU5hTxvtT_kongshanghua_m1.JPG,Kong Shang Hua Wanton Noodle,68,Ghim Moh Road Blk 20,01-05,,,75.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YJBayee0vt74_e6JKU5hTxvtT_kongshanghua_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
8,6733,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/chuankee_m1.JPG,Chuan Kee Boneless Braised Duck,77,Ghim Moh Road Blk 20,01-04,,"Fri - Wed: 10am-8pm, Closed on Thu",81.0,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 20 Ghim Moh Road/chuankee_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
9,6734,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2eXOGyphMo4m_AZtqLHhHCvyu_huale_m1.JPG,Huale Curry Rice,69,Ghim Moh Road Blk 20,01-03,,,0.0,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2eXOGyphMo4m_AZtqLHhHCvyu_huale_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry']
