,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5560,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KlSRAUBG1OjW_nasiambengnenekleng_sf.jpg,Nasi Ambeng Nenek Leng,70,,B1-01,0,,,nasiambengnenekleng,,1,401,,77,3,0,77,2020-10-26T04:08:45.000Z,2021-10-14T02:42:45.000Z,"[{'Name': 'Nasi Ambeng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KlSRAUBG1OjW_nasiambengnenekleng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indonesian Cuisine'],False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
1,5561,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Y0Xqm4qzWiHo_cookedfoodstall_sf.jpg,Cooked Food Stall,70,,B1-02,0,,,cookedfoodstall,,1,401,,0,8,0,73,2020-10-26T04:08:45.000Z,2021-11-08T16:13:27.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Y0Xqm4qzWiHo_cookedfoodstall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Rice', 'Herbal Soup']",False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
2,5562,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3aIZVMKJA7cT_51soyabean_sf.jpg,51 Soya Bean,72,,B1-04,0,,,51soyabean,,1,401,,76,0,0,0,2020-10-26T04:08:45.000Z,2021-10-14T02:42:46.000Z,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3aIZVMKJA7cT_51soyabean_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean'],False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
3,5563,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/ronghua_sf.jpg,Rong Hua Hot & Cold Drinks,0,,B1-05/08,0,,,ronghua,,1,401,,73,12,1,73,2020-10-26T04:08:46.000Z,2021-12-20T15:43:39.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/ronghua_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/ronghua_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
4,5564,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fc94o1btEVqX_jahlicious_sf.jpg,Jahlicious,67,,B1-06,0,,,jahlicious,,1,401,,67,1,1,67,2020-10-26T04:08:46.000Z,2021-10-14T02:42:47.000Z,"[{'Name': 'Epok Epok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fc94o1btEVqX_jahlicious_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Epok Epok'],False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
5,5565,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/dzsatay_sf.jpg,D&Z Satay & Chicken Wing Specialist,71,,B1-07,0,,,dzsatay,,1,401,,70,2,1,70,2020-10-26T04:08:46.000Z,2021-11-08T16:13:27.000Z,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Golden Mile Food Centre - 112 stalls/dzsatay_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Satay', 'BBQ Chicken']",False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
6,5566,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/v2zkcZ6dr0NX_mbdeenrasa_sf.jpg,M B Deen Rasa,0,,B1-09,0,,,mbdeenrasa,,1,401,,72,3,1,72,2020-10-26T04:08:46.000Z,2022-01-17T19:59:58.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/v2zkcZ6dr0NX_mbdeenrasa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
7,5567,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/alTEowY7zUUl_nurhidayah_sf.jpg,Nurhidayah Food Corner,69,,B1-10,0,,,nurhidayah,,1,401,,78,3,0,78,2020-10-26T04:08:46.000Z,2021-12-20T15:43:39.000Z,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/alTEowY7zUUl_nurhidayah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Chicken Rice & Noodles']",False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
8,5568,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/7pk203DHD8T9_beardmans_sf.jpg,Beardman's Nasi Lemak Pandan,73,,B1-11,0,,,beardmans,,1,401,,68,10,0,68,2020-10-26T04:08:46.000Z,2021-11-08T16:13:27.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/7pk203DHD8T9_beardmans_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
9,5569,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Yahnz7ZjAlZo_hipster_sf.jpg,Nasi Lemak And Chicken Rice Hipster,73,,B1-12,0,,,hipster,,1,401,,74,2,1,74,2020-10-26T04:08:46.000Z,2021-10-14T02:42:49.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Yahnz7ZjAlZo_hipster_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Nasi Lemak']",False,goldenmilefc,Golden Mile Food Centre,401,,,en,[], 
