,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8579,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/EZzrs8q1BNIi_bismillahdrinks_sf.jpg,Bismillah Drinks Corner,0,,01-01,0,,,bismillahdrinks,,1,417,,74.0,0,1,0,2020-10-26T04:12:59.000Z,2021-10-14T03:01:52.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/EZzrs8q1BNIi_bismillahdrinks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
1,8580,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/w67wA3KtcSJb_nurkhairiah_sf.jpg,Nur Khairiah,71,,01-02,0,,,nurkhairiah,,1,417,,80.0,3,0,77,2020-10-26T04:12:59.000Z,2021-10-14T03:01:53.000Z,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/w67wA3KtcSJb_nurkhairiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Mee Rebus']",False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
2,8581,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WT5l3r9tLwoy_eeheehdatanglagi_sf.jpg,Eeh!! Eeh!! Datang Lagi!!!,76,,01-03,0,,,eeheehdatanglagi,,1,417,,0.0,0,0,78,2020-10-26T04:12:59.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bubur', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WT5l3r9tLwoy_eeheehdatanglagi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Bubur']",False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
3,8582,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FAYgNSqzFeDY_kmamdusofffamily_sf.jpg,Kma Md Usoff Family,71,,01-04,0,,,kmamdusofffamily,,1,417,,70.0,3,0,65,2020-10-26T04:13:00.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Ayam Bakar', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bawal Bakar', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FAYgNSqzFeDY_kmamdusofffamily_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Malay Cuisine'],False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
4,8583,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/langkawimuslim_sf.jpg,Langkawi Muslim Food,72,,01-05,0,,,langkawimuslim,,1,417,,81.0,0,1,0,2020-10-26T04:13:00.000Z,2021-10-14T03:01:54.000Z,"[{'Name': 'Tulang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Pattaya', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/langkawimuslim_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Tulang', 'Nasi Goreng']",False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
5,8584,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/sangnila_sf.jpg,Sang 'Nila Hot & Cold Drinks,0,,01-06,0,,,sangnila,,1,417,,0.0,0,0,74,2020-10-26T04:13:00.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/sangnila_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
6,8585,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Tudu6iB4pzdi_traditionalhaigroadputupiring_sf.jpg,Traditional Haig Road Putu Piring,69,,01-07,0,,,traditionalhaigroadputupiring,,1,417,Mon - Sun: 9.45am-10pm,88.5,12,0,76,2020-10-26T04:13:00.000Z,2022-01-17T20:04:52.000Z,"[{'Name': 'Putu Piring', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Tudu6iB4pzdi_traditionalhaigroadputupiring_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert'],False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
7,8586,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3QThT5FAMRrE_anisahscurrypuff_sf.jpg,Anisah's Curry Puff,71,,01-08,0,,,anisahscurrypuff,,1,417,,0.0,0,1,69,2020-10-26T04:13:00.000Z,2021-10-14T03:01:55.000Z,"[{'Name': 'Curry Puff', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3QThT5FAMRrE_anisahscurrypuff_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry Puffs'],False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
8,8587,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/mo9PDvwjUXBv_hajjahjamillahrajmohamed_sf.jpg,Hajjah Jamillah Rajmohamed Muslim Food,70,,01-09,0,,,hajjahjamillahrajmohamed,,1,417,,0.0,0,1,67,2020-10-26T04:13:00.000Z,2021-12-20T15:46:26.000Z,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Steak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/mo9PDvwjUXBv_hajjahjamillahrajmohamed_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Mutton Steak']",False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
9,8588,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/hjhaishahomarandfamily_sf.jpg,HJH Aishah Omar & Family Malay Rice & Yong Tau Foo,69,,01-10,0,,,hjhaishahomarandfamily,,1,417,,74.75,3,1,73,2020-10-26T04:13:00.000Z,2021-10-14T03:01:55.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 13-14 Haig Road - 72 stalls/hjhaishahomarandfamily_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Yong Tau Foo', 'Lontong']",False,haigroad13,Haig Road Blks 13/14 ,417,,,en,[], 
