,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8877,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/6xSom0eMURLo_pEMiLpMGktTS_guangli_sf.jpg,Guang Li Wanton Noodle,69,,01-01,0,,,guangli,,1,436,,0,3,0,75,2020-10-26T04:13:25.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/6xSom0eMURLo_pEMiLpMGktTS_guangli_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
1,8878,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/neKjqlCGmLMo_dRdHUUZjxdEo_ahkhoo_sf.jpg,Ah Khoo Hot & Cold Drink,0,,01-02,0,,,ahkhoo,,1,436,,66,0,0,0,2020-10-26T04:13:25.000Z,2021-10-14T03:03:48.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/neKjqlCGmLMo_dRdHUUZjxdEo_ahkhoo_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
2,8879,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/soonheng_sf.jpg,Soon Heng Hong Kong Style,72,,01-03,0,,,soonheng,,1,436,,75,0,0,0,2020-10-26T04:13:25.000Z,2021-10-14T03:03:48.000Z,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/soonheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
3,8880,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/havelock_sf.jpg,Havelock Turtle Soup,72,,01-04,0,,,havelock,,1,436,"Mon - Sat: 9.30am-3pm, Closed on Sun",77,1,1,77,2020-10-26T04:13:25.000Z,2021-11-08T16:13:55.000Z,"[{'Name': 'Turtle Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Frog Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/havelock_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Turtle Soup', 'Frog Leg']",False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
4,8881,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/fAZ05jdP9QOn_uME0q5slqkhc_coventgardenkwaychap_sf.jpg,Covent Garden Kway Chap,73,,01-05,0,,,coventgardenkwaychap,,1,436,Mon - Sun: 6am-1am,67,3,0,67,2020-10-26T04:13:25.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/fAZ05jdP9QOn_uME0q5slqkhc_coventgardenkwaychap_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kway Chap'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
5,8882,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/NbzGjISWuI3O_4idGEgpf36Re_khinkee_sf.jpg,Khin Kee Fishball Kway Teow,71,,01-06,0,,,khinkee,,1,436,"Wed - Sun: 8am-5pm, Closed on Mon & Tue",70,0,1,70,2020-10-26T04:13:25.000Z,2021-10-14T03:03:50.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/NbzGjISWuI3O_4idGEgpf36Re_khinkee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
6,8883,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/mengkee_sf.jpg,Meng Kee Fried Kway Teow,82,,01-07,0,,,mengkee,,1,436,"Mon - Sat: 9am-6pm, Closed on Sun",0,3,1,75,2020-10-26T04:13:25.000Z,2021-11-08T16:13:55.000Z,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/mengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Char Kway Teow'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
7,8884,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/guangfa_sf.jpg,Guang Fa Laksa,76,,01-08,0,,,guangfa,,1,436,"Mon, Tue, Thu - Sat: 7am-1.30pm, Closed on Wed & Sun",66,0,1,0,2020-10-26T04:13:25.000Z,2021-10-14T03:03:51.000Z,"[{'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/guangfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Laksa'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
8,8885,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/oIojmsO2Ee8B_7gCnpZg02Uk2_rongfa_sf.jpg,Rong Fa Chng Tng,69,,01-09,0,,,rongfa,,1,436,,0,3,0,75,2020-10-26T04:13:25.000Z,2021-10-14T03:03:51.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/oIojmsO2Ee8B_7gCnpZg02Uk2_rongfa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
9,8886,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/dudu_sf.jpg,Du Du Cooked Food,69,,01-10,0,,,dudu,,1,436,,80,1,1,80,2020-10-26T04:13:26.000Z,2021-10-14T03:03:52.000Z,"[{'Name': 'Tu Tu Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 22A-B Havelock Road/dudu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert'],False,havelock22a,Havelock Road Blks 22A/B ,436,,,en,[], 
