,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7326,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/t0t0onAbUdJG_SD2c5Fmqxtei_jili_m1.JPG,Ji Li,70,,02-34,0,,,jili,,1,450,,0,4,1,79,2020-10-26T04:11:13.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/t0t0onAbUdJG_SD2c5Fmqxtei_jili_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']",False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
1,7327,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rduupbx8Q5Tz_TLPy0rYgC8Sw_xianyiwan_m1.JPG,Xian Yi Wan,72,,02-35,0,,,xianyiwan,,1,450,"Tue - Sat: 8.30am-2.30pm, Closed on Sun & Mon",69,0,1,0,2020-10-26T04:11:14.000Z,2021-10-14T02:54:03.000Z,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rduupbx8Q5Tz_TLPy0rYgC8Sw_xianyiwan_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dMUqg4f6lbGe_xianyiwan_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Soup'],False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
2,7328,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ZTwmL4YM6c7k_rvJmZPIynf0i_leongwei_sf.JPG,Leong Wei Roasted Delight,71,,02-36,0,,,leongwei,,1,450,"Fri - Wed: 11am-7pm, Closed on Thu",0,10,1,78,2020-10-26T04:11:14.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Roast Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ZTwmL4YM6c7k_rvJmZPIynf0i_leongwei_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
3,7329,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gB1PkpxOHBdI_uwjPndSspG7V_fifty_m2.JPG,Fifty Yong Tau Fu,73,,02-37,0,,,fifty,,1,450,,77,1,0,77,2020-10-26T04:11:14.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gB1PkpxOHBdI_uwjPndSspG7V_fifty_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PGxPToroMZcd_f14vXiIlIrzN_fifty_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210319/91Itt1L0C5vW_Fifty%20Yong%20Tau%20Fu%20-%20menu%201%20%40%20Holland%20Drive%20Blk%2044.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo'],False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
4,7330,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/freshfruitjuice_m1.JPG,Fresh Fruit Juice,0,,02-38,0,,,freshfruitjuice,,1,450,,67,1,0,67,2020-10-26T04:11:14.000Z,2021-10-14T02:54:05.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/freshfruitjuice_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
5,7331,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/teckkee_m1.JPG,Teck Kee Hainanese Chicken Rice,66,,02-39,0,,,teckkee,,1,450,,70,4,1,70,2020-10-26T04:11:14.000Z,2021-10-14T02:54:05.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 44 Holland Drive/teckkee_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
6,7332,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/QxbNRPHCDsl8_yvf2UwVR3GZ2_greenhealthyvegetarian_m1.JPG,Green Healthy Vegetarian,66,,02-40,0,,,greenhealthyvegetarian,,1,450,Mon - Sun: 6.30am-4pm,0,7,1,73,2020-10-26T04:11:14.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/QxbNRPHCDsl8_yvf2UwVR3GZ2_greenhealthyvegetarian_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
7,7333,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Jd3kroPt9t8Q_lftWDf6EaLyy_congeehouse_m2.JPG,Congee House,74,,02-41,0,,,congeehouse,,1,450,Mon - Sun: 6.30am-1pm,0,1,1,74,2020-10-26T04:11:14.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Jd3kroPt9t8Q_lftWDf6EaLyy_congeehouse_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
8,7334,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/fMcGbNpjHNil_RtRwitynDQt9_onglai_m1.JPG,Ong Lai Economic Rice Sweet Potato Porridge Fried Bee Hoon,66,,02-42,0,,,onglai,,1,450,,0,5,1,79,2020-10-26T04:11:14.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'Kolo Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Pok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/fMcGbNpjHNil_RtRwitynDQt9_onglai_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Kolo Mee', 'Fishball Noodles']",False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
9,7335,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/O8Dqvx5phtbI_LGF62fHaVa18_laochenji_m2.JPG,Lao Chen Ji,70,,02-43,0,,,laochenji,,1,450,"Sat - Thu: 7am-4pm, Closed on Fri",80,0,0,80,2020-10-26T04:11:14.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'Kolo Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Pok', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/O8Dqvx5phtbI_LGF62fHaVa18_laochenji_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rR1IT55Bfxct_wTYVaEEhCbr7_laochenji_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DwjPzrNTvzDq_laochenji_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Kolo Mee', 'Fishball Noodles']",False,hollanddrive44,Holland Drive Blk 44 ,450,,,en,[], 
