,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,5237,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/88HollandVillageFreshFruitJuice_sf.JPG,Holland Village Fresh Fruit Juice,73,Holland Village Market & Food Centre,01-25,,,67.0,"[{'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/88HollandVillageFreshFruitJuice_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/88HollandVillageFreshFruitJuice_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fruits & Juices']
1,5238,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/changshengwesternfood_m1.JPG,Chang Sheng Western Food,65,Holland Village Market & Food Centre,01-30,,Mon - Sun: 11am-9pm,70.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/changshengwesternfood_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210319/YCVrhkTPgAGS_Chang%20Sheng%20Western%20Food%20-%20Menu%20%40%20Holland%20Village%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
2,5239,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/CharKwayTeowFriedOysterFriedCarrotCake_m1.JPG,Char Kway Teow Fried Oyster Fried Carrot Cake,72,Holland Village Market & Food Centre,01-27,,Mon - Sun: 9.30am-9.30pm,67.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/CharKwayTeowFriedOysterFriedCarrotCake_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210319/7v2NdRS01aLs_Char%20Kway%20Teow%20Fried%20Oyster%20Fried%20Carrot%20Cake%20-%20Menu%20%40%20Holland%20Village%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Oyster Omelette']"
3,5240,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/DeShengShouGongMianYuTang_m1.JPG,De Sheng Shou Gong Mian Yu Tang,76,Holland Village Market & Food Centre,01-19,,,70.0,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/DeShengShouGongMianYuTang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210319/TfjjsmnN93W1_De%20Sheng%20Shou%20Gong%20Mian%20Yu%20Tang%20%20-%20Menu%20%40%20Holland%20Village%20FC.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ban Mian', 'Fish Soup']"
4,5241,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Gel3PMAbgW2x_wYXzTOtyVmfA_foodstall_m1.JPG,Food Stall,70,Holland Village Market & Food Centre,01-26,,,0.0,"[{'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Gel3PMAbgW2x_wYXzTOtyVmfA_foodstall_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/T1L7rW6RQ6e5_foodstall_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fried Rice', 'Hor Fun']"
5,5242,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gDMd0PyQBIyh_CCyWY797ut6u_friends_m3.JPG,Friends,0,Holland Village Market & Food Centre,01-21,,Mon - Sun: 6.30am-11pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gDMd0PyQBIyh_CCyWY797ut6u_friends_m3.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,5243,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HollandVCoffeeDrink_sf.jpg,Holland V Coffee & Drink,0,Holland Village Market & Food Centre,01-24,,Mon - Sun: 10.30am-9pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HollandVCoffeeDrink_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
7,5244,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HollandVFriedBeehoon_sf.jpg,Holland V Fried Beehoon,68,Holland Village Market & Food Centre,01-11,,Mon - Sun: 6am-2pm,80.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HollandVFriedBeehoon_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Bee Hoon']
8,5245,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/homemadesoyabean_sf.JPG,Homemade Soya Bean,70,Holland Village Market & Food Centre,01-13,,Mon - Sun: 7am-6pm,72.0,"[{'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/homemadesoyabean_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/homemadesoyabean_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean']
9,5246,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HongLiMeiWeiXiaoChi_sf.JPG,Hong Li Mei Wei Xiao Chi,71,Holland Village Market & Food Centre,01-17,,"Tue - Sun: 7am-9.30pm, Closed on Mon",0.0,"[{'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HongLiMeiWeiXiaoChi_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Holland Village Mkt _ FC (Near HV MRT) (277700)/HongLiMeiWeiXiaoChi_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fried Rice', 'Hor Fun']"
