,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,11765,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/wvr14DYO2fsd_nGSQdxGnSSDt_bengwhocookes_sf.jpg,Beng Who Cooks,70,Hong Lim Market & Food Centre,01-44,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/wvr14DYO2fsd_nGSQdxGnSSDt_bengwhocookes_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Grain bowls', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Poke', 'Economy Rice']"
1,11766,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/hongkee_sf.jpg,Hong Kee Dumplings,71,Hong Lim Market & Food Centre,02-37,,,72,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/hongkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Dumplings', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dumplings']
2,11767,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/6uQ85fYDGIDv_fFtFcmXU4MvJ_zhengming_sf.jpg,Zheng Ming Cha Shi,0,Hong Lim Market & Food Centre,01-46,,Mon - Sun: 6.30am-6.30pm,66,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/6uQ85fYDGIDv_fFtFcmXU4MvJ_zhengming_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
3,11768,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/EIFlCn834BzF_eiOh2Ms0672j_dongfanghong_sf.jpg,Dong Fang Hong Sotong Ball Seafood Soup,74,Hong Lim Market & Food Centre,01-47,,Mon - Sun: 11am-2pm,75,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/EIFlCn834BzF_eiOh2Ms0672j_dongfanghong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Seafood soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Seafood Soup']
4,11769,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/6KpLcSMzrUHf_wTbhg6H1Hhem_sitinah_sf.jpg,Sitinah Malay Food,69,Hong Lim Market & Food Centre,01-48,,,81,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/6KpLcSMzrUHf_wTbhg6H1Hhem_sitinah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Ayam Penyet']
5,11770,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/vegetarian_sf.jpg,Vegetarian Food,68,Hong Lim Market & Food Centre,01-49,,,0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/vegetarian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Vegetarian']
6,11771,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xq9fYLcZhqrt_LFP9YrEy4Wp9_thelegend_sf.jpg,The Legend Roasted Meat Rice & Noodle,68,Hong Lim Market & Food Centre,01-51,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xq9fYLcZhqrt_LFP9YrEy4Wp9_thelegend_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Wanton Mee', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
7,11772,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/qinXudDdYRdK_qUAkBuuAuoVx_mianzhuang_sf.jpg,Mian Zhuang,83,Hong Lim Market & Food Centre,01-51,,,80,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/qinXudDdYRdK_qUAkBuuAuoVx_mianzhuang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Ban Mian']
8,11773,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4aJvCnXgxz45_6V3pDBcVGQMW_yangshengtang_m1.jpg,Yang Sheng Tang,72,Hong Lim Market & Food Centre,01-52,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4aJvCnXgxz45_6V3pDBcVGQMW_yangshengtang_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Herbal Soup']
9,11774,,Traditional Cuisine,71,Hong Lim Market & Food Centre,01-53,,Mon - Sun: 5am-3pm,70,"[{'Name': 'Chee Cheong Fun', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Mee Siam', 'Chee Cheong Fun']"
10,11775,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/LhMFMuWS2iaW_ndY1G40EFbPn_kimseng_sf.jpg,Kim Seng Coffee Stall,0,Hong Lim Market & Food Centre,01-54,,Mon - Sun: 7am-6pm,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/LhMFMuWS2iaW_ndY1G40EFbPn_kimseng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
11,11776,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210324/OWHTGbLJJdjq_Hawkerpedia Hawker Stall.jpeg,Teo Heng Porridge Stall,74,Hong Lim Market & Food Centre,01-56,,,0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210324/OWHTGbLJJdjq_Hawkerpedia%20Hawker%20Stall.jpeg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Porridge']
12,11777,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/hengkee_sf.jpg,Heng Kee,73,Hong Lim Market & Food Centre,01-58,,"Mon - Sat: 10.30am-4pm, Closed on Sun, alternate Mon & PH",77,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/hengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Curry Chicken Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Curry']
13,11778,,Yin Cheong Sugarcane Juice,0,Hong Lim Market & Food Centre,01-59,,Mon - Sun: 9am-7pm,0,"[{'Name': 'Juice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
14,11779,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dTwKKupC1lsv_To2RdbTv48uL_cuppage_sf.jpg,Cuppage Fried Kway Teow Hokkien Mee,66,Hong Lim Market & Food Centre,01-60,,Mon - Sun: 11.30am-7pm,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dTwKKupC1lsv_To2RdbTv48uL_cuppage_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Char Kway Teow', 'Hokkien Mee']"
15,11780,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Owm9Yy15u2zo_eqyPKuUVIm9N_hongwan_sf.jpg,Hong Wan Food Stall,74,Hong Lim Market & Food Centre,01-61,,,73,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Owm9Yy15u2zo_eqyPKuUVIm9N_hongwan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice ', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice']
16,11781,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/qixiang_sf.jpg,Qi Xiang Cha Shi,0,Hong Lim Market & Food Centre,01-62,,Mon - Sun: 7am-6pm,67,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Hong Lim Market _ Food Centre/qixiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
17,11782,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iwWDmjir1KL8_1q7S79s6fcBN_nicefreshjuiceiceblended_sf.jpg,Nice Fresh Juice & Ice Blended,0,Hong Lim Market & Food Centre,01-63,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iwWDmjir1KL8_1q7S79s6fcBN_nicefreshjuiceiceblended_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Juice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
18,11783,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210401/0SqlNJlgaIA8_Screenshot 2021-04-01 at 4.09.46 PM.png,Shi Wei Tian,68,Hong Lim Market & Food Centre,01-64,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210401/0SqlNJlgaIA8_Screenshot%202021-04-01%20at%204.09.46%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Herbal Soup']
19,11784,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210401/MYRyvXDSA5bL_Screenshot 2021-04-01 at 4.15.05 PM.png,Happy Taste,68,Hong Lim Market & Food Centre,01-65,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210401/MYRyvXDSA5bL_Screenshot%202021-04-01%20at%204.15.05%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Soya Bean', 'Dessert']"
