,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,6315,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/mingfa_sf.jpg,Ming Fa Duck Rice,66,,02-01,0,,,mingfa,,1,410,"Tue - Sat: 7am-12pm, Closed on Sun & Mon",0,4,0,72,2020-10-26T04:09:48.000Z,2021-11-08T16:13:49.000Z,"[{'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/mingfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
1,6316,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/va8zgsWqyhzS_maosheng_sf.jpg,Mao Sheng Teochew Porridge,73,,02-02,0,,,maosheng,,1,410,"Mon - Sat: 6am-7pm, Closed on Sun",75,0,1,0,2020-10-26T04:09:48.000Z,2021-10-14T02:47:49.000Z,"[{'Name': 'Teochew Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/va8zgsWqyhzS_maosheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Teochew Porridge'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
2,6317,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/shanyuan_sf.jpg,Shan Yuan Vegetarian,69,,02-03,0,,,shanyuan,,1,410,,80,1,1,80,2020-10-26T04:09:48.000Z,2021-12-20T15:46:29.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/shanyuan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
3,6318,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KkP93heSsKZ8_dongjinyuan_sf.jpg,Dong Jin Yuan Dian Xin,70,,02-04,0,,,dongjinyuan,,1,410,,72,10,0,72,2020-10-26T04:09:48.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Carrot Cake Sticks', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KkP93heSsKZ8_dongjinyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Snacks']",False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
4,6319,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/8mFVqsYfnrRi_econfriedbeehoon_sf.jpg,Econ Fried Bee Hoon,68,,02-05,0,,,econfriedbeehoon,,1,410,,0,3,0,77,2020-10-26T04:09:48.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8mFVqsYfnrRi_econfriedbeehoon_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Bee Hoon'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
5,6320,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/FVN6O8FarfOR_dadmumtraditional_sf.jpg,Dad & Mum Traditional Pancake,68,,02-06,0,,,dadmumtraditional,,1,410,,72,0,1,72,2020-10-26T04:09:48.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Min Jiang Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/FVN6O8FarfOR_dadmumtraditional_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Min Jiang Kueh'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
6,6321,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/TNS0hRpHz0yz_seletarnamhoe_sf.jpg,Seletar Nam Hoe Bak Kut Teh,72,,02-07,0,,,seletarnamhoe,,1,410,,70,0,0,70,2020-10-26T04:09:48.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/TNS0hRpHz0yz_seletarnamhoe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Bak Kut Teh', 'Pork Organ Soup']",False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
7,6322,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/gLriIuWZWoWt_soonlong_sf.jpg,Soon Long Cafe,0,,02-08,0,,,soonlong,,1,410,,81,1,1,81,2020-10-26T04:09:48.000Z,2021-10-14T02:47:52.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/gLriIuWZWoWt_soonlong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
8,6323,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/hele_sf.jpg,He Le Boneless Hainanese Chicken Rice,65,,02-09,0,,,hele,,1,410,,74,3,0,74,2020-10-26T04:09:48.000Z,2021-10-14T02:47:52.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 105 Hougang Ave 1 - 51 stalls/hele_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
9,6324,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/WDjr1vrljGDE_long_sf.jpg,Long Prawn Noodles,74,,02-10,0,,,long,,1,410,,0,0,0,79,2020-10-26T04:09:49.000Z,2021-11-08T16:13:49.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/WDjr1vrljGDE_long_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,hougang105,Hougang Ave 1 Blk 105,410,,,en,[], 
