,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7563,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 4A Jalan Batu/ahmah_sf.jpg,Ah Mah Chwee Kueh,80,Jalan Batu Blk 4A,01-01,,Mon - Sun: 5.30am-5pm,0,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 4A Jalan Batu/ahmah_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Dessert']"
1,7564,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ve35SSQ6pcif_jandj_sf.jpg,J&J Teh Tarik,0,Jalan Batu Blk 4A,01-02,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ve35SSQ6pcif_jandj_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
2,7565,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/oJFFzJ48AF51_wangzai_sf.jpg,Wang Zai Kitchen,72,Jalan Batu Blk 4A,01-03,,,0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/oJFFzJ48AF51_wangzai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
3,7566,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 4A Jalan Batu/xinxing_sf.jpg,Xin Xing Hainan Chicken Rice,68,Jalan Batu Blk 4A,01-04,,"Wed - Mon: 7.30am-9pm, Closed on Tue",77,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 4A Jalan Batu/xinxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
4,7567,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/LCczu5h3Rhe2_comeletsmakan_sf...! Let_s Makan 05.jpg,Come...! Let's Makan,68,Jalan Batu Blk 4A,01-05,,,67,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/LCczu5h3Rhe2_comeletsmakan_sf...%21%20Let_s%20Makan%2005.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Fish Head Curry']"
5,7568,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 4A Jalan Batu/selerarasa_sf.jpg,Selera Rasa Muslim Food,71,Jalan Batu Blk 4A,01-06,,,70,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 4A Jalan Batu/selerarasa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam']"
6,7569,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/02ZdZRb8tBmL_wakmarmi_sf.jpg,Wak Marmi Muslim Food,68,Jalan Batu Blk 4A,01-08,,,76,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/02ZdZRb8tBmL_wakmarmi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Lontong']"
7,7570,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/jqQF2Xsg1nqU_victorycantonwok_m1.jpg,Victory Canton Wok,73,Jalan Batu Blk 4A,01-09,,"Thu - Tue: 11am-9pm, Closed on Wed",69,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/jqQF2Xsg1nqU_victorycantonwok_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/izdyxixl8evN_RCPFCjDgn1iS_victorycantonwok_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
8,7571,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/jcaZzpIB7tYd_oldplace_sf.jpg,Old Place Fresh Prawn Noodle,73,Jalan Batu Blk 4A,01-10,,,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/jcaZzpIB7tYd_oldplace_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
9,7572,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Tb7NNGSH2K2w_defa_sf.jpg,De Fa Drinks Stall,0,Jalan Batu Blk 4A,01-11,,,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Tb7NNGSH2K2w_defa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
