,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,6298,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/BU939gdw0ebZ_pdLEq5c6NBEL_ichicks_sf.jpg,Ichicks,67,,01-02,0,,,ichicks,,1,408,,70,3,1,70,2020-10-26T04:09:46.000Z,2021-12-20T15:46:28.000Z,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/BU939gdw0ebZ_pdLEq5c6NBEL_ichicks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
1,6299,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rcBg6RNxbA2s_X4WFYVWcpS0M_adelinecafe_sf.jpg,Adeline Cafe,0,,01-03,0,,,adelinecafe,,1,408,Mon - Sun: 6.30am-11pm,81,6,1,81,2020-10-26T04:09:47.000Z,2021-10-14T02:47:43.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rcBg6RNxbA2s_X4WFYVWcpS0M_adelinecafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
2,6300,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/T9ftA62zUssV_8RQSsRZTOIAd_traditionalhandmadepau_sf.jpg,Traditional Handmade Pau Tim,67,,01-04,0,,,traditionalhandmadepau,,1,408,,74,3,0,74,2020-10-26T04:09:47.000Z,2021-12-20T15:46:28.000Z,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/T9ftA62zUssV_8RQSsRZTOIAd_traditionalhandmadepau_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
3,6301,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iEREtdQL9kUB_Ne3sRwVbBYqw_yuguang_sf.jpg,Yu Guang Cooked Food,66,,01-05,0,,,yuguang,,1,408,,0,5,0,69,2020-10-26T04:09:47.000Z,2021-11-08T16:13:49.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iEREtdQL9kUB_Ne3sRwVbBYqw_yuguang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
4,6302,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/1m8M1LWYT6LW_yZy2aXRiWitM_warunghan_sf.jpg,Warung Han Nasi Padang,68,,01-06,0,,,warunghan,,1,408,,0,8,1,73,2020-10-26T04:09:47.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/1m8M1LWYT6LW_yZy2aXRiWitM_warunghan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Lontong']",False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
5,6303,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/KEDMUdPUl51m_PifU863cyhdp_coffeehouse_sf.jpg,Coffee House,0,,01-08,0,,,coffeehouse,,1,408,,0,6,1,74,2020-10-26T04:09:47.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/KEDMUdPUl51m_PifU863cyhdp_coffeehouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
6,6304,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4x88ceDb9Xvi_lqOh64ICL9Br_traditionalhainanesecurryrice_sf.jpg,Traditional Hainanese Curry Rice,71,,01-09,0,,,traditionalhainanesecurryrice,,1,408,,0,7,1,76,2020-10-26T04:09:47.000Z,2021-10-14T02:47:45.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4x88ceDb9Xvi_lqOh64ICL9Br_traditionalhainanesecurryrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
7,6305,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/hengheng_sf.jpg,Heng Heng Mixed Veg Rice,73,,01-10,0,,,hengheng,,1,408,,0,10,1,78,2020-10-26T04:09:47.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 1 Jalan Kukoh/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
8,6306,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/m6bc5c9r9sxF_2TmdiRBgTSKy_teochewpigsorganssoup_sf.jpg,Teochew Pig's Organs Soup,70,,01-11,0,,,teochewpigsorganssoup,,1,408,"Mon - Sat: 10.15am-9pm, Closed on Sun",0,12,1,74,2020-10-26T04:09:47.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/m6bc5c9r9sxF_2TmdiRBgTSKy_teochewpigsorganssoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Pork Organ Soup'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
9,6307,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/a1D6bFNeqp2x_WYLER0pEjSWZ_mariaqiheng_sf.jpg,Maria Qi Heng Coffee,0,,01-12,0,,,mariaqiheng,,1,408,,72,0,1,72,2020-10-26T04:09:47.000Z,2021-12-20T15:46:28.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/a1D6bFNeqp2x_WYLER0pEjSWZ_mariaqiheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,jalankukoh1,Jalan Kukoh Blk 1,408,,,en,[], 
