,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7165,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/malr4mBZfBa6_CYrXLF94k0Rt_Lamchan_m1.JPG,Lam Chan Mixed Veg Rice,72,,01-180,0,,,Lamchan,,1,444,,71.0,0,1,0,2020-10-26T04:10:59.000Z,2021-10-14T02:53:07.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/malr4mBZfBa6_CYrXLF94k0Rt_Lamchan_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice'],False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
1,7166,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/wO2Gqq07xAv6_HYC6t7m5A1CF_famoussenghengfamilyrestaurant_sf.JPG,Famous Seng Heng Family Restaurant,72,,01-179,0,,,famoussenghengfamilyrestaurant,,1,444,Mon - Sun: 6am-8.30pm,100.0,8,1,78,2020-10-26T04:10:59.000Z,2022-01-17T20:04:55.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/wO2Gqq07xAv6_HYC6t7m5A1CF_famoussenghengfamilyrestaurant_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
2,7167,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/HLlrmcLQeJFy_XnQW154C4IWC_jiaxiangxiaochi_sf.JPG,Jia Xiang Xiao Chi,71,,01-178,0,,,jiaxiangxiaochi,,1,444,,80.0,3,0,80,2020-10-26T04:10:59.000Z,2021-10-14T02:53:07.000Z,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Prawn Fritters', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/HLlrmcLQeJFy_XnQW154C4IWC_jiaxiangxiaochi_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Prawn Fritters']",False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
3,7168,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/tianle_m1.JPG,Tian Le,72,,01-177,0,,,tianle,,1,444,,0.0,5,1,76,2020-10-26T04:10:59.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/tianle_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
4,7169,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/dessert_sf.JPG,Dessert Stall,69,,01-176,0,,,dessert,,1,444,,70.0,2,0,70,2020-10-26T04:10:59.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/dessert_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/dessert_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert'],False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
5,7170,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/yongkee_sf.JPG,Yong Kee Hainanese Chicken Rice,65,,01-175,0,,,yongkee,,1,444,,0.0,4,1,75,2020-10-26T04:10:59.000Z,2021-10-14T02:53:09.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/yongkee_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
6,7171,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/urVTdxvYgYF1_uqVE6IsEaZ8K_inghockkue_m1.JPG,Ing Hock Kue Coffee Stall,0,,01-174,0,,,inghockkue,,1,444,Mon - Sun: 5am-5pm,0.0,3,1,73,2020-10-26T04:11:00.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/urVTdxvYgYF1_uqVE6IsEaZ8K_inghockkue_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
7,7172,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/chaoyang_sf.JPG,Chao Yang Teochew Porridge Mixed Veg Rice,68,,01-173,0,,,chaoyang,,1,444,Mon - Sun: 9am-8pm,77.0,1,1,77,2020-10-26T04:11:00.000Z,2022-01-17T20:04:55.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/chaoyang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 347 Jurong East Ave 1/chaoyang_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Teochew Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Rice', 'Teochew Porridge']",False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
8,7173,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Gv1ZaEWSx2rG_ovnvvWXZ2Mo8_huaxingzhengyu_m1.JPG,Hua Xing Zheng Yu,67,,01-172,0,,,huaxingzhengyu,,1,444,,0.0,2,0,77,2020-10-26T04:11:00.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Steamed Fish', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Assam Fish Head', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Gv1ZaEWSx2rG_ovnvvWXZ2Mo8_huaxingzhengyu_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FEDe9vn0ZjWI_huaxingzhengyu_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Zi Char', 'Assam Fish']",False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
9,7174,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uF8qTtA2eGGt_p65BVsYUQTr8_huaxingrougucha_sf.JPG,Hua Xing Rou Gu Cha,76,,01-171,0,,,huaxingrougucha,,1,444,"Tue - Sun: 8.30am-7pm, Closed on Mon",0.0,1,1,79,2020-10-26T04:11:00.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uF8qTtA2eGGt_p65BVsYUQTr8_huaxingrougucha_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Bak Kut Teh'],False,jurongeast347,Jurong East Ave 1 Blk 347,444,,,en,[], 
