,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9219,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/w4046aE4u8XX_vairy_sf.jpg,Vairy,70,Kampung Admiralty Hawker Centre,02-01,,,0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/w4046aE4u8XX_vairy_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice']
1,9220,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/likepudding_sf.jpg,Like Pudding,68,Kampung Admiralty Hawker Centre,02-02,,,0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/likepudding_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
2,9221,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/0CLHBZyXl8cS_hezhirong_sf.jpg,He Zhi Rong Korean Cuisine,67,Kampung Admiralty Hawker Centre,02-03,,,0,"[{'Name': 'Korean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/0CLHBZyXl8cS_hezhirong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Korean Cuisine']
3,9222,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/jiale_sf.jpg,Jia Le Yong Tau Foo,68,Kampung Admiralty Hawker Centre,02-04,,,0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/jiale_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
4,9223,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/spicypot_sf.jpg,Spicy Pot,68,Kampung Admiralty Hawker Centre,02-05,,,0,"[{'Name': 'Mala', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/spicypot_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Mala']
5,9224,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ev7ZHQ9ys2Mj_mengji_sf.jpg,Meng Ji Noodle House,72,Kampung Admiralty Hawker Centre,02-06,,,0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ev7ZHQ9ys2Mj_mengji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
6,9225,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/superwangdelight_sf.jpg,Super Wang Delight Porridge,69,Kampung Admiralty Hawker Centre,02-07,,Mon - Sun: 8am-9pm,0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/superwangdelight_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Zi Char', 'Porridge']"
7,9226,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/daynight_sf.jpg,Day Night Herbal Soup,72,Kampung Admiralty Hawker Centre,02-08,,,77,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/daynight_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Herbal Soup']
8,9227,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/siamkia_sf.jpg,Siam Kia Thai Cuisine,69,Kampung Admiralty Hawker Centre,02-09,,,0,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/siamkia_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Thai']
9,9228,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/porridge_sf.jpg,Porridge,71,Kampung Admiralty Hawker Centre,02-10,,,0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kampung Admiralty Hawker Centre/porridge_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Porridge']
