,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9045,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/P7d3LFY2pnqm_qqfruitjuice_sf.jpg,QQ Fruit Juice,0,Kovan Market & Food Centre,01-01,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/P7d3LFY2pnqm_qqfruitjuice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
1,9046,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/leebrothersotah_sf.jpg,Lee Brother's Otah,68,Kovan Market & Food Centre,01-02,,,82.0,"[{'Name': 'Otah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Honey Glazed Chicken Wings', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/leebrothersotah_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Otah', 'BBQ Chicken']"
2,9047,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/yukee_sf.jpg,Yu Kee Duck Rice,74,Kovan Market & Food Centre,01-03,,,0.0,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/yukee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
3,9048,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/chunfu_sf.jpg,Chun Fu Fishball Minced Meat Noodle & Laksa,74,Kovan Market & Food Centre,01-04,,"Wed - Mon: 11.30am-8.30pm, Closed on Tue",0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/chunfu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Laksa']"
4,9049,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/faji_m1.jpg,Fa Ji Minced Meat Fishball Noodle,69,Kovan Market & Food Centre,01-05,,"Mon, Tue, Thu & Fri: 7.30am-9pm, Sat & Sun: 7am-7pm, Closed on Wed",69.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/faji_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
5,9050,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/mHHvBDem8pGz_nanfangmingchashi_sf.jpg,Nan Fang Ming Cha Shi,0,Kovan Market & Food Centre,01-06,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/mHHvBDem8pGz_nanfangmingchashi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,9051,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/tianfa_sf.jpg,Tian Fa Lor Mee,69,Kovan Market & Food Centre,01-07,,,60.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/tianfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Lor Mee']
7,9052,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/jindingxiang_sf.jpg,Jin Ding Xiang Pig Organ Soup,67,Kovan Market & Food Centre,01-08,,Mon - Sun: 11am-11pm,77.0,"[{'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Kovan Market _ Food Centre - 66 stalls/jindingxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Pork Organ Soup', 'Herbal Soup']"
8,9053,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/2jx1LlLH32gg_meiweidessert_sf.jpg,Mei Wei Dessert,70,Kovan Market & Food Centre,01-09,,Mon - Sun: 12pm-9.30pm,0.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/2jx1LlLH32gg_meiweidessert_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
9,9054,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/BMvsfRM1tedW_qingliang_sf.jpg,Qing Liang Traditional Sugarcane Juice,0,Kovan Market & Food Centre,01-12,,Mon - Sun: 9am-10pm,65.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/BMvsfRM1tedW_qingliang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
