,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8245,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/vN8KehoRuu6l_tehtarikcafe_sf.PNG,Teh Tarik Cafe,0,,01-01,0,,,tehtarikcafe,,1,480,,0,0,0,71,2020-10-26T04:12:32.000Z,2021-11-08T16:13:34.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/vN8KehoRuu6l_tehtarikcafe_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
1,8246,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/azizaputupuring_sf.jpg,Aziza Putu Piring,68,,01-02,0,,,azizaputupuring,,1,480,,0,2,0,71,2020-10-26T04:12:32.000Z,2021-10-14T02:59:24.000Z,"[{'Name': 'Putu Piring', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Goreng Pisang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/azizaputupuring_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Dessert', 'Goreng Pisang']",False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
2,8247,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yokmariyok_sf.jpg,Yok Mari Yok Nasi Padang,68,,01-03,0,,,yokmariyok,,1,480,,75,0,0,0,2020-10-26T04:12:33.000Z,2021-10-14T02:59:25.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yokmariyok_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Nasi Lemak']",False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
3,8248,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/qianwei_sf.jpg,Qian Wei,60,,01-04,0,,,qianwei,,1,480,,0,7,1,71,2020-10-26T04:12:33.000Z,2021-12-20T15:43:42.000Z,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/qianwei_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Head Curry', 'Zi Char']",False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
4,8249,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/kuchingoriginal_sf.jpg,Kuching Original Kolo Noodle Laksa,71,,01-05,0,,,kuchingoriginal,,1,480,,70,4,1,70,2020-10-26T04:12:33.000Z,2021-10-14T02:59:27.000Z,"[{'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kolo Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/kuchingoriginal_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Laksa', 'Kolo Mee']",False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
5,8250,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/lAAjZ9b1udiB_LdHzGpZqTMqp_katongpohfreshfruitjuice_sf.jpg,Katong Poh Fresh Fruit Juice,0,,01-06,0,,,katongpohfreshfruitjuice,,1,480,,72,0,1,72,2020-10-26T04:12:33.000Z,2022-01-17T19:59:59.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/lAAjZ9b1udiB_LdHzGpZqTMqp_katongpohfreshfruitjuice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
6,8251,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jsGOJHUtphb0_MRsQIFXvCX6i_yilufa_sf.jpg,Yi Lu Fa Hong Kong Roasted Meat,69,,01-07,0,,,yilufa,,1,480,,78,5,1,78,2020-10-26T04:12:33.000Z,2021-12-20T15:43:42.000Z,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jsGOJHUtphb0_MRsQIFXvCX6i_yilufa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
7,8252,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xLolylHVqhfy_w9Sxm74tmQnN_77banmian_sf.jpg,77 Ban Mian,67,,01-08,0,,,77banmian,,1,480,,68,2,1,68,2020-10-26T04:12:33.000Z,2022-01-17T19:59:59.000Z,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xLolylHVqhfy_w9Sxm74tmQnN_77banmian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian'],False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
8,8253,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ebdP6BKbBlx0_M3dquq7uw2Ch_junshin_sf.jpg,Junshin Fish Soup,76,,01-09,0,,,junshin,,1,480,,74,2,0,74,2020-10-26T04:12:33.000Z,2021-11-08T16:13:34.000Z,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ebdP6BKbBlx0_M3dquq7uw2Ch_junshin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Soup'],False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
9,8254,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yukee_sf.jpg,Yu Kee Duck Rice,70,,01-10,0,,,yukee,,1,480,,77,3,1,77,2020-10-26T04:12:33.000Z,2021-10-14T02:59:28.000Z,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 84 Marine Parade Central/yukee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck'],False,marineparadecentral84,Marine Parade Central Blk 84,480,,,en,[], 
