,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7732,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210325/TuCkXlBcypLt_Hong Kee Delights @ Marine Terrace Blk 50A.PNG,Hong Kee Delights,67,Marine Terrace Blk 50A,01-267,,Mon - Sun: 6.30am-2pm,68,"[{'Name': 'Dumplings', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210325/TuCkXlBcypLt_Hong%20Kee%20Delights%20%40%20Marine%20Terrace%20Blk%2050A.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dumplings']
1,7733,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/llyEGHqmeBgW_HdLpZYvGhhwV_keatseng_sf.jpg,Keat Seng Soya Bean & Dessert,73,Marine Terrace Blk 50A,01-269,,,74,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/llyEGHqmeBgW_HdLpZYvGhhwV_keatseng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean']
2,7734,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 50A Marine Terrace/xinglong_sf.jpg,Xing Long Cooked Food,71,Marine Terrace Blk 50A,01-271,,,77,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 50A Marine Terrace/xinglong_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Oyster Omelette']"
3,7735,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/x69VUs9Z0VHd_WMpY9NdTNRE9_marineparadecoffeedrinks_sf.jpg,Marine Parade Coffee & Drinks,0,Marine Terrace Blk 50A,01-273,,Mon-Sun: 9.30am-5pm,67,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/x69VUs9Z0VHd_WMpY9NdTNRE9_marineparadecoffeedrinks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,7736,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 50A Marine Terrace/huihuang_sf.jpg,Hui Huang Roasted Delights,73,Marine Terrace Blk 50A,01-275,,,70,"[{'Name': 'Roast Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 50A Marine Terrace/huihuang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Herbal Soup', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
5,7737,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/WM0OzOy2GEmr_O48lpv1FGdMY_senghoe_sf.jpg,Seng Hoe Fish Ball Minced Meat Noodle,69,Marine Terrace Blk 50A,01-277,,Mon - Sun: 6.30am-8pm,0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/WM0OzOy2GEmr_O48lpv1FGdMY_senghoe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']"
6,7738,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/cp6HCL7bHtnX_WYgIa2VhzWbC_guxiang_sf.jpg,Gu Xiang Noodles,68,Marine Terrace Blk 50A,01-279,,,76,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/cp6HCL7bHtnX_WYgIa2VhzWbC_guxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Oyster Omelette']"
7,7739,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rkmwQvjuINY0_OHC5ww5LKuGF_miaoshuang_sf.jpg,Miao Shuang Vegetarian Food,70,Marine Terrace Blk 50A,01-281,,,0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rkmwQvjuINY0_OHC5ww5LKuGF_miaoshuang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
8,7740,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 50A Marine Terrace/delisnacks_sf.jpg,Delisnacks,66,Marine Terrace Blk 50A,01-283,,Mon - Sun: 4am-3pm,80,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 50A Marine Terrace/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
9,7741,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/6vwf7YR8QMoF_WVxCv6ILnLVg_liuchunji_sf.jpg,Liu Chun Ji Zhu Chang Fen,69,Marine Terrace Blk 50A,01-285,,Mon - Sun: 6am-1pm,72,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/6vwf7YR8QMoF_WVxCv6ILnLVg_liuchunji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Teochew Kueh']"
