,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5655,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2iji56Cxy5Ns_EcoQKlZMVMrb_albismi_sf.jpg,Al Bismi Teh Halla,0,,01-01,0,,,albismi,,1,399,,77.0,0,0,0,2020-10-26T04:08:53.000Z,2021-10-14T02:43:21.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2iji56Cxy5Ns_EcoQKlZMVMrb_albismi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
1,5656,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/8GMd9y3Hyvuj_d8SWHY8w0Plx_goldennur_sf.jpg,Golden Nur,68,,01-02,0,,,goldennur,,1,399,,0.0,1,0,83,2020-10-26T04:08:53.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/8GMd9y3Hyvuj_d8SWHY8w0Plx_goldennur_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Rebus']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
2,5657,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/goldennurspecial_sf.jpg,Golden Nur Nasi Biryani Special,72,,01-03,0,,,goldennurspecial,,1,399,,77.0,3,0,79,2020-10-26T04:08:53.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/goldennurspecial_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Roti Prata']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
3,5658,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/nuramin_sf.jpg,Nuramin Nasi Padang,72,,01-04,0,,,nuramin,,1,399,,81.0,3,0,67,2020-10-26T04:08:53.000Z,2021-11-08T16:13:46.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/nuramin_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/nuramin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Nasi Padang'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
4,5659,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/tianci_sf.jpg,Tian Ci Traditional Prawn Noodles,72,,01-05,0,,,tianci,,1,399,,0.0,2,0,77,2020-10-26T04:08:54.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/tianci_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
5,5660,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/wangchengji_sf.jpg,Wang Cheng Ji Fishball & Meatball Noodles,69,,01-06,0,,,wangchengji,,1,399,,0.0,0,0,76,2020-10-26T04:08:54.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/wangchengji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
6,5661,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/yuguo_sf.jpg,Yu Guo Curry Rice,66,,01-07,0,,,yuguo,,1,399,,80.5,1,0,80,2020-10-26T04:08:54.000Z,2021-10-14T02:43:25.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/yuguo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
7,5662,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/teochewkwayteowmee_sf.jpg,Teochew Kway Teow Mee,70,,01-08,0,,,teochewkwayteowmee,,1,399,,0.0,0,0,81,2020-10-26T04:08:54.000Z,2022-01-17T20:04:50.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/teochewkwayteowmee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
8,5663,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/fishsoup_sf.jpg,Fish Soup,52,,01-09,0,,,fishsoup,,1,399,,70.0,5,0,77,2020-10-26T04:08:54.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/fishsoup_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fish Soup'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
9,5664,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/J1aTo3uncuzg_icR5oKD238rP_selerabonda_sf.jpg,Selera Bonda,70,,01-11,0,,,selerabonda,,1,399,,73.0,0,0,0,2020-10-26T04:08:54.000Z,2021-10-14T02:43:27.000Z,"[{'Name': 'Nasi Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/J1aTo3uncuzg_icR5oKD238rP_selerabonda_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Mee Rebus']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
10,5665,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/N7i6K7xMKO7K_WaRZJ8fgWXRX_kejoranasipadang_sf.jpg,Kejora Nasi Padang,68,,01-12,0,,,kejoranasipadang,,1,399,,81.0,5,0,68,2020-10-26T04:08:54.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/N7i6K7xMKO7K_WaRZJ8fgWXRX_kejoranasipadang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Padang'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
11,5666,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jY7kZdw3LL9T_YTfJbFnaQirE_setiajaya_sf.jpg,Setia Jaya Nasi Lemak Kukus,74,,01-13,0,,,setiajaya,,1,399,,0.0,0,0,78,2020-10-26T04:08:54.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Goreng Kamong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jY7kZdw3LL9T_YTfJbFnaQirE_setiajaya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Nasi Goreng']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
12,5667,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/minhiang_sf.jpg,Min Hiang Soya Bean,0,,01-14,0,,,minhiang,,1,399,,0.0,0,0,69,2020-10-26T04:08:54.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/minhiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
13,5668,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/beekee_sf.jpg,Bee Kee Wanton Noodle,67,,01-15,0,,,beekee,,1,399,,80.0,2,0,82,2020-10-26T04:08:54.000Z,2022-01-17T20:04:50.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/beekee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
14,5669,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/NxshSqv2y8OX_BepWdiQZoUPw_shuvegetarian_sf.jpg,Shu Vegetarian,69,,01-16,0,,,shuvegetarian,,1,399,,75.0,0,0,0,2020-10-26T04:08:54.000Z,2021-10-14T02:43:29.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/NxshSqv2y8OX_BepWdiQZoUPw_shuvegetarian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
15,5670,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AAWEYEI4OgtF_725qmnmSioaN_yummynyonya_sf.jpg,Yummy Nyonya Peranakan,68,,01-17,0,,,yummynyonya,,1,399,,70.0,12,0,83,2020-10-26T04:08:54.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Assam Fish', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chap Chye', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AAWEYEI4OgtF_725qmnmSioaN_yummynyonya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Assam Fish', 'Peranakan Cuisine']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
16,5671,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/pohkee_sf.jpg,Poh Kee Kitchen Noodles & Rice,71,,01-18,0,,,pohkee,,1,399,,78.0,0,0,0,2020-10-26T04:08:54.000Z,2021-10-14T02:43:30.000Z,"[{'Name': 'Hor Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/pohkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Hor Fun', 'Fried Rice']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
17,5672,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/ruiji_sf.jpg,Rui Ji Fish Porridge,71,,01-19,0,,,ruiji,,1,399,,0.0,0,0,71,2020-10-26T04:08:55.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/ruiji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Porridge', 'Fish Soup']",False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
18,5673,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Market Street Food Centre/hockgooi_sf.jpg,Hock Gooi Hainanese Curyy Rice,69,,01-20,0,,,hockgooi,,1,399,,76.71428571,6,0,77,2020-10-26T04:08:55.000Z,2021-10-14T02:43:32.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Market Street Food Centre/hockgooi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry'],False,marketstreetfc,Market Street Food Centre,399,,,en,[], 
