,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8768,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/hengheng_sf.jpg,Heng Heng Chicken Rice,73,Marsiling Lane Blks 20/21 ,01-02,,"Fri - Wed: 10am-9pm, Closed on Thu",77.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
1,8769,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/azizahazizcaferia_sf.jpg,Azizah Aziz Caferia,0,Marsiling Lane Blks 20/21 ,01-03,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/azizahazizcaferia_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
2,8770,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/laixing_sf.jpg,Lai Xing Prawn Noodle,69,Marsiling Lane Blks 20/21 ,01-05,,,65.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/laixing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
3,8771,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/unclepancake_sf.jpg,Uncle Pancake,68,Marsiling Lane Blks 20/21 ,01-07,,"Tue - Sun: 6am-1pm, Closed on Mon",82.0,"[{'Name': 'Min Jiang Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/unclepancake_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Min Jiang Kueh']
4,8772,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/pt9CkQH9ILgX_WcwxA3vsup0f_soonxing_sf.jpg,Soon Xing Coffee Stall,0,Marsiling Lane Blks 20/21 ,01-08,,"Tue - Sun: 3.30am-3.30pm, Closed on Mon",72.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/pt9CkQH9ILgX_WcwxA3vsup0f_soonxing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
5,8773,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Jl0EIutAH0xe_6QZGUvlColGK_wangxinwan_sf.jpg,Wang Xing Wan Handmade Noodles,69,Marsiling Lane Blks 20/21 ,01-09,,,80.0,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Jl0EIutAH0xe_6QZGUvlColGK_wangxinwan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian']
6,8774,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/yongseng_sf.jpg,Yong Seng Chicken & Duck Rice,71,Marsiling Lane Blks 20/21 ,01-10,,"Wed - Mon: 8am-3.30pm, Closed on Tue",0.0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/yongseng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Braised Meat & Duck']"
7,8775,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/handmadefishball_sf.jpg,Handmade Fishball Noodles,75,Marsiling Lane Blks 20/21 ,01-11,,,80.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 20-21 Marsiling Lane/handmadefishball_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
8,8776,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/q61M2AfrOmFz_W52jbDP7NXrx_skseafoodsoup_sf.jpg,SK Seafood Soup,66,Marsiling Lane Blks 20/21 ,01-12,,"Thu - Tue: 11am-3pm, 4.30pm-8.30pm, Closed on Wed",0.0,"[{'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/q61M2AfrOmFz_W52jbDP7NXrx_skseafoodsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood Soup']
9,8777,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0W39aN5ggfVX_9qQ3vbBGbGeh_suyuan_sf.jpg,Su Yuan Xuan Vegetarian,70,Marsiling Lane Blks 20/21 ,01-14,,Mon - Sun: 4.30am-1.30pm,70.0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0W39aN5ggfVX_9qQ3vbBGbGeh_suyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
