,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,9290,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/ahcheng_sf.jpg,Ah Cheng Lao Huo Tang,70,,01-03,0,,,ahcheng,,1,396,,0.0,0,0,64,2020-10-26T04:13:58.000Z,2021-12-20T15:46:27.000Z,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/ahcheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Herbal Soup'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
1,9291,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/bukitpanjangdessert_sf.jpg,Bukit Panjang Dessert,68,,01-04,0,,,bukitpanjangdessert,,1,396,,70.0,1,1,64,2020-10-26T04:13:59.000Z,2021-10-14T03:05:36.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/bukitpanjangdessert_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
2,9292,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/woodlands888_sf.jpg,Woodlands 888 Cai Fa,69,,01-05,0,,,woodlands888,,1,396,Mon - Sun: 7am-9pm,81.0,5,0,80,2020-10-26T04:13:59.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/woodlands888_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']",False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
3,9293,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/2FKDGS0iibBT_longhuacafe_sf.jpg,Long Hua Cafe,0,,01-06,0,,,longhuacafe,,1,396,"Mon - Sat: 2pm-Midnight, Closed on Sun",0.0,0,1,77,2020-10-26T04:13:59.000Z,2021-12-20T15:46:27.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/2FKDGS0iibBT_longhuacafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
4,9294,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/wcQj64OPxdmm_freshlymadehongkongstyle_sf.jpg,Freshly Made Hong Kong Style Zhu Chang Fen,78,,01-07,0,,,freshlymadehongkongstyle,,1,396,,0.0,0,0,77,2020-10-26T04:13:59.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/wcQj64OPxdmm_freshlymadehongkongstyle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chee Cheong Fun'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
5,9295,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/meixiang_sf.jpg,Mei Xiang,0,,01-08,0,,,meixiang,,1,396,,80.0,0,1,82,2020-10-26T04:13:59.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/meixiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
6,9296,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/enorDrbn2CKJ_xinxingjizhoupin_sf.jpg,Xin Xing Ji Zhou Pin,80,,01-10,0,,,xinxingjizhoupin,,1,396,Mon - Sun: 7am-9.30pm,0.0,3,0,82,2020-10-26T04:13:59.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/enorDrbn2CKJ_xinxingjizhoupin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
7,9297,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/changivillagefriedhokkienmee_sf.jpg,Changi Village Fried Hokkien Mee,70,,01-11,0,,,changivillagefriedhokkienmee,,1,396,"Mon - Fri: 6am-2pm, Closed on Sat & Sun",70.0,5,0,69,2020-10-26T04:13:59.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/changivillagefriedhokkienmee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Hokkien Mee'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
8,9298,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/zhufu_sf.jpg,Zhu Fu Sugar Cane Juice,0,,01-12,0,,,zhufu,,1,396,,0.0,0,1,65,2020-10-26T04:13:59.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/zhufu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
9,9299,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/yinle_sf.jpg,Yinle Hot & Cold Beverages,0,,01-13,0,,,yinle,,1,396,,0.0,0,1,80,2020-10-26T04:13:59.000Z,2021-10-14T03:05:40.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Marsiling Mall Hawker Centre/yinle_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,marsilingmallfc,Marsiling Mall Hawker Centre,396,,,en,[], 
