,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5706,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/PFcp8nU1sfik_buT81uEaffjo_no1maxwell_sf.jpg,No1 Maxwell,68,,01-01,0,,,no1maxwell,,1,382,,70.0,0,0,0,2020-10-26T04:08:58.000Z,2021-10-14T02:43:44.000Z,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PFcp8nU1sfik_buT81uEaffjo_no1maxwell_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Hokkien Mee', 'Wanton Mee']",False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
1,5707,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/h1EP4JHfZvdp_RTmMYVaOsywA_traditionalchineseclaypot_sf.jpg,Traditional Chinese Claypot,68,,01-02,0,,,traditionalchineseclaypot,,1,382,,0.0,0,0,71,2020-10-26T04:08:58.000Z,2021-11-08T16:13:16.000Z,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/h1EP4JHfZvdp_RTmMYVaOsywA_traditionalchineseclaypot_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Claypot'],False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
2,5708,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MqOksAp3Sixj_M4yfmYXMPsMJ_fuzhouoystercake_sf.jpg,Maxwell Fuzhou Oyster Cake,85,,01-05,0,,,fuzhouoystercake,,1,382,Mon - Sun: 9am-7pm,81.0,0,0,81,2020-10-26T04:08:58.000Z,2021-10-14T02:43:45.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MqOksAp3Sixj_M4yfmYXMPsMJ_fuzhouoystercake_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
3,5709,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/gBg1SKPj94J6_Kd7eUNc16frN_fuzhoufishballwantonmee_m1.jpg,Fuzhou Fishball Wanton Mee,71,,01-06,0,,,fuzhoufishballwantonmee,,1,382,Mon - Sun: 11am-8pm,0.0,6,0,79,2020-10-26T04:08:58.000Z,2021-12-20T15:43:39.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/gBg1SKPj94J6_Kd7eUNc16frN_fuzhoufishballwantonmee_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GkDRUWB6TlUW_CB3xyqfQTKQV_fuzhoufishballwantonmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Fishball Noodles']",False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
4,5710,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iZdn0gZaLdRc_XQ6mGc8Onk3K_ahyai_sf.jpg,Ah Tai Hainanese Chicken Rice,95,,01-07,0,,,ahyai,,1,382,"Wed - Mon: 10am-8pm, Closed on Tue",73.0,0,0,0,2020-10-26T04:08:58.000Z,2021-10-14T02:43:46.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iZdn0gZaLdRc_XQ6mGc8Onk3K_ahyai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
5,5711,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/rpv3bJz35Odm_rHNsy8ecgboF_xintraditional_m1.jpg,Xin Traditional Coffee & Bread,0,,01-08,0,,,xintraditional,,1,382,,80.0,0,0,80,2020-10-26T04:08:58.000Z,2021-11-08T16:13:16.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/rpv3bJz35Odm_rHNsy8ecgboF_xintraditional_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
6,5712,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/yongxiang_sf.jpg,Alimama,78,,01-09,0,,,alimama,,1,382,,0.0,12,0,73,2020-10-26T04:08:58.000Z,2021-10-14T02:43:47.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/yongxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Laksa', 'Bak Chor Mee']",False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
7,5713,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/tiantian_sf.jpg,Tian Tian Hainanese Chicken Rice,80,,01-10/11,0,,,tiantian,,1,382,"Tue - Sun: 9.30am-7.30pm, Closed on Mon",67.5,7,1,70,2020-10-26T04:08:58.000Z,2021-11-08T16:13:16.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/tiantian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/tiantian_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles'],False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
8,5715,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/lioncity_sf.jpg,Famous Queens Briyani,92,,01-12,0,,,famous-queens-briyani,,1,382,,82.66666667,12,0,78,2020-10-26T04:08:58.000Z,2021-11-19T11:39:44.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Maxwell Food Centre/lioncity_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Indian']",False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
9,5716,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/kNbPSCBAGJm1_9ZkPdOeL69dQ_quanyuan_sf.jpg,Quan Yuan Fresh Fruit Juice,0,,01-14,0,,,quanyuan,,1,382,Mon - Sun: 9am-9pm,77.0,2,1,77,2020-10-26T04:08:59.000Z,2021-11-08T16:13:28.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/kNbPSCBAGJm1_9ZkPdOeL69dQ_quanyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,maxwellfc,Maxwell Food Centre,382,,,en,[], 
