,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6500,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/edCxBjF7CacT_Z9lRch765ksY_chenghong_sf.jpg,Cheng Hong Cooked Food,69,Meiling Street Food Centre,02-01,,,72.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/edCxBjF7CacT_Z9lRch765ksY_chenghong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Rice', 'Porridge']"
1,6501,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/0OmC1qj2Irl6_fYQrNA7eVTe5_shushi_sf.jpg,Shu Shi Vegetarian,70,Meiling Street Food Centre,02-02,,Mon - Sun: 6am-1.30pm,66.0,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/0OmC1qj2Irl6_fYQrNA7eVTe5_shushi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian']
2,6502,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/xingwang_sf.jpg,Xing Wang Coffee Stall,0,Meiling Street Food Centre,02-03,,Mon - Sun: 7am-10pm,66.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/xingwang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/xingwang_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
3,6503,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/m7fQHfj4oCWi_LI6UCipzZek2_chuangxin_sf.jpg,Chuang Xin Lor Mee,69,Meiling Street Food Centre,02-04,,,81.0,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/m7fQHfj4oCWi_LI6UCipzZek2_chuangxin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Lor Mee']
4,6504,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/xinlu_sf.jpg,Xin Lu Teochew Fish Soup,72,Meiling Street Food Centre,02-05,,"Fri - Wed: 5.45am-12.30pm, Closed on Thu",0.0,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/xinlu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles']
5,6505,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/9uf2wiOXkwqw_5lreUmEhByjB_monkeythaiseafood_sf.jpg,Monkey Thai Seafood,66,Meiling Street Food Centre,02-07,,"Tue - Sun: 11.30am-2pm, 5pm-8.30pm, Closed on Mon",0.0,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/9uf2wiOXkwqw_5lreUmEhByjB_monkeythaiseafood_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
6,6506,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jWVdYgKkUmrr_8Qm20w3ZSDBj_johndelicious_sf.jpg,John Delicious Ramen,72,Meiling Street Food Centre,02-08,,,80.0,"[{'Name': 'Ban Mian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jWVdYgKkUmrr_8Qm20w3ZSDBj_johndelicious_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ban Mian', 'Fish Soup']"
7,6507,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/a6hrW0QJGTGc_T9ig8iS6jM9y_ririlai_sf.jpg,RiRi Lai Coffee Stall,0,Meiling Street Food Centre,02-09,,,74.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/a6hrW0QJGTGc_T9ig8iS6jM9y_ririlai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
8,6508,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/RpRwAY2H9fGW_NAzDJbjZPFQy_ahhoe_sf.jpg,Ah Hoe Cooked Food,70,Meiling Street Food Centre,02-10,,Mon - Sun: 4am-3pm,70.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/RpRwAY2H9fGW_NAzDJbjZPFQy_ahhoe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Chee Cheong Fun']"
9,6509,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/hokee_sf.jpg,Ho Kee Roasted Duck,71,Meiling Street Food Centre,02-11,,Mon - Sun: 7am-2.30pm,0.0,"[{'Name': 'Roast Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 159 Mei Chin Road/hokee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
