,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5792,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/gCWHtGLBVPFz_larryandcatherine_sf.jpg,Larry & Catherine Beer Time,0,,01-01,0,,,larryandcatherine,,1,400,,67.0,0,0,67,2020-10-26T04:09:05.000Z,2021-10-14T02:44:25.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/gCWHtGLBVPFz_larryandcatherine_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,newtonfc,Newton Food Centre,400,,,en,[], 
1,5793,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/3mJg86yzYKOd_shengda_sf.jpg,Sheng Da BBQ Seafood,69,,01-02,0,,,shengda,,1,400,Mon - Sun: 11am-11pm,70.0,3,1,70,2020-10-26T04:09:05.000Z,2021-12-20T15:43:39.000Z,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/3mJg86yzYKOd_shengda_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood'],False,newtonfc,Newton Food Centre,400,,,en,[], 
2,5794,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/DlpIMeraRDzJ_bangkokexpress_sf.jpg,Bangkok Express,79,,01-04,0,,,bangkokexpress,,1,400,Mon - Sun: 11am-10pm,0.0,7,0,69,2020-10-26T04:09:05.000Z,2021-12-20T15:43:40.000Z,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/DlpIMeraRDzJ_bangkokexpress_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai'],False,newtonfc,Newton Food Centre,400,,,en,[], 
3,5795,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/Am3YKEjYVmmF_88sanren_sf.jpg,88 San Ren Cold & Hot Dessert,72,,01-05,0,,,88sanren,,1,400,Mon - Sun: 11.30am-11.30pm,0.0,3,1,77,2020-10-26T04:09:05.000Z,2021-10-14T02:44:26.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Am3YKEjYVmmF_88sanren_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert'],False,newtonfc,Newton Food Centre,400,,,en,[], 
4,5796,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ktT7XPJpnVoW_songji_sf.jpg,Song Ji,68,,01-06,0,,,songji,,1,400,,0.0,9,1,74,2020-10-26T04:09:06.000Z,2021-12-20T15:43:40.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ktT7XPJpnVoW_songji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,newtonfc,Newton Food Centre,400,,,en,[], 
5,5797,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/WB581SLqJqKa_sarahnadiah_sf.jpg,Sarah Nadiah Muslim Food,65,,01-07,0,,,sarahnadiah,,1,400,Mon - Sun: 1pm-10.30pm,80.0,10,0,80,2020-10-26T04:09:06.000Z,2021-11-08T16:13:29.000Z,"[{'Name': 'Fish Head Curry', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/WB581SLqJqKa_sarahnadiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Fish Head Curry'],False,newtonfc,Newton Food Centre,400,,,en,[], 
6,5798,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/mHmoolRqQngC_hanhupkookee_sf.jpg,Han Hup Koon Kee Fresh Fruit & Juice,0,,01-08,0,,,hanhupkookee,,1,400,,72.0,2,1,72,2020-10-26T04:09:06.000Z,2021-11-08T16:13:16.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/mHmoolRqQngC_hanhupkookee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,newtonfc,Newton Food Centre,400,,,en,[], 
7,5799,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Newton Food Centre - 83 stalls/yukee_sf.jpg,Yu Kee Braised Duck,65,,01-09,0,,,yukee,,1,400,,0.0,10,0,70,2020-10-26T04:09:06.000Z,2021-11-08T16:13:29.000Z,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Newton Food Centre - 83 stalls/yukee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck'],False,newtonfc,Newton Food Centre,400,,,en,[], 
8,5800,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/YqITIGUmq7ha_xomincedmeatnoodle_sf.jpg,XO Minced Meat Noodle,72,,01-10,0,,,xomincedmeatnoodle,,1,400,24 hours daily,64.66666667,1,1,72,2020-10-26T04:09:06.000Z,2021-10-14T02:44:28.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/YqITIGUmq7ha_xomincedmeatnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,newtonfc,Newton Food Centre,400,,,en,[], 
9,5801,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Newton Food Centre - 83 stalls/haiyan_sf.jpg,Hai Yan BBQ Seafood,70,,01-11,0,,,haiyan,,1,400,"Tue - Sun: 5.30pm-Midnight, Closed on Mon",70.0,2,1,70,2020-10-26T04:09:06.000Z,2021-11-08T16:13:16.000Z,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Newton Food Centre - 83 stalls/haiyan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Seafood'],False,newtonfc,Newton Food Centre,400,,,en,[], 
