,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7835,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Zrml4nshTzKD_ugKgNHVoFmP7_baobao_sf.jpg,Bao Bao Vegetarian Food  8,73,,01-148,0,,,baobao,,1,464,"Mon - Fri: 5am-12pm, Sat & Sun: 5am-1pm",77,0,0,77,2020-10-26T04:11:58.000Z,2021-12-20T15:46:31.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Zrml4nshTzKD_ugKgNHVoFmP7_baobao_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
1,7836,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AWMkOpigzrp7_rIKVaujSXMV8_thowyen_sf.jpg,Thow Yen Foodstuffs,71,,01-149,0,,,thowyen,,1,464,,67,15,0,67,2020-10-26T04:11:58.000Z,2021-10-14T02:56:53.000Z,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AWMkOpigzrp7_rIKVaujSXMV8_thowyen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
2,7837,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xinxi_sf.jpg,Xin Xi Chwee Kueh,77,,01-150,0,,,xinxi,,1,464,,70,3,0,70,2020-10-26T04:11:58.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xinxi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Chee Cheong Fun']",False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
3,7838,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/XMCTGbTCfhPU_Bxsvst5sXhED_58mincedmeatmee_sf.jpg,58 Minced Meat Mee,73,,01-151,0,,,58mincedmeatmee,,1,464,Mon - Sun: 5am-2pm,0,13,0,77,2020-10-26T04:11:58.000Z,2021-11-08T16:13:54.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/XMCTGbTCfhPU_Bxsvst5sXhED_58mincedmeatmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']",False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
4,7839,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/zeMAS5lQChe8_EUzFmf3bfFai_youcai_sf.jpg,You Cai Wanton Mee,69,,01-152,0,,,youcai,,1,464,,0,1,0,77,2020-10-26T04:11:58.000Z,2021-10-14T02:56:54.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/zeMAS5lQChe8_EUzFmf3bfFai_youcai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
5,7840,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/originalchangitenmile_sf.jpg,Original Changi Ten Mile,68,,01-153,0,,,originalchangitenmile,,1,464,,0,12,0,69,2020-10-26T04:11:59.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/originalchangitenmile_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
6,7841,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/soonheng_sf.jpg,Soon Heng Coffee Stall,0,,01-154,0,,,soonheng,,1,464,Mon - Sun: 2am-2pm,80,2,0,80,2020-10-26T04:11:59.000Z,2021-11-08T16:13:54.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/soonheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
7,7842,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jxmCxy2OwUJe_qtIG4O8G9wno_tianlai_sf.jpg,Tian Lai Fried You Tiao,69,,01-155,0,,,tianlai,,1,464,,72,2,0,72,2020-10-26T04:11:59.000Z,2022-01-17T20:04:56.000Z,"[{'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jxmCxy2OwUJe_qtIG4O8G9wno_tianlai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['You Tiao'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
8,7843,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Q2HQXEHOQZ5A_KAU0P2O667uF_guanhian_sf.jpg,Guan Hian Nasi LEmak,71,,01-156,0,,,guanhian,,1,464,,0,4,1,79,2020-10-26T04:11:59.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Q2HQXEHOQZ5A_KAU0P2O667uF_guanhian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
9,7844,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xideli_sf.jpg,Xi De Li,68,,01-157,0,,,xideli,,1,464,,72,3,1,72,2020-10-26T04:11:59.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 58 New Upper Changi Road/xideli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao'],False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
10,7845,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/fvgiUEqU0nzw_wX818eNceEbi_goodmorning_sf.jpg,Good Morning Fried Bee Hoon Mee Rojak,74,,01-158,0,,,goodmorning,,1,464,Mon - Sun: 12pm-6.30pm,70,6,0,70,2020-10-26T04:11:59.000Z,2021-10-14T02:56:57.000Z,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/fvgiUEqU0nzw_wX818eNceEbi_goodmorning_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Rojak']",False,newupperchangi58,New Upper Changi Road Blk 58 ,464,,,en,[], 
