,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,9825,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/guanyinsu_sf.jpg,Guan Yin Su,72,,01-85,0,,,guanyinsu,,1,407,"Mon - Sat: 6.30am-8.30pm, Closed on Sun",0,5,0,77,2020-10-26T04:14:40.000Z,2021-10-14T03:09:03.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/guanyinsu_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['You Tiao'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
1,9826,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/delisnacks_sf.jpg,Delisnacks,67,,01-86,0,,,delisnacks,,1,407,,0,8,0,78,2020-10-26T04:14:40.000Z,2021-11-08T16:13:40.000Z,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
2,9827,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/specialyongtaufoo_sf.jpg,Special Yong Tau Foo,70,,01-87,0,,,specialyongtaufoo,,1,407,Mon - Sun: 7am-1pm,0,7,0,74,2020-10-26T04:14:40.000Z,2021-10-14T03:09:04.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/specialyongtaufoo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
3,9828,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/6FeoVT6ZXilC_friedbeehoon_sf.jpg,88 Fried Bee Hoon,68,,01-88,0,,,friedbeehoon,,1,407,,79,0,0,0,2020-10-26T04:14:41.000Z,2021-10-14T03:09:05.000Z,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/6FeoVT6ZXilC_friedbeehoon_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Char Kway Teow']",False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
4,9829,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/f0JLelCXiXNL_mingshu_sf.jpg,Ming Shu Yin Liao,0,,01-89,0,,,mingshu,,1,407,,80,2,0,80,2020-10-26T04:14:41.000Z,2021-11-08T16:13:40.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/f0JLelCXiXNL_mingshu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
5,9830,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/hupheng_sf.jpg,Hup Heng Mixed Veg RIce,70,,01-90,0,,,hupheng,,1,407,Mon - Sun: 9am-4pm,72,3,0,72,2020-10-26T04:14:41.000Z,2021-11-08T16:13:40.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/North Bridge Road Market _ Food Centre/hupheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
6,9831,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/athe14yLiz0v_chicagonasilemak_sf.jpg,Chicago Nasi Lemak,72,,01-92,0,,,chicagonasilemak,,1,407,Mon - Sun: 8am-4pm,0,1,1,79,2020-10-26T04:14:41.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/athe14yLiz0v_chicagonasilemak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
7,9832,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/oJRDr6i7EJkT_hoe_sf.jpg,Hoe Fried Hokkien Mee,72,,01-93,0,,,hoe,,1,407,"Mon - Sat: 9am-6.30pm, Closed on Sun",72,5,1,72,2020-10-26T04:14:41.000Z,2021-12-20T15:43:45.000Z,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/oJRDr6i7EJkT_hoe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Hokkien Mee'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
8,9833,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/mnFgUzfZU1Jb_happysnack_sf.jpg,Happy Snack,66,,01-94,0,,,happysnack,,1,407,,70,1,1,70,2020-10-26T04:14:41.000Z,2021-10-14T03:09:06.000Z,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/mnFgUzfZU1Jb_happysnack_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
9,9834,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/o0Rg4frn3IPo_mehfilmuglai_sf.jpg,Mehfil Muglai,70,,01-95,0,,,mehfilmuglai,,1,407,,81,2,1,81,2020-10-26T04:14:41.000Z,2021-10-14T03:09:06.000Z,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/o0Rg4frn3IPo_mehfilmuglai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian'],False,northbridgeroadmarketfc,North Bridge Road Market & Food Centre,407,,,en,[], 
