,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9455,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/e4KuputyzqnD_localhandmadepau_sf.jpg,Local Handmade Pau,70,Old Airport Road Blk 51,01-01,,Mon - Sun: 7am-10pm,81.0,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/e4KuputyzqnD_localhandmadepau_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dim Sum']
1,9456,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/otzJTVoCND1W_huahee_sf.jpg,Hua Kee Hougang Famous Wanton Mee,75,Old Airport Road Blk 51,01-02,,Mon - Sun: 8am-10.30pm,0.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/otzJTVoCND1W_huahee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
2,9457,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/dculFdul8h24_meixin_sf.jpg,Mei Xin Coffee Stall,0,Old Airport Road Blk 51,01-03,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dculFdul8h24_meixin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
3,9458,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/USTC3g4PkyHc_victors_sf.jpg,Victor's Ri Ben Xiao Chi,71,Old Airport Road Blk 51,01-05,,"Sun - Fri: 11am-3pm, 5pm-8.30pm, Sat: 11am-9pm",80.0,"[{'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/USTC3g4PkyHc_victors_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Japanese Cuisine']
4,9459,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/YJPsHP7S0Ij0_kimsatay_sf.jpg,Kim Satay,60,Old Airport Road Blk 51,01-06,,"Thu - Tue: 2pm-11pm, Closed on Wed",0.0,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Muah Chee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/YJPsHP7S0Ij0_kimsatay_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay', 'Muah Chee']"
5,9460,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 51 Old Airport Road/xinxin_sf.jpg,Xin Xin Yong Tau Foo,70,Old Airport Road Blk 51,01-07,,Mon - Sun: 8.30am-11pm,70.0,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 51 Old Airport Road/xinxin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Yong Tau Foo']
6,9461,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/yLtOmNaXIenU_londongrill_sf.jpg,London Grill,65,Old Airport Road Blk 51,01-08,,Mon - Sun: 1pm-10pm,0.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/yLtOmNaXIenU_londongrill_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
7,9462,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/bdwPCU4DT3GU_albertstreet_sf.jpg,Albert Street Prawn Noodle,72,Old Airport Road Blk 51,01-10,,"Thu - Tue: 9am-10pm, Closed on Wed",0.0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/bdwPCU4DT3GU_albertstreet_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles']
8,9463,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/o9iaAaFNKN5L_orchidcoffee_sf.jpg,Orchid Coffee Stall,0,Old Airport Road Blk 51,01-11,,Mon - Sun: 10am-Midnight,77.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/o9iaAaFNKN5L_orchidcoffee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
9,9464,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/bcZbCMTuHjz6_laofuzi_sf.jpg,Lao Fu Zi Fried Kway Teow,78,Old Airport Road Blk 51,01-12,,"Mon - Fri: 11.30am-11pm, Sat & Sun: 10am-11pm",76.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/bcZbCMTuHjz6_laofuzi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201113/CBNDfXDBYVwZ_LFZ.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201113/FpzG762ZblOY_Lao%20Fu%20Zi%20Fried%20Kway%20Teow%20Black_6.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20211113/5hza9zCaCJ9p_189163616_333553851464447_7640239437240086992_n.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
