,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5862,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/UOuyR0vqTe6K_T631llXnS6NK_alehsan_sf.jpg,Al Ehsan Nasi Padang,68,,01-01,0,,,alehsan,,1,385,,73.0,5,1,64,2020-10-26T04:09:12.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Nasi Padang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/UOuyR0vqTe6K_T631llXnS6NK_alehsan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Padang', 'Nasi Lemak']",False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
1,5863,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/eUkhxwghtZNs_JzS9vpX0WnQO_famoussataybbqchickenwing_sf.jpg,Famous Satay BBQ Chicken Wing,72,,01-03,0,,,famoussataybbqchickenwing,,1,385,,67.0,0,1,72,2020-10-26T04:09:12.000Z,2021-10-14T02:44:57.000Z,"[{'Name': 'BBQ Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/eUkhxwghtZNs_JzS9vpX0WnQO_famoussataybbqchickenwing_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['BBQ Chicken', 'Satay']",False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
2,5864,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/1FfcCeqoA2nq_ZERlWeiJHW6o_sinchinheng_sf.jpg,Sin Chin Heng Drinks Corner,0,,01-05,0,,,sinchinheng,,1,385,,82.0,0,1,0,2020-10-26T04:09:12.000Z,2021-10-14T02:44:57.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/1FfcCeqoA2nq_ZERlWeiJHW6o_sinchinheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
3,5865,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/V461KOlcDH5E_t0vSDBHwYqNi_tuixin_sf.jpg,Tui Xin,0,,01-06,0,,,tuixin,,1,385,,0.0,0,0,72,2020-10-26T04:09:12.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/V461KOlcDH5E_t0vSDBHwYqNi_tuixin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
4,5866,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/YRaS6YENq9uO_QVh21hNqF6Zy_buasiam_sf.jpg,Bua Siam,74,,01-07,0,,,buasiam,,1,385,,0.0,1,1,70,2020-10-26T04:09:12.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Thai Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/YRaS6YENq9uO_QVh21hNqF6Zy_buasiam_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
5,5867,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/w7MiTKsw5d2p_orrY6K2lmnSH_yatian_sf.jpg,Ya Tian Curry Rice,70,,01-09,0,,,yatian,,1,385,24 hours daily,77.0,3,0,80,2020-10-26T04:09:12.000Z,2021-10-14T02:44:58.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/w7MiTKsw5d2p_orrY6K2lmnSH_yatian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
6,5868,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/3i1NE4VPuP4s_Pox0hoy7sMma_myfamilykitchen_sf.jpg,My Family Kitchen,73,,01-10,0,,,myfamilykitchen,,1,385,,67.0,2,0,71,2020-10-26T04:09:12.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/3i1NE4VPuP4s_Pox0hoy7sMma_myfamilykitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Economy Rice'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
7,5869,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/G0VQY751aRLu_n10Qk0qrGah2_liyuan_sf.jpg,Li Yuan,70,,01-13,0,,,liyuan,,1,385,,70.0,2,0,66,2020-10-26T04:09:12.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Fried Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/G0VQY751aRLu_n10Qk0qrGah2_liyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fried Rice', 'Oyster Omelette']",False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
8,5870,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210927/F4vCrNDHOvTS_pz4vgRd6jnBk_4 (1).jpg,Ivy's Hainanese Herbal Mutton Soup,85,,01-14,0,,,ivy's-hainanese-herbal-mutton-soup,,1,385,Mon - Sun: 11.30am-9pm,80.0,3,0,77,2020-10-26T04:09:12.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Mutton Soup (Chinese)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/stall/20210927/A8eqOeg6Q4jj_pz4vgRd6jnBk_4.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mutton Soup (Chinese)'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
9,5871,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jSGCZmZ4Udwh_7uqrAocHczdx_xinfuji_sf.jpg,Xin Fu Ji,77,,01-15,0,,,xinfuji,,1,385,,72.0,2,1,72,2020-10-26T04:09:12.000Z,2021-10-14T02:44:59.000Z,"[{'Name': 'Seafood (Crab)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jSGCZmZ4Udwh_7uqrAocHczdx_xinfuji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood'],False,pasirpanjangfc,Pasir Panjang Food Centre,385,,,en,[], 
