,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,9260,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/UUh7RrlM9I0L_alrahimsarbat_sf.jpg,Al-Rahim Sarbat Stall,0,,01-01,0,,,alrahimsarbat,,1,384,,72.0,3,1,76,2020-10-26T04:13:56.000Z,2021-10-14T03:05:24.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/UUh7RrlM9I0L_alrahimsarbat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
1,9261,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/unclepenyet_sf.jpg,Uncle Penyet,67,,01-02,0,,,unclepenyet,,1,384,,78.0,2,0,78,2020-10-26T04:13:56.000Z,2021-12-20T15:46:27.000Z,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Ayam Panggang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/unclepenyet_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Malay Cuisine']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
2,9262,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ibZ69ABEaZcV_alrahim_sf.jpg,Al-Rahim Chicken Rice Delights,70,,01-03,0,,,alrahim,,1,384,,68.0,3,1,81,2020-10-26T04:13:57.000Z,2021-12-20T15:46:27.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ibZ69ABEaZcV_alrahim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
3,9263,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/arrahmaan_sf.jpg,Ar Rahmaan Indian Muslim Food,74,,01-04,0,,,arrahmaan,,1,384,,74.0,7,1,71,2020-10-26T04:13:57.000Z,2021-10-14T03:05:25.000Z,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/arrahmaan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Indian Rojak']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
4,9264,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/mingfa_sf.jpg,Ming Fa Fishball Noodles,69,,01-05,0,,,mingfa,,1,384,,77.0,0,1,70,2020-10-26T04:13:57.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/mingfa_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
5,9265,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xideli_sf.jpg,Xi De Li,71,,01-06,0,,,xideli,,1,384,"Wed - Mon: 7am-4pm, Closed on Tue",68.0,11,1,67,2020-10-26T04:13:57.000Z,2021-10-14T03:05:26.000Z,"[{'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xideli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
6,9266,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/vXhdwg5516eL_uncleleesnoodlehouse_sf.jpg,Uncle Lee's Noodle House,68,,01-07,0,,,uncleleesnoodlehouse,,1,384,,70.0,1,1,70,2020-10-26T04:13:57.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/vXhdwg5516eL_uncleleesnoodlehouse_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
7,9267,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/1NM9pYZEiSkH_xiangruigourmets_sf.jpg,Xiang Rui Gourmets,72,,01-08,0,,,xiangruigourmets,,1,384,Mon - Sun: 7am-10.30pm,0.0,0,1,73,2020-10-26T04:13:57.000Z,2021-12-20T15:46:27.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/1NM9pYZEiSkH_xiangruigourmets_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
8,9268,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fogfwgRUOeFg_yonho_sf.jpg,Yon Ho Hainanese Cuisine,71,,01-09,0,,,yonho,,1,384,,0.0,0,1,83,2020-10-26T04:13:57.000Z,2021-12-20T15:46:27.000Z,"[{'Name': 'Mutton Soup (Chinese)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fogfwgRUOeFg_yonho_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Chinese)', 'Pork Organ Soup']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
9,9269,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xiangma_sf.jpg,Xiang Ma Traditional Taste,68,,01-10,0,,,xiangma,,1,384,Mon - Sun: 7am-10.30pm,0.0,0,0,82,2020-10-26T04:13:57.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/xiangma_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Mee Siam']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
10,9270,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/junyuan_sf.jpg,Jun Yuan House Of Fish,67,,01-11,0,,,junyuan,,1,384,,70.33333333,0,1,68,2020-10-26T04:13:57.000Z,2021-12-16T01:13:21.000Z,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/junyuan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Seafood Soup']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
11,9271,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/kopiteh_sf.jpg,Kopi.Teh,0,,01-12,0,,,kopiteh,,1,384,,72.0,7,1,69,2020-10-26T04:13:57.000Z,2021-10-14T03:05:29.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/kopiteh_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
12,9272,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/ricegarden_sf.jpg,Rice Garden,70,,01-13,0,,,ricegarden,,1,384,Mon - Sun: 7am-10.30pm,0.0,0,1,82,2020-10-26T04:13:57.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/ricegarden_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Rice'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
13,9273,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/efeiUQS4KJyc_laomiandangjie_sf.jpg,Lao Mian Dang Jie,76,,01-14,0,,,laomiandangjie,,1,384,,71.0,1,0,72,2020-10-26T04:13:57.000Z,2021-10-14T03:05:30.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/efeiUQS4KJyc_laomiandangjie_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
14,9274,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/fHJM3Y3mawhZ_unclejim_sf.jpg,Uncle Jim Fresh Fruit Juice,0,,01-17,0,,,unclejim,,1,384,,70.0,3,0,80,2020-10-26T04:13:57.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/fHJM3Y3mawhZ_unclejim_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
15,9275,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/fangyibaodian_sf.jpg,Fang Yi Bao Dian,68,,01-18,0,,,fangyibaodian,,1,384,,79.0,3,1,81,2020-10-26T04:13:57.000Z,2021-10-14T03:05:30.000Z,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/fangyibaodian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
16,9276,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/teochewseafood_sf.jpg,Teochew Seafood White Mee Hoon,67,,01-19,0,,,teochewseafood,,1,384,,74.0,0,0,78,2020-10-26T04:13:58.000Z,2021-11-08T16:13:20.000Z,"[{'Name': 'White Mee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/teochewseafood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['White Bee Hoon'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
17,9277,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/l2jQBb0xfs3Y_authentichakka_sf.jpg,Authentic Hakka Yong Tau Foo,70,,01-20,0,,,authentichakka,,1,384,,0.0,0,1,79,2020-10-26T04:13:58.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/l2jQBb0xfs3Y_authentichakka_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Yong Tau Foo'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
18,9278,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/fengfeng_sf.jpg,Feng Feng Boneless Chicken Rice,71,,01-21,0,,,fengfeng,,1,384,Mon - Sun: 10am-9pm,0.0,0,1,68,2020-10-26T04:13:58.000Z,2021-10-14T03:05:31.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/fengfeng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
19,9279,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/likepudding_sf.jpg,Like Pudding,68,,01-22,0,,,likepudding,,1,384,,81.0,0,1,73,2020-10-26T04:13:58.000Z,2021-10-14T03:05:32.000Z,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/likepudding_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
20,9280,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/1i42zF21I4IE_lukhonthai_sf.jpg,Lukhon Thai Tomyum & BBQ Steamboat,70,,02-05,0,,,lukhonthai,,1,384,"Wed - Sun: 1pm-9pm, Closed on Mon & Tue",0.0,0,1,71,2020-10-26T04:13:58.000Z,2022-01-17T20:04:53.000Z,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/1i42zF21I4IE_lukhonthai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
21,9281,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/abangtehtarik_sf.jpg,Abang Teh Tarik,0,,02-06,0,,,abangtehtarik,,1,384,,0.0,0,1,71,2020-10-26T04:13:58.000Z,2021-10-14T03:05:33.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/abangtehtarik_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
22,9282,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/2Ihz6Kk3Hv0v_prawnaholic_sf.jpg,Prawnaholic,76,,02-12,0,,,prawnaholic,,1,384,"Tue - Sun: 11am-9pm, Closed on Mon",80.0,2,1,75,2020-10-26T04:13:58.000Z,2021-11-08T16:13:47.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/2Ihz6Kk3Hv0v_prawnaholic_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
23,9283,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/finsfeathers_sf.jpg,Fins & Feathers,69,,02-13,0,,,finsfeathers,,1,384,"Tue, Wed, Fri - Sun: 11.30am-7.30pm, Closed on Mon & Thu",72.0,0,1,0,2020-10-26T04:13:58.000Z,2021-10-14T03:05:34.000Z,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Pasir Ris Central Hawker Centre - 42 stalls/finsfeathers_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Western Cuisine'],False,pasirriscentralfc,Pasir Ris Central Hawker Centre,384,,,en,[], 
