,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,11563,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KcLpA3qkQyWz_originalfamouspenanglaksa_sf.jpg,Super Star Original Famous Penang Laksa,77,,01-1002B,0,,,super-star-original-famous-penang-laksa,,1,440,,0,4,0,69,2020-10-30T22:59:07.000Z,2021-12-20T15:43:47.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KcLpA3qkQyWz_originalfamouspenanglaksa_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Assam Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210601/bjRYUFWviQF8_Screenshot%202021-06-01%20at%203.08.30%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210601/1PIJzBu6R4vt_Screenshot%202021-06-01%20at%203.08.51%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210601/tIWjfuUTcdtW_Screenshot%202021-06-01%20at%203.09.11%20PM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Rojak', 'Assam Laksa']",False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
1,11564,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/yangxing_sf.jpg,Yang Xing Cheng Teng,68,,01-04,0,,,yangxing,,1,440,,73,1,0,73,2020-10-30T22:59:07.000Z,2021-11-08T16:13:19.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/yangxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dessert'],False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
2,11565,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/bgybMu44qCrU_renqingwei_sf.jpg,Ren Qing Wei,70,,01-1006,0,,,renqingwei,,1,440,,67,1,1,67,2020-10-30T22:59:07.000Z,2021-11-08T16:13:19.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/bgybMu44qCrU_renqingwei_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Herbal Soup'],False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
3,11566,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/3ZqIrblGSWrw_homemadepopiah_sf.jpg,Homemade Popiah,66,,#01-1008,0,,,homemadepopiah,,1,440,,0,1,0,69,2020-10-30T22:59:07.000Z,2021-10-14T03:19:27.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/3ZqIrblGSWrw_homemadepopiah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Popiah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kueh Pie Tee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Popiah'],False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
4,11567,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/8IfMYHpEUnkP_beekimheng_sf.jpg,Bee Kim Heng,69,,01-1010,0,,,beekimheng,,1,440,,0,3,0,71,2020-10-30T22:59:07.000Z,2021-11-08T16:13:19.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8IfMYHpEUnkP_beekimheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'BBQ Pork', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['BBQ Pork'],False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
5,11568,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/yLEnWoU7Y7hT_fashuikueh_m1.jpg,Fatt Soon Kueh,89,,01-1012,0,,,fatt-soon-kueh,,1,440,,0,0,0,79,2020-10-30T22:59:07.000Z,2022-01-17T20:00:02.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/LfOfkWCsOygm_fashuikueh_m2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/yLEnWoU7Y7hT_fashuikueh_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210526/Fuuo62h6TsWK_1.%20Store.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210526/coUjWlaJRK6M_3.%20Top%20Down%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210526/PFCZwAUwbDBe_7.%20Action%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210526/PmXui5yEWTlV_9.%20Action%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20210526/BsAb7ZNc8ykw_10.%20Action%20-%20png%20kueh.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Teochew Kueh'],False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
6,11569,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/imtePEVH9kGP_chopheankuan_m3.jpg,Chop Hean Kuan,68,,01-1018,0,,,chopheankuan,,1,440,Mon - Sun: 7am-9pm,77,2,0,77,2020-10-30T22:59:07.000Z,2022-01-17T20:00:02.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/imtePEVH9kGP_chopheankuan_m3.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/kWYKo1efH7V0_chopheankuan_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/pZ5FqNxsnXcd_izdbTXbVWhqZ_chopheankuan_m2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 3}, {'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Dim Sum'],False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
7,11570,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/lankee_sf.jpg,Lan Kee Hot & Cold Drinks,0,,01-1020,0,,,lankee,,1,440,,67,4,1,67,2020-10-30T22:59:07.000Z,2021-10-14T03:19:28.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/lankee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/lankee_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Beverages', 'Dessert']",False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
8,11571,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/kimhuaguan_sf.jpg,Kim Hua Guan,69,,01-1022,0,,,kimhuaguan,,1,440,,70,0,1,70,2020-10-30T22:59:07.000Z,2021-12-20T15:43:47.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/People_s Park Food Centre/kimhuaguan_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'BBQ Pork', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
9,11573,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/aiP9r3VxABD5_seaseanrice_sf.jpg,See Sean Rice Stall,69,,01-1026,0,,,seaseanrice,,1,440,,72,0,0,0,2020-10-30T22:59:07.000Z,2021-10-14T03:19:29.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/aiP9r3VxABD5_seaseanrice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Chicken Rice & Noodles', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,peoplesparkfc,People's Park Food Centre,440,,,en,[], 
