,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8370,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jYMP4mUpvO2L_ZJXLtvqQlGFl_alifatimah_sf.jpg,Ali Fatimah Food Stall,76,,01-01,0,,,alifatimah,,1,482,,70.0,0,0,70,2020-10-26T04:12:42.000Z,2022-01-17T19:59:59.000Z,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jYMP4mUpvO2L_ZJXLtvqQlGFl_alifatimah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Roti Prata'],False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
1,8371,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/GVI8cL9dW5w7_ZfsQyFiheMzr_sweetsnacks_sf.jpg,Sweet Snacks,71,,01-02,0,,,sweetsnacks,,1,482,,81.0,4,1,81,2020-10-26T04:12:43.000Z,2021-10-14T03:00:26.000Z,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/GVI8cL9dW5w7_ZfsQyFiheMzr_sweetsnacks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kueh'],False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
2,8372,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/nX2eRQQ8qPgy_VEYGATKBXtiQ_chinastreetraditional_sf.jpg,China Street Traditional Hainanese Curry Rice,83,,01-03,0,,,chinastreetraditional,,1,482,Mon - Sun: 11am-8.30pm,74.0,3,0,74,2020-10-26T04:12:43.000Z,2021-12-20T15:43:42.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/nX2eRQQ8qPgy_VEYGATKBXtiQ_chinastreetraditional_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry'],False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
3,8373,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/yeapseng_sf.jpg,Yeap Seng Handmade Pau Tim,70,,01-04,0,,,yeapseng,,1,482,Mon - Sun: 6.30am-2.30pm,0.0,3,0,76,2020-10-26T04:12:43.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'Dim Sum', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/yeapseng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dim Sum'],False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
4,8374,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Ufyn5uMSXVG7_otde2mgrjBHP_hometown_sf.jpg,Home Town,69,,01-05,0,,,hometown,,1,482,,0.0,0,0,74,2020-10-26T04:12:43.000Z,2021-11-08T16:13:17.000Z,"[{'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Butterfly Buns', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Ufyn5uMSXVG7_otde2mgrjBHP_hometown_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['You Tiao'],False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
5,8375,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/hotcolddrinks_sf.jpg,Hot & Cold Drinks,0,,01-06,0,,,hotcolddrinks,,1,482,Mon - Sun: 5.30am-6pm,0.0,12,0,69,2020-10-26T04:12:43.000Z,2021-12-20T15:43:42.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 85 Redhill Lane/hotcolddrinks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
6,8376,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/jKeVan4xwY0w_zH4dZtjCQwhD_ahmalumian_sf.jpg,Ah Ma Lu Mian,66,,01-07,0,,,ahmalumian,,1,482,"Thu - Tue: 6am-2pm, Wed: 5.30am-6pm",78.0,0,0,0,2020-10-26T04:12:43.000Z,2021-10-14T03:00:28.000Z,"[{'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/jKeVan4xwY0w_zH4dZtjCQwhD_ahmalumian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lor Mee', 'Laksa']",False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
7,8377,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/HkCNpKCPOZ9h_yW9xUKtPkxqj_108cafe_sf.jpg,108 Cafe,0,,01-08,0,,,108cafe,,1,482,Mon - Sun: 6.30am-8.30pm,0.0,8,1,76,2020-10-26T04:12:43.000Z,2021-12-20T15:43:42.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/HkCNpKCPOZ9h_yW9xUKtPkxqj_108cafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
8,8378,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xp630OfZLrc6_qgShOYw5AW1a_berkahmalaya_sf.jpg,Berkah Malaya Food,65,,01-09,0,,,berkahmalaya,,1,482,,0.0,12,1,74,2020-10-26T04:12:43.000Z,2021-10-14T03:00:29.000Z,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xp630OfZLrc6_qgShOYw5AW1a_berkahmalaya_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Siam']",False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
9,8379,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/B6PWancr2w1c_IIC411D26sOk_mfmmalayfoodcorner_sf.jpg,MFM Malay Food Corner,71,,01-10,0,,,mfmmalayfoodcorner,,1,482,Mon - Sun: 6am-6pm,72.0,3,1,72,2020-10-26T04:12:43.000Z,2021-11-08T16:13:35.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/B6PWancr2w1c_IIC411D26sOk_mfmmalayfoodcorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Lontong']",False,redhill-food-centre,Redhill Food Centre,482,,,en,[], 
