,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,11642,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/5GPQiKW5mlvD_khaiyeng_sf.jpg,Khai Yeng Cheong Kee Mixed Vegetable,69,,02-01,0,,,khaiyeng,,1,441,Mon - Sun: 8am-8pm,0.0,0,1,70,2020-10-30T22:59:12.000Z,2022-01-17T20:04:54.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/5GPQiKW5mlvD_khaiyeng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
1,11643,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hecheng_sf.jpg,He Cheng Cooked Food,71,,02-03,0,,,hecheng,,1,441,,72.0,3,1,68,2020-10-30T22:59:12.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hecheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Nasi Lemak', 'Chwee Kueh']",False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
2,11644,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/AYmv5lv8N25C_dongnan_sf.jpg,Dong Nan Wanton Noodle,68,,02-04,0,,,dongnan,,1,441,"Mon - Sat: 6.30am-3pm, Closed on Sun",70.0,5,1,64,2020-10-30T22:59:12.000Z,2021-10-14T03:19:59.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/AYmv5lv8N25C_dongnan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Wanton Mee'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
3,11645,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hengheng_sf.jpg,Heng Heng Fish Ball Noodle,67,,02-05,0,,,hengheng,,1,441,Mon - Sun: 9.30am-9.30pm,81.0,12,1,74,2020-10-30T22:59:12.000Z,2021-10-14T03:20:00.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/hengheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Fishball Noodles'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
4,11646,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/yBnocxYuDt3t_aroma_sf.jpg,Aroma Biryani,71,,02-06,0,,,aroma,,1,441,,74.0,3,1,71,2020-10-30T22:59:12.000Z,2021-10-14T03:20:00.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/yBnocxYuDt3t_aroma_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Biryani', 'Roti Prata']",False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
5,11647,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/FWhE2sEzCljZ_marsilingteochewfishsoup_sf.jpg,Marsiling Teochew Fish Soup,60,,02-07,0,,,marsilingteochewfishsoup,,1,441,"Thu - Tue: 8am-7pm, Closed on Wed",0.0,0,1,67,2020-10-30T22:59:12.000Z,2021-10-14T03:20:00.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/FWhE2sEzCljZ_marsilingteochewfishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Fish Soup'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
6,11648,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/x22vWul6uWgN_happiecafe_sf.jpg,Happie Cafe Hot & Cold Drinks,0,,02-08,0,,,happiecafe,,1,441,Mon - Sun: 9am-2pm,0.0,0,1,65,2020-10-30T22:59:12.000Z,2021-11-08T16:13:49.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/x22vWul6uWgN_happiecafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
7,11649,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/huatheng_sf.jpg,Huat Heng Fried Prawn Mee Prawn Mee Soup,69,,02-09,0,,,huatheng,,1,441,Mon - Sun: 7am-8pm,0.0,0,1,74,2020-10-30T22:59:12.000Z,2021-10-14T03:20:01.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/huatheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Prawn Noodles', 'Hokkien Mee']",False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
8,11650,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/liankee_sf.jpg,Lian Kee Roasted Chicken Rice Noodle Soup,70,,02-10,0,,,liankee,,1,441,Mon - Sun: 9am-8pm,0.0,0,1,74,2020-10-30T22:59:12.000Z,2021-10-14T03:20:02.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 320 Shunfu Road - 31 stalls/liankee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
9,11651,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/DPuQaK5VdcqS_quanann_sf.jpg,Quan Ann Prawn Mee,73,,02-11,0,,,quanann,,1,441,Mon - Sun: 6am-3pm,0.0,0,1,77,2020-10-30T22:59:12.000Z,2022-01-17T20:04:54.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/DPuQaK5VdcqS_quanann_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Prawn Noodles'],False,shunfu320,Shunfu Road Blk 320,441,,,en,[], 
