,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7456,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/G679cGUr4wmd_yuanxin_sf.jpg,Yuan Xin Cafe,0,Sims Place Blk 49 ,01-01,,,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/G679cGUr4wmd_yuanxin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
1,7457,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3Nl7i32GXFht_dubaiexpress_sf.jpg,Dubai Express,71,Sims Place Blk 49 ,01-02,,"Mon - Sun: 9am-3pm, Closed on alternate Mon",78,"[{'Name': 'Turkish Wraps', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kebab', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3Nl7i32GXFht_dubaiexpress_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Western Cuisine', 'Kebab']"
2,7458,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/W5kCD2IsYEyX_liang_sf.jpg,Liang Tang Yuan Stewed Soup Steamed Rice,73,Sims Place Blk 49 ,01-03,,,68,"[{'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/W5kCD2IsYEyX_liang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Herbal Soup', 'Fishball Noodles']"
3,7459,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/qD6wIafZ4JFm_taidong_sf.jpg,Tai Dong Teochew Duck Rice,74,Sims Place Blk 49 ,01-04,,"Fri - Wed: 10.30am-3pm, Closed on Thu",74,"[{'Name': 'Duck Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/qD6wIafZ4JFm_taidong_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
4,7460,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/yHY2qxg836le_amk628_sf.jpg,AMK 628,71,Sims Place Blk 49 ,01-05,,"Mon - Sun: 7am-1.30pm, Closed on alternate Mon & Tue",77,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/yHY2qxg836le_amk628_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Chwee Kueh']"
5,7461,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 49 Sims Place - 72 stalls/delisnacks_sf.jpg,Delisnacks,72,Sims Place Blk 49 ,01-06,,Mon - Sun: 5am-2pm,67,"[{'Name': 'Hum Chee Peng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'You Tiao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 49 Sims Place - 72 stalls/delisnacks_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao']
6,7462,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/IKRpokuCiqog_nain_sf.jpg,Nain Food Stall,70,Sims Place Blk 49 ,01-07,,"Mon - Fri: 7am-7pm, Closed on Sat & Sun",70,"[{'Name': 'Nasi Ambeng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Rendang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IKRpokuCiqog_nain_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Indonesian Cuisine', 'Rendang']"
7,7463,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/8FagYsDQJ49B_mohdsakkan_sf.jpg,Mohd Sakkan Hot & Cold Drinks,0,Sims Place Blk 49 ,01-08,,Mon - Sun: 7am-8pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8FagYsDQJ49B_mohdsakkan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
8,7464,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/cLJMCJmc2fHj_greenchilli_sf.jpg,Green Chilli Chicken Rice,66,Sims Place Blk 49 ,01-09,,Mon - Sun: 11am-2pm,0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/cLJMCJmc2fHj_greenchilli_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
9,7465,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/TbLNdJoAWiCK_mohdsahbir_sf.jpg,Mohd Sahbir Muslim Food,70,Sims Place Blk 49 ,01-10,,,0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/TbLNdJoAWiCK_mohdsahbir_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Biryani', 'Roti Prata']"
10,7466,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/kF843KpWvXoX_saleem_sf.jpg,Saleem Teh Tarik,0,Sims Place Blk 49 ,01-11,,Mon - Sun: 10am-11pm,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/kF843KpWvXoX_saleem_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
11,7467,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/BvyxObOsYLvu_rahmah_sf.jpg,Rahmah Muslim Food,68,Sims Place Blk 49 ,01-12,,,72,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/BvyxObOsYLvu_rahmah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Mee Rebus']"
12,7468,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/afOwCDDlTvBW_waronghjhkamisah_sf.jpg,Warong HJH Kamisah,73,Sims Place Blk 49 ,01-13,,,0,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/afOwCDDlTvBW_waronghjhkamisah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Lontong']"
13,7469,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/eircVofTK9Ak_goldenbarnconfectionary_sf.jpg,Golden Barn Confectionary,67,Sims Place Blk 49 ,01-14,,,72,"[{'Name': 'Bread', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/eircVofTK9Ak_goldenbarnconfectionary_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Bread']
14,7470,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/9vDNu175fwN5_kengnam_sf.jpg,Keng Nam Chicken Rice,69,Sims Place Blk 49 ,01-15,,Mon - Sun: 9am-10pm,70,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/9vDNu175fwN5_kengnam_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles']
15,7471,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/vQ9TcAHuiJU3_concern_sf.jpg,Concern Western Food,68,Sims Place Blk 49 ,01-16,,,81,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/vQ9TcAHuiJU3_concern_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
