,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,5968,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/nasilemak_m1.JPG,Nasi Lemak,68,,03-167,0,,,nasilemak,,1,392,,74.0,5,1,74,2020-10-26T04:09:20.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/nasilemak_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
1,5969,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/di3n603vM8m7_HfKw0vZupzT9_haizhen_m1.JPG,Hai Zhen,74,,03-166,0,,,haizhen,,1,392,"Mon - Sun: 11am-2pm, 4pm-8.30pm",0.0,0,0,79,2020-10-26T04:09:20.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/di3n603vM8m7_HfKw0vZupzT9_haizhen_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/tjqnmA9KCwbw_haizhen_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char'],False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
2,5970,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hupsoon_sf.JPG,Hup Soon Rice & Porridge,70,,03-164,0,,,hupsoon,,1,392,"Mon - Fri: 10am-8.30pm, Closed on Sat & Sun",79.0,0,1,0,2020-10-26T04:09:20.000Z,2021-10-14T02:45:27.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hupsoon_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Porridge'],False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
3,5971,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/gqenwZklCX4f_I0ki670oFKII_gorhiong_m1.JPG,Gor Hiong Prawn Cracker,69,,03-163,0,,,gorhiong,,1,392,Mon - Sun: 11.30am-9pm,0.0,0,0,80,2020-10-26T04:09:20.000Z,2022-01-17T20:04:50.000Z,"[{'Name': 'Ngoh Hiong Prawn Cracker', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/gqenwZklCX4f_I0ki670oFKII_gorhiong_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8GkRtALbZ6R5_gorhiong_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ngoh Hiang'],False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
4,5972,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mg5Y4godoODA_XoBfavh7NEc2_junekee_m1.JPG,June Kee Noodle House,65,,03-162,0,,,junekee,,1,392,,0.0,1,0,74,2020-10-26T04:09:21.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mg5Y4godoODA_XoBfavh7NEc2_junekee_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']",False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
5,5973,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Tpz3Jb4HdPuU_rXERmJgVaqwK_oriental_sf.JPG,Oriential Rojak Cuttlefish Tau Pok,67,,03-161,0,,,oriental,,1,392,"Tue - Sun: 11.30am-8pm, Closed on Mon",67.0,0,1,0,2020-10-26T04:09:21.000Z,2021-10-14T02:45:28.000Z,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Tpz3Jb4HdPuU_rXERmJgVaqwK_oriental_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak'],False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
6,5974,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yongsheng_m1.JPG,Yong Sheng,68,,03-160,0,,,yongsheng,,1,392,,0.0,0,0,69,2020-10-26T04:09:21.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yongsheng_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Carrot Cake', 'Char Kway Teow']",False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
7,5975,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/S5Zw7bjRojhX_jndnIndRbA9E_sinarrezeki_m1.JPG,Sinar Rezeki,69,,03-173,0,,,sinarrezeki,,1,392,,71.0,0,0,0,2020-10-26T04:09:21.000Z,2021-10-14T02:45:29.000Z,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/S5Zw7bjRojhX_jndnIndRbA9E_sinarrezeki_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/W3uKBOzbMwLS_sinarrezeki_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Mee Rebus']",False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
8,5976,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yingji_sf.JPG,Ying Ji Yun Tun Mian,68,,03-172,0,,,yingji,,1,392,,74.25,3,1,72,2020-10-26T04:09:21.000Z,2021-10-14T02:45:29.000Z,"[{'Name': '', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yingji_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/yingji_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 3}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Curry Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Wanton Mee', 'Curry']",False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
9,5977,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hongguan_sf.JPG,Hong Guan Cooked Food,70,,03-139,0,,,hongguan,,1,392,,70.0,0,1,77,2020-10-26T04:09:21.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Claypot', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Taman Jurong Mkt _ FC (618499)/hongguan_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Claypot'],False,tamanjurongfc,Taman Jurong Market & Food Centre,392,,,en,[], 
