,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6456,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/baoshoushi_sf.jpg,Bao Shou Shi,68,Tampines Street 11 Blk 137,01-01,,,0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Otah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/baoshoushi_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Otah']"
1,6457,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/houseofdessert_sf.jpg,House of Dessert,65,Tampines Street 11 Blk 137,01-02,,,0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/houseofdessert_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Dessert']
2,6458,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/EoqQcXuScS9Y_haichang_sf.jpg,Hai Chang Fish Head Steamboat,69,Tampines Street 11 Blk 137,01-03,,"Tue - Sun: 5pm-9pm, Closed on Mon",69,"[{'Name': 'Fish Head Steamboat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/EoqQcXuScS9Y_haichang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
3,6459,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/zMKuefX4ZS0z_kanglechashilengrenyinpin_sf.jpg,Kang Le Cha Shi Leng Re Yin Pin,0,Tampines Street 11 Blk 137,01-04,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/zMKuefX4ZS0z_kanglechashilengrenyinpin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
4,6460,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/teokee_sf.jpg,Teo Kee Mushroom Minced Pork Noodle,68,Tampines Street 11 Blk 137,01-05,,"Wed - Sun: 6am-2pm, Closed on Mon & Tue",72,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/teokee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']"
5,6461,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/137market_sf.jpg,137 Market Vegetarian Pancake,70,Tampines Street 11 Blk 137,01-06,,Mon - Sun: 6am-2pm,66,"[{'Name': 'Min Jiang Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/137market_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Min Jiang Kueh']
6,6462,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/lCev7FzJpmC1_songhan_sf.jpg,Song Han Carrot Cake,76,Tampines Street 11 Blk 137,01-07,,"Tue-Wed, Fri-Sun: 6am-12pm, Closed on Mon & Thu",75,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/lCev7FzJpmC1_songhan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake']
7,6463,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/luckysoyabean_sf.jpg,Lucky Soya Bean,71,Tampines Street 11 Blk 137,01-08,,Mon - Sun: 11am-Midnight,81,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/luckysoyabean_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean']
8,6464,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/63yVUIaXQJAB_lormeeprawnmee_sf.jpg,137 Lor Mee Prawn Mee,67,Tampines Street 11 Blk 137,01-09,,Mon - Sun: 10am-9pm,0,"[{'Name': 'Prawn Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lor Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/63yVUIaXQJAB_lormeeprawnmee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Prawn Noodles', 'Lor Mee']"
9,6465,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/yile_sf.jpg,Yi Le Shu Shi,68,Tampines Street 11 Blk 137,01-10,,"Mon: 8am-9pm, Tue - Sun: 7am-1pm",0,"[{'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/yile_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Teochew Kueh', 'Chwee Kueh']"
10,6466,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/centrecoffee_sf.jpg,Centre Coffee Stall,0,Tampines Street 11 Blk 137,01-11,,,80,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/centrecoffee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
11,6467,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/yonghuat_sf.jpg,Yong Huat Chicken Rice,67,Tampines Street 11 Blk 137,01-12,,Mon - Sun: 10am-9pm,0,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 137 Tampines Street 11 - 45 stalls/yonghuat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Laksa']"
