,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9897,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/RGSjLGkFk9aS_q8wsUnUxVOKR_cafe66_sf.jpg,Cafe 66,0,Tanglin Halt Market,01-01,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/RGSjLGkFk9aS_q8wsUnUxVOKR_cafe66_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,9898,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4gQG50e0AVZI_1FuwXN2Mvk4E_meiweixiaochi_sf.jpg,Mei Wei Xiao Chi,70,Tanglin Halt Market,01-02,,"Mon - Sat: 6pm-1am, Closed on Sun",0.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4gQG50e0AVZI_1FuwXN2Mvk4E_meiweixiaochi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Porridge']"
2,9899,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/3Sf46FJuijxJ_IVIYuVLcI5Qy_kitchen_sf.jpg,Tanglin Halt Kitchen,67,Tanglin Halt Market,01-03,,,0.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/3Sf46FJuijxJ_IVIYuVLcI5Qy_kitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Nasi Lemak']"
3,9900,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/XN3RjH2gD50L_ovkTT6XHrZUw_wantonstall_sf.jpg,Wanton Stall,68,Tanglin Halt Market,01-04,,,0.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/XN3RjH2gD50L_ovkTT6XHrZUw_wantonstall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee']
4,9901,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/5BgW9JWmX5cr_v3gGYKHMD6jY_liansheng_sf.jpg,Lian Sheng Food Stall,71,Tanglin Halt Market,01-05,,,0.0,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/5BgW9JWmX5cr_v3gGYKHMD6jY_liansheng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
5,9902,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210830/dYN4ZULBDhiL_HPD Placeholder.jpg,Tan Kao Hei Cha Shao,71,Tanglin Halt Market,01-06,,,70.0,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/stall/20210830/3XjeSYQc3WQA_HPD%20Placeholder.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Wanton Mee', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
6,9903,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/F7fl1ZfJ4xp4_rrx5GmmtrVOs_jinmacafe_sf.jpg,Jinma Cafe,0,Tanglin Halt Market,01-07,,,72.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/F7fl1ZfJ4xp4_rrx5GmmtrVOs_jinmacafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
7,9904,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/R9vZ0B7bTkeU_wZbzZKxOlYee_dadi_sf.jpg,Da Di Minced Meat Noodle,72,Tanglin Halt Market,01-08,,,78.0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/R9vZ0B7bTkeU_wZbzZKxOlYee_dadi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Fishball Noodles', 'Bak Chor Mee']"
8,9905,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/lCc5Sj5lVU7z_991eFwuf1DCj_piaoxiang_sf.jpg,Piao Xiang Xiao Chi,71,Tanglin Halt Market,01-10,,,68.0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/lCc5Sj5lVU7z_991eFwuf1DCj_piaoxiang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Porridge']"
9,9906,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/E38MT1cayWwT_mh26VHTgdm5l_youquan_sf.jpg,You Quan,71,Tanglin Halt Market,01-11,,"Sun - Thu: 5pm-12.30pm, Closed on Fri & Sat",74.0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/E38MT1cayWwT_mh26VHTgdm5l_youquan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Porridge', 'Economy Bee Hoon']"
