,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,11855,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/dyAWnGo9DIKy_KjJ2wASlrglk_madbros_sf.jpg,Mad Bros,68,,02-03,0,,,madbros,,1,466,,72,0,1,72,2020-10-30T22:59:26.000Z,2021-11-08T16:13:42.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/dyAWnGo9DIKy_KjJ2wASlrglk_madbros_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Japanese Cuisine'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
1,11856,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/rongxing_sf.jpg,Rong Xing Yong Tau Fu,76,,02-04,0,,,rongxing,,1,466,"Mon - Sat: 7am-2.30pm, Closed on Sun",0,0,1,78,2020-10-30T22:59:26.000Z,2022-01-17T20:00:03.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/rongxing_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Yong Tau Foo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Yong Tau Foo'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
2,11857,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/4xkS08Xno67Z_YSoMItyC5iM9_peter_sf.jpg,Peter Fried Kway Teow Mee,76,,02-05,0,,,peter,,1,466,Mon - Sun: 11am-8pm,0,4,1,74,2020-10-30T22:59:26.000Z,2021-11-08T16:13:42.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/4xkS08Xno67Z_YSoMItyC5iM9_peter_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
3,11858,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/huatkee_sf.jpg,Huat Kee Cooked Food,74,,02-06,0,,,huatkee,,1,466,,72,3,1,72,2020-10-30T22:59:26.000Z,2021-12-20T15:43:48.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/huatkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
4,11859,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/xiangxiang_sf.jpg,Xiang Xiang Nasi Lemak,68,,02-08,0,,,xiangxiang,,1,466,"Mon - Sat: 6am-2pm, Closed on Sun",66,2,0,66,2020-10-30T22:59:26.000Z,2021-10-14T03:21:28.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Nasi Lemak'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
5,11860,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/uxUD30yRPonV_hxaZ9ueZ5b32_tanjongpagarfriedkwayteow_sf.jpg,Tanjong Pagar Fried Kway Teow,73,,02-09,0,,,tanjongpagarfriedkwayteow,,1,466,,75,3,1,75,2020-10-30T22:59:26.000Z,2021-10-14T03:21:29.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/uxUD30yRPonV_hxaZ9ueZ5b32_tanjongpagarfriedkwayteow_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
6,11861,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/ahseng_sf.jpg,Ah Seng Laksa & Prawn Mee,75,,02-10,0,,,ahseng,,1,466,"Mon - Fri: 7am-2pm, Closed on Sat & Sun",81,4,1,81,2020-10-30T22:59:26.000Z,2021-10-14T03:21:29.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/ahseng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Prawn Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Laksa'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
7,11862,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Ow6GVpazoTRe_a8fLV7jcnwsU_uppcrossstsoyachicken_sf.jpg,Upp Cross St Soya Chicken Noodle & Rice,70,,02-11,0,,,uppcrossstsoyachicken,,1,466,Mon - Sun: 6am-2.30pm,0,1,1,75,2020-10-30T22:59:26.000Z,2021-11-08T16:13:42.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Ow6GVpazoTRe_a8fLV7jcnwsU_uppcrossstsoyachicken_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Chicken Rice & Noodles'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
8,11863,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/sliimuffin_sf.jpg,SL II Muffin,68,,02-12,0,,,sliimuffin,,1,466,"Mon - Sat: 8am-5pm, Closed on Sun",0,13,0,73,2020-10-30T22:59:27.000Z,2021-11-08T16:13:42.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 6 Tanjong Pagar Plaza/sliimuffin_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Muffins', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Muffins'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
9,11864,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/F6dYi8g3G1Uz_jsQwwaBSPYjX_issanthai_sf.jpg,Issan Thai Food,69,,02-13,0,,,issanthai,,1,466,"Mon - Fri: 11.30am-3pm, 5.30pm-8pm, Sat: 11.30am-5pm, Closed on Sun",80,0,0,80,2020-10-30T22:59:27.000Z,2022-01-17T20:00:03.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/F6dYi8g3G1Uz_jsQwwaBSPYjX_issanthai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Thai'],False,tanjongpagarplaza6,Tanjong Pagar Plaza Blk 6,466,,,en,[], 
