,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,9353,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/PC0urBsSOSLQ_zhamzham_m1.jpg,Zham Zham Muslim Food,68,Tekka Market,01-217/218,,Mon - Sun: 9am-6.30pm,68.0,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/PC0urBsSOSLQ_zhamzham_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/9egbohiUtRNg_zhamzham_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Roti John']"
1,9354,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/SBbrqxCoDPhg_sriaachiaappakadai_m1.jpg,Sri Aachi Aappakadai Pte Ltd,74,Tekka Market,01-219/220,,"Thu - Tue: 5.30am-9.30pm, Wed: 9am-3pm",74.0,"[{'Name': 'Nasi Briyani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/SBbrqxCoDPhg_sriaachiaappakadai_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Gk65FDYAFJI4_sriaachiaappakadai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Biryani', 'Mee Goreng']"
2,9355,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/4tvyOedzrSeo_hajjahfatimah_sf.jpg,Hajjah Fatimah,72,Tekka Market,01-221,,Mon - Sun: 6am-3pm,77.0,"[{'Name': 'Putu Mayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Putu Bamboo', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/4tvyOedzrSeo_hajjahfatimah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
3,9356,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/eocFxSKpRyrx_allazizah_sf.jpg,Al Lazizah,68,Tekka Market,01-223,,,67.0,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/eocFxSKpRyrx_allazizah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Lontong']"
4,9357,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/EG3g2ka1ZOno_sritiffan_sf.jpg,Sri Tiffan Stall,70,Tekka Market,01-224,,Mon - Sun: 6am-11pm,70.0,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/EG3g2ka1ZOno_sritiffan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
5,9358,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/rex_sf.jpg,Rex Nasi Ayam Mee Hongkong,69,Tekka Market,01-225,,Mon - Sun: 9am-10pm,0.0,"[{'Name': 'Nasi Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Hong Kong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/rex_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Zi Char']"
6,9359,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/8a2MVs3o4N6w_berkat_sf.jpg,Berkat Stall,69,Tekka Market,01-226,,Mon - Sun: 8am-9pm,0.0,"[{'Name': 'Nasi Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Ayam Sambal', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/8a2MVs3o4N6w_berkat_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chicken Rice & Noodles', 'Malay Cuisine']"
7,9360,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/kZrsGdocZ8RP_skylab_sf.jpg,Sky Lab Cooked Food,71,Tekka Market,01-227/228,,Mon - Sun: 6am-8pm,64.0,"[{'Name': 'Indian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/kZrsGdocZ8RP_skylab_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/uq3alUNEkL5J_skylab_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
8,9361,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/YJJGjiAlqgQ2_allauddins_sf.jpg,Allauddin's Briyani,80,Tekka Market,01-229,,Mon - Sun: 9am-8pm,80.0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/YJJGjiAlqgQ2_allauddins_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Biryani']
9,9362,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/assarabat_m1.jpg,A S Sarabat Stall,0,Tekka Market,01-230,,Mon - Sun: 5am-12pm,72.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/assarabat_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages']
10,9363,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/c7QBSfXL5ORr_bunistiffincorner_sf.jpg,Buni's Tiffin Corner,67,Tekka Market,01-231,,Mon - Sun: 5.30am-7pm,0.0,"[{'Name': 'Dosa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Vadai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/c7QBSfXL5ORr_bunistiffincorner_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Indian', 'Vadai']"
11,9364,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/allauddinsbriyanispecialist_sf.jpg,Allauddin's Briyani Pte Ltd Briyani Specialist,67,Tekka Market,01-232,,Mon - Sun: 10.30am-7pm,72.0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/allauddinsbriyanispecialist_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Biryani']
12,9365,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/skycurryhouse_sf.jpg,Sky Curry House,73,Tekka Market,01-233,,,70.0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Meal', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/skycurryhouse_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Biryani', 'Indian']"
13,9366,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/HvmpxAKb6keq_mrtekkasbriyani_sf.jpg,Mr Tekka's Briyani,68,Tekka Market,01-234,,,81.0,"[{'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/HvmpxAKb6keq_mrtekkasbriyani_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Biryani']
14,9367,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/assarabat_sf.jpg,A S Sarabat Stall Hot & Cool Drinks,0,Tekka Market,01-235,,Mon - Sun: 5am-12pm,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tekka Market - 119 stalls/assarabat_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages']
