,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,10017,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/BNi0qYVPASHv_PkUi9YBTRl7l_noordima_sf.jpg,Noordima Malay Food Stall,68,,01-78,0,,,noordima,,1,411,,0,7,0,80,2020-10-26T04:14:56.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Soto Ayam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/BNi0qYVPASHv_PkUi9YBTRl7l_noordima_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Malay Cuisine', 'Nasi Lemak']",False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
1,10018,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210405/Geee9ehocGFg_Juiceman - Telok Blangah Blk 11.png,The Juice Man,0,,01-79,0,,,thejuiceman,,1,411,Mon - Sun: 11am-9.30pm,74,0,1,0,2020-10-26T04:14:56.000Z,2021-10-14T03:10:16.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210405/Geee9ehocGFg_Juiceman%20-%20Telok%20Blangah%20Blk%2011.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
2,10019,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/nanfang_sf.jpg,Nan Fang Cooked Food,68,,01-80,0,,,nanfang,,1,411,Mon - Sun: 11am-8pm,0,1,1,71,2020-10-26T04:14:57.000Z,2021-10-14T03:10:17.000Z,"[{'Name': 'Pork Chop', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/nanfang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Western Cuisine', 'Fish Soup']",False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
3,10020,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/mB0ItYBov0hB_qW0Eejg274cU_guanseng_sf.jpg,Guan Seng Carrot Cake,72,,01-81,0,,,guanseng,,1,411,,0,3,1,79,2020-10-26T04:14:57.000Z,2022-01-17T20:04:58.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/mB0ItYBov0hB_qW0Eejg274cU_guanseng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
4,10021,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/7P8g4QntVyse_jL5t7zgzkJ1b_chinsin_sf.jpg,Chin Sin Beverage,0,,01-82,0,,,chinsin,,1,411,Mon - Sun: 6am-5pm,0,2,1,81,2020-10-26T04:14:57.000Z,2021-11-08T16:13:24.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/7P8g4QntVyse_jL5t7zgzkJ1b_chinsin_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
5,10022,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/healthyvegetarian_sf.jpg,Healthy Vegetarian Food,72,,01-83,0,,,healthyvegetarian,,1,411,"Sun - Fri: 5.30am-2pm, Closed on Sat",72,12,1,72,2020-10-26T04:14:57.000Z,2021-10-14T03:10:18.000Z,"[{'Name': 'Vegetarian', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/healthyvegetarian_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Vegetarian'],False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
6,10023,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/teckkee_sf.jpg,Teck Kee Fried Hokkien Prawn Mee,68,,01-84,0,,,teckkee,,1,411,,66,2,0,66,2020-10-26T04:14:57.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 11 Telok Blangah Crescent/teckkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Hokkien Mee'],False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
7,10024,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/usD8scTXBw2y_oLFmTd3V4YTS_tawakkaltualallah_sf.jpg,Tawakkaltu Alallah,68,,01-85,0,,,tawakkaltualallah,,1,411,,75,7,0,75,2020-10-26T04:14:57.000Z,2021-11-08T16:13:56.000Z,"[{'Name': 'Mee Soto', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/usD8scTXBw2y_oLFmTd3V4YTS_tawakkaltualallah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Soto', 'Mee Rebus']",False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
8,10025,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/DZUMY587jGTH_ROojk2YnH6so_gemsharvest_sf.jpg,Gems Harvest,70,,01-86,0,,,gemsharvest,,1,411,Mon - Sun: 6.30am-4pm,81,2,1,81,2020-10-26T04:14:57.000Z,2021-10-14T03:10:19.000Z,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bowl Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/DZUMY587jGTH_ROojk2YnH6so_gemsharvest_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Yam Cake']",False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
9,10026,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/FciaAHzh5VtR_ysWfBMlwYnW7_nmhussain_sf.jpg,N M Hussain Mee Goreng Stall,68,,01-87,0,,,nmhussain,,1,411,Mon - Sun: 11am-10pm,0,3,0,79,2020-10-26T04:14:57.000Z,2021-11-08T16:13:56.000Z,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/FciaAHzh5VtR_ysWfBMlwYnW7_nmhussain_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mutton Soup (Indian)', 'Mee Goreng']",False,telokblangahcrescent11,Telok Blangah Crescent Blk 11,411,,,en,[], 
