,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,8189,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/O6zvXzkb330P_dt43X9G8ccic_tanzaimian_sf.jpg,Tan Zai Mian,68,,01-01,0,,,tanzaimian,,1,477,,0,1,0,68,2020-10-26T04:12:28.000Z,2021-11-08T16:13:22.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/O6zvXzkb330P_dt43X9G8ccic_tanzaimian_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",[],False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
1,8190,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201106/f519B9vZ3i8v_hengs_sf.PNG,Heng's Nasi Lemak,72,,01-02,0,,,hengs,,1,477,"Sat - Thu: 6am-2pm, Closed on Fri",0,5,0,80,2020-10-26T04:12:28.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201106/f519B9vZ3i8v_hengs_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']",False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
2,8191,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/hainanesescissorscurryrice_sf.jpg,Hainanese Scissors Curry Rice,69,,01-03,0,,,hainanesescissorscurryrice,,1,477,"Mon - Fri: 10.45am-1pm, Sat & Sun: 10am-1pm",77,0,1,0,2020-10-26T04:12:28.000Z,2021-10-14T02:58:56.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/hainanesescissorscurryrice_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry'],False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
3,8192,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Mps2nhbmeTnY_uYH6T5P6H7aC_mingfeng_sf.jpg,Ming Feng Drink Stall,0,,01-04,0,,,mingfeng,,1,477,Mon - Sun: 5qm-3.30pm,0,14,1,70,2020-10-26T04:12:28.000Z,2021-11-08T16:13:54.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Mps2nhbmeTnY_uYH6T5P6H7aC_mingfeng_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
4,8193,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ns6CJR3D1uMu_avnhW2uLxdm2_hongjimianshijia_sf.jpg,Hong Ji Mian Shi JIa,76,,01-05,0,,,hongjimianshijia,,1,477,"Sat - Thu: 6am-8pm, Closed on Fri",0,6,1,78,2020-10-26T04:12:28.000Z,2022-01-17T20:04:57.000Z,"[{'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ns6CJR3D1uMu_avnhW2uLxdm2_hongjimianshijia_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
5,8194,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/siangkee_sf.jpg,Siang Kee Fishball Minced Pork Noodle,69,,01-06,0,,,siangkee,,1,477,,0,1,1,74,2020-10-26T04:12:28.000Z,2021-12-20T15:46:32.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/siangkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Fishball Noodles'],False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
6,8195,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/z44ZQSe4QXBe_9Hd1beBqkhFi_sabeensara_sf.jpg,Sabeen Sara,76,,01-07,0,,,sabeensara,,1,477,Mon - Sun: 7am-4pm,72,2,1,72,2020-10-26T04:12:28.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/z44ZQSe4QXBe_9Hd1beBqkhFi_sabeensara_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Biryani']",False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
7,8196,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MXYwUYK3Y4nP_itYUTbQYeFJ2_angmohkia_sf.jpg,Ang Moh Kia Fishball Mee,69,,01-08,0,,,angmohkia,,1,477,,66,1,0,66,2020-10-26T04:12:28.000Z,2021-11-08T16:13:22.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MXYwUYK3Y4nP_itYUTbQYeFJ2_angmohkia_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
8,8197,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/soonlee_sf.jpg,Soon Lee Hot & Cold Drinks,0,,01-09,0,,,soonlee,,1,477,24 hours daily,75,2,1,75,2020-10-26T04:12:28.000Z,2021-10-14T02:58:59.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 79 Telok Blangah Drive/soonlee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
9,8198,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/msjd226l55wo_yjrowmozXyIE_qishiniandai_sf.jpg,Qi Shi Nian Dai,0,,01-10,0,,,qishiniandai,,1,477,,81,2,0,81,2020-10-26T04:12:28.000Z,2021-11-08T16:13:54.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/msjd226l55wo_yjrowmozXyIE_qishiniandai_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,telokblangahdrive79,Telok Blangah Drive Blk 79,477,,,en,[], 
