,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,7236,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/NWondmxCTyav_therscafe _sf.PNG,The R's Cafe,0,,01-30,0,,,therscafe,,1,446,Mon - Sun: 6am-7pm,0.0,12,1,79,2020-10-26T04:11:05.000Z,2021-10-14T02:53:35.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/NWondmxCTyav_therscafe%20_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
1,7237,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/MEq7DgVXkWVg_radinmaspratahut_sf.PNG,Radin Mas Prata Hut,72,,01-31,0,,,radinmaspratahut,,1,446,Mon - Sun: 5am-12pm,0.0,2,1,72,2020-10-26T04:11:05.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Roti Prata', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Murtabak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/MEq7DgVXkWVg_radinmaspratahut_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti Prata', 'Murtabak']",False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
2,7238,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/JS0m24T5d0Ex_publicscurryrice_sf.PNG,Public's Curry Rice,71,,01-32,0,,,publicscurryrice,,1,446,"Wed - Mon: 4.30am-9am, Closed on Tue",80.0,12,0,76,2020-10-26T04:11:05.000Z,2021-12-20T15:46:30.000Z,"[{'Name': 'Curry Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/JS0m24T5d0Ex_publicscurryrice_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Curry'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
3,7239,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210330/MpTUBIM3yio8_Hai Yan Coffee Stall @ Telok Blangah Rise Blk 36.PNG,Hai Yan Coffee Stall,0,,01-33,0,,,haiyan,,1,446,Mon - Sun: 3am-9pm,72.33333333,7,0,72,2020-10-26T04:11:05.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210330/MpTUBIM3yio8_Hai%20Yan%20Coffee%20Stall%20%40%20Telok%20Blangah%20Rise%20Blk%2036.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
4,7240,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/3eiCy3vBczzP_bukittimahviewfishballmincednoodles_sf.PNG,Bukit Timah View Fishball Minced Noodles,71,,01-34,0,,,bukittimahviewfishballmincednoodles,,1,446,,71.0,0,0,0,2020-10-26T04:11:06.000Z,2021-10-14T02:53:36.000Z,"[{'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/3eiCy3vBczzP_bukittimahviewfishballmincednoodles_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Laksa']",False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
5,7241,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210330/ymWYunfewOy7_SG Soya Sauce Chick Rise @ Telok Blangah Rise Blk 36.PNG,SG Soya Sauce Chicken Rice,68,,01-35/36,0,,,sgsoyasauce,,1,446,,72.0,0,0,72,2020-10-26T04:11:06.000Z,2021-11-08T16:13:21.000Z,"[{'Name': 'Chicken Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210330/ymWYunfewOy7_SG%20Soya%20Sauce%20Chick%20Rise%20%40%20Telok%20Blangah%20Rise%20Blk%2036.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Chicken Rice & Noodles'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
6,7243,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/GhwvGq6fE06E_sweethouse_sf.PNG,Sweet House,71,,01-37,0,,,sweethouse,,1,446,,81.0,3,1,79,2020-10-26T04:11:06.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/GhwvGq6fE06E_sweethouse_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
7,7244,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20210330/i59M2tDqddSX_Hai Yan Fried Kway Teow Mee @ Telok Blangah Rise Blk 36.PNG,Hai Yan Fried Kway Teow Mee,68,,01-38,0,,,haiyan,,1,446,Mon - Sun: 11am-9.30pm,0.0,0,1,0,2020-10-26T04:11:06.000Z,2021-10-14T02:53:37.000Z,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20210330/i59M2tDqddSX_Hai%20Yan%20Fried%20Kway%20Teow%20Mee%20%40%20Telok%20Blangah%20Rise%20Blk%2036.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Char Kway Teow'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
8,7245,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Jp43vdgwuQwy_kimtianlv_sf.PNG,Kim Tian LV Carrot Cake,70,,01-39,0,,,kimtianlv,,1,446,Mon - Sun: 7am-12pm,78.0,0,1,0,2020-10-26T04:11:06.000Z,2021-10-14T02:53:38.000Z,"[{'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Jp43vdgwuQwy_kimtianlv_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
9,7246,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/kp16XftswN1w_jinmen_sf.PNG,Jin Men Xiao Chi,73,,01-40,0,,,jinmen,,1,446,Mon - Sun: 5am-2pm,0.0,4,1,72,2020-10-26T04:11:06.000Z,2021-11-08T16:13:51.000Z,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/kp16XftswN1w_jinmen_sf.PNG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Porridge'],False,telokblangahrise36,Telok Blangah Rise Blk 36 ,446,,,en,[], 
