,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6057,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/hongheng_sf.jpg,Hong Heng Fried Sotong Prawn Mee,80,Tiong Bahru Market,02-01,,"Tue - Sun: 11am-1pm, 4.30pm-7.30pm, Closed on Mon",0,"[{'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/hongheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Hokkien Mee']
1,6058,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/teochewkueh_sf.jpg,Tiong Bahru Teochew Kueh,74,Tiong Bahru Market,02-02,,,80,"[{'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/teochewkueh_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201130/V6ZnQh5s0szt_Screenshot%202020-11-30%20at%2011.39.07%20AM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201130/f3fM4pzvgB3c_Screenshot%202020-11-30%20at%2011.39.14%20AM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201130/KsFl3YK3ux6k_Screenshot%202020-11-30%20at%2011.39.20%20AM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201130/nD3ZW3Sr1KxY_Screenshot%202020-11-30%20at%2011.39.30%20AM.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Teochew Kueh']
2,6059,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iLmURZnLabjB_yuNXbhovrIqR_kopimuseum_sf.jpg,Kopi Museum,76,Tiong Bahru Market,02-03,,,72,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iLmURZnLabjB_yuNXbhovrIqR_kopimuseum_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
3,6060,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/5ee1RBiPyU92_BqXASLkh9WsO_muenwang_sf.jpg,Muen Wang Thai Kitchen,71,Tiong Bahru Market,02-04,,,0,"[{'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/5ee1RBiPyU92_BqXASLkh9WsO_muenwang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Thai']
4,6061,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/jianbo_sf.jpg,Jian Bo Shui Kueh,80,Tiong Bahru Market,02-05,,Mon - Sun: 5.30pm-10pm,72,"[{'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/jianbo_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chwee Kueh']
5,6062,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/8vwoiSvR0lGP_XDm93aYsq9JY_towkwarpop_sf.jpg,Tow Kwar Pop,77,Tiong Bahru Market,02-06,,,70,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/8vwoiSvR0lGP_XDm93aYsq9JY_towkwarpop_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak']
6,6063,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/PLZR4fWklBo0_G0wcite68uiV_freshjuiceice_sf.jpg,Fresh Juice Ice Blend,0,Tiong Bahru Market,02-07,,,81,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PLZR4fWklBo0_G0wcite68uiV_freshjuiceice_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
7,6064,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/B3DEI9sRuzH9_9iC8cUjwEOYs_friedkwayteowfriedoyster_sf.jpg,Fried Kway Teow & Fried Oyster,78,Tiong Bahru Market,02-08,,,74,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Oyster Omelette', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/B3DEI9sRuzH9_9iC8cUjwEOYs_friedkwayteowfriedoyster_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Kway Teow', 'Oyster Omelette']"
8,6065,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/UFbyHUlTu9xB_TPs5NfpOORRc_yuehao_sf.jpg,Yue Hao Cafe,0,Tiong Bahru Market,02-09,,,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/UFbyHUlTu9xB_TPs5NfpOORRc_yuehao_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']"
9,6066,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/youji_sf.jpg,You Ji,73,Tiong Bahru Market,02-10,,,0,"[{'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Tiong Bahru Market/youji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Economy Bee Hoon', 'Porridge']"
