,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,11421,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/xlhIOPZ4ct2O_jasonwestern_sf.jpg,Jason Western Food,68,,01-01,0,,,jasonwestern,,1,432,,70.0,0,1,79,2020-10-30T22:58:57.000Z,2021-10-14T03:18:17.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/xlhIOPZ4ct2O_jasonwestern_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Western Cuisine'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
1,11422,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/laupasatifshballmincedmeatmee_sf.jpg,Lau Pa Sat Fishball Minced Meat Mee,66,,01-02,0,,,laupasatifshballmincedmeatmee,,1,432,,75.0,4,0,74,2020-10-30T22:58:57.000Z,2021-10-14T03:18:18.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/laupasatifshballmincedmeatmee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
2,11423,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/oldlonghouse_sf.jpg,Old Long House Popiah,81,,01-03,0,,,oldlonghouse,,1,432,"Wed - Sun: 6.30am-2.30pm, Closed on Mon & Tue, unless PH",80.42857143,13,0,81,2020-10-30T22:58:57.000Z,2021-10-14T03:18:18.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/oldlonghouse_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Popiah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Popiah'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
3,11424,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/mohheng_sf.jpg,Moh Heng Coffee Stall,0,,01-04,0,,,mohheng,,1,432,Mon - Sun: 5am-10pm,0.0,0,0,83,2020-10-30T22:58:57.000Z,2021-10-14T03:18:19.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/mohheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beverages'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
4,11425,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/houseofdelicacies_sf.jpg,House Of Delicacies,69,,01-05,0,,,houseofdelicacies,,1,432,,0.0,1,1,73,2020-10-30T22:58:57.000Z,2021-11-08T16:13:48.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/houseofdelicacies_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Economy Bee Hoon', 'Porridge']",False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
5,11426,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/gGIhdBeNiWZ4_hainanxingzhou_sf.jpg,Hai Nan Xing Zhou Beef Noodles (Dry/Soup),77,,01-06,0,,,hainanxingzhou,,1,432,"Tue - Sun: 8.30am-3.30pm, Closed on Mon",80.0,0,0,73,2020-10-30T22:58:57.000Z,2021-10-14T03:18:20.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/gGIhdBeNiWZ4_hainanxingzhou_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beef Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Beef Noodles'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
6,11427,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/laiheng_sf.jpg,Lai Heng,71,,01-07/08,0,,,laiheng,,1,432,,0.0,3,1,78,2020-10-30T22:58:57.000Z,2021-10-14T03:18:20.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/laiheng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/laiheng_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Economy Rice'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
7,11428,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/grannyspancake_sf.jpg,Granny's Pancake,68,,01-09,0,,,grannyspancake,,1,432,Mon - Sun: 5am-4pm,69.66666667,8,0,70,2020-10-30T22:58:58.000Z,2021-10-14T03:18:21.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/grannyspancake_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Min Jiang Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Min Jiang Kueh'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
8,11429,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/homaroy_sf.jpg,Hom Aroy Thai Food,68,,01-10,0,,,homaroy,,1,432,,0.0,5,1,71,2020-10-30T22:58:58.000Z,2022-01-17T20:04:54.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/homaroy_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Thai', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Thai'],False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
9,11430,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/heli_sf.jpg,He Li Kway Teow Mee Fried Bee Hoon,68,,01-11,0,,,heli,,1,432,,0.0,3,0,79,2020-10-30T22:58:58.000Z,2021-11-08T16:13:21.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 22 Toa Payoh Lorong 7 - 61 stalls/heli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Bee Hoon', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Nasi Lemak', 'Economy Bee Hoon']",False,toapayoh22,Toa Payoh Lorong 7 Blk 22,432,,,en,[], 
