,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8155,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/qw6eUgn6Nrnj_hoehuan_sf.jpg,Hoe Huan Coffee Stall,0,Toa Payoh Lorong 5 Blk 75,01-01,,,72.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/qw6eUgn6Nrnj_hoehuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
1,8156,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/00hVqveYEpnf_makanmakankampongtraditional_sf.jpg,Makan Makan Kampong Tradition Food,74,Toa Payoh Lorong 5 Blk 75,01-02,,,66.3125,"[{'Name': 'Mee Rebus', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/00hVqveYEpnf_makanmakankampongtraditional_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Rebus', 'Mee Siam']"
2,8157,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 75 Toa Payoh Lorong 5 - 36 stalls/meiji_sf.jpg,Mei Ji Rojak,82,Toa Payoh Lorong 5 Blk 75,01-04,,Mon - Sun: 1.30pm-12.30am,74.66666667,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 75 Toa Payoh Lorong 5 - 36 stalls/meiji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Rojak']
3,8158,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 75 Toa Payoh Lorong 5 - 36 stalls/songkee_sf.jpg,Song Kee Cooked Food,71,Toa Payoh Lorong 5 Blk 75,01-05,,,68.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 75 Toa Payoh Lorong 5 - 36 stalls/songkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Nasi Lemak']
4,8159,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/OhcHVFy95pto_sweetheartdessert_sf.jpg,Sweet Heart Dessert,66,Toa Payoh Lorong 5 Blk 75,01-06,,,0.0,"[{'Name': 'Desserts', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/OhcHVFy95pto_sweetheartdessert_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Dessert']
5,8160,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/MsXQn6MSrVa9_fishsoupstall_sf.jpg,Fish Soup Stall,69,Toa Payoh Lorong 5 Blk 75,01-07,,,0.0,"[{'Name': 'Fish Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/MsXQn6MSrVa9_fishsoupstall_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Fish Soup', 'Porridge']"
6,8161,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/0lRQx3F0eCYa_cocklefriedkwayteow_sf.jpg,Cockle Fried Kway Teow,68,Toa Payoh Lorong 5 Blk 75,01-08,,Mon - Sun: 4.30pm-Midnight,80.0,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/0lRQx3F0eCYa_cocklefriedkwayteow_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Char Kway Teow']
7,8162,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 75 Toa Payoh Lorong 5 - 36 stalls/soonlee_m1.jpg,Soon Lee Fried Kway Teow,70,Toa Payoh Lorong 5 Blk 75,01-09,,"Mon - Sat: 11am-8.30pm, Closed on Sun",0.0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 75 Toa Payoh Lorong 5 - 36 stalls/soonlee_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow']
8,8163,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/A7FQHLhvsuU1_shangrila_sf.jpg,Shangri-La Curry Mixed Rice,70,Toa Payoh Lorong 5 Blk 75,01-10,,,70.0,"[{'Name': 'Economy Rice', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Curry Chicken', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/A7FQHLhvsuU1_shangrila_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Economy Rice', 'Curry']"
9,8164,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/MWf6yqXRbi83_somerset_sf.jpg,Somerset Minced Meat Noodle,71,Toa Payoh Lorong 5 Blk 75,01-11,,Mon - Sun: 11.30am-11.30pm,0.0,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Laksa', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/MWf6yqXRbi83_somerset_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Laksa', 'Bak Chor Mee']"
